,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Обслуживание,Отношение к клиентам,Персонал,Время ожидания,Кредит,Банкомат,Расположение,Ремонт,Вклад,График работы,Страхование
0,1165641049,Альфа-Банк,"Олимпийский просп., 19, корп. 1, Мытищи",alfabank.ru,"'mon': 10:00-20:00, 'tue': 10:00-20:00, 'wed': 10:00-19:00, 'thu': выходной, 'fri': 10:00-18:00, 'sat': 10:00-18:00, 'sun': выходной",55.923706,37.757050,"4,3",['+7 (495) 755-58-58Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank', 'https://www.youtube.com/user/alfabankru']",55,51,57,43,17,36,86,75,,,
1,28258577430,Альфа-Банк,"ул. Мира, 26А, Мытищи",alfabank.ru,"'mon': 10:00-20:00, 'tue': 10:00-20:00, 'wed': 10:00-19:00, 'thu': выходной, 'fri': 10:00-18:00, 'sat': 10:00-18:00, 'sun': выходной",55.916623,37.726736,"4,4",['+7 (495) 755-58-58Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank', 'https://www.youtube.com/user/alfabankru']",60,60,66,61,30,59,87,,58,50,
2,1252333485,Альфа-Банк,"ул. Лескова, 3Г, Москва",alfabank.ru,"'mon': 09:00-20:00, 'tue': 09:00-20:00, 'wed': 09:00-20:00, 'thu': 09:00-20:00, 'fri': 09:00-20:00, 'sat': 10:00-18:00, 'sun': выходной",55.898765,37.591719,"4,3",['+7 (495) 755-58-58Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank', 'https://www.youtube.com/user/alfabankru']",57,54,59,44,38,25,84,,,38,0
3,189299966920,Альфа-Банк,"Уральская ул., 1, Москва",alfabank.ru,"'mon': 10:00-20:00, 'tue': 10:00-20:00, 'wed': 10:00-19:00, 'thu': выходной, 'fri': 10:00-18:00, 'sat': 10:00-18:00, 'sun': выходной",55.811634,37.797729,"4,3",['+7 (495) 755-58-58Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank', 'https://www.youtube.com/user/alfabankru']",68,65,66,68,59,68,100,,67,36,
4,1178226406,Альфа-Банк,"ш. Энтузиастов, 7/1, Балашиха",alfabank.ru,"'mon': 10:00-20:00, 'tue': 10:00-20:00, 'wed': 10:00-19:00, 'thu': выходной, 'fri': 10:00-18:00, 'sat': 10:00-18:00, 'sun': выходной",55.795469,37.933977,"4,3",['+7 (495) 755-58-58Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank', 'https://www.youtube.com/user/alfabankru']",61,57,65,50,37,53,62,46,55,,
5,14069004642,Альфа-Банк,"Дмитровское ш., 15, корп. 1, Москва",alfabank.ru,"'mon': 10:00-20:00, 'tue': 10:00-20:00, 'wed': 10:00-19:00, 'thu': выходной, 'fri': 10:00-18:00, 'sat': 10:00-18:00, 'sun': выходной",55.819580,37.573295,"4,3",['+7 (495) 788-88-78Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank', 'https://www.youtube.com/user/alfabankru']",59,55,59,51,49,72,97,,,42,
6,172712925563,Альфа-Банк,"ул. Грекова, 3, корп. 3, Москва",alfabank.ru,"'mon': 10:00-20:00, 'tue': 10:00-20:00, 'wed': 10:00-19:00, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной",55.885782,37.660063,"4,3",['+7 (495) 755-58-58Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank', 'https://www.youtube.com/user/alfabankru']",42,40,50,33,,,,,,,
7,158457592820,Альфа-Банк,"ул. Менжинского, 23, корп. 1, Москва",alfabank.ru,"'mon': 10:00-20:00, 'tue': 10:00-20:00, 'wed': 10:00-20:00, 'thu': 10:00-20:00, 'fri': 10:00-20:00, 'sat': 10:00-18:00, 'sun': выходной",55.869764,37.660377,"4,4",['+7 (495) 788-88-78Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank', 'https://www.youtube.com/user/alfabankru']",53,51,52,43,38,52,93,,,,
8,39652021738,Альфа-Банк,"9-я Парковая ул., 23, Москва",alfabank.ru,"'mon': 10:00-20:00, 'tue': 10:00-20:00, 'wed': 10:00-19:00, 'thu': выходной, 'fri': 10:00-18:00, 'sat': 10:00-18:00, 'sun': выходной",55.795044,37.798799,"4,3",['+7 (495) 788-88-78Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank', 'https://www.youtube.com/user/alfabankru']",56,56,59,49,58,48,92,,,,
9,164819686969,Альфа-Банк,"просп. Космонавтов, 27Б, Королёв",alfabank.ru,"'mon': 10:00-20:00, 'tue': 10:00-20:00, 'wed': 10:00-19:00, 'thu': выходной, 'fri': 10:00-18:00, 'sat': 10:00-18:00, 'sun': выходной",55.913520,37.868382,"4,4",['+7 (495) 755-58-58Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank', 'https://www.youtube.com/user/alfabankru']",59,56,67,55,41,51,64,,55,,0
10,1066499300,Альфа-Банк,"просп. Мира, 91, корп. 2, Москва",alfabank.ru,"'mon': 09:00-20:00, 'tue': 09:00-20:00, 'wed': 09:00-20:00, 'thu': 09:00-20:00, 'fri': 09:00-20:00, 'sat': 10:00-18:00, 'sun': 12:00-17:00",55.806120,37.635440,"4,4",['+7 (495) 788-88-78Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank', 'https://www.youtube.com/user/alfabankru']",63,57,65,59,44,73,96,88,,48,0
