,ID,name,address,website,opening_hours,ypage,lat,lon,rating,phone,social
0,1038380178,Альфа-Банк,"ул. Максима Горького, 140, Нижний Новгород",,,,56.314402,43.994946,"4,3",,
1,13829623139,Альфа-Банк,"ул. Ленина, 129, Бор",,,,56.359070,44.053507,"4,0",,
2,72939497033,Альфа-Банк,"просп. Ленина, 45, Нижний Новгород",,,,56.281361,43.923971,"4,4",,
3,26853458298,Альфа-Банк,"ул. Гайдара, 61, Дзержинск",,,,56.233345,43.436239,"4,4",,
4,148676659543,Альфа-Банк,"ул. 40 лет Октября, 4, Кстово",,,,56.150881,44.204532,"4,4",,
5,68321044405,Альфа-Банк,"ул. Белинского, 61, корп. 2, Нижний Новгород",,,,56.316289,44.017507,"4,3",,
6,204082025200,Альфа-Банк,"Коммунистическая ул., 2, Балахна",,,,56.520579,43.550316,"4,4",,
7,109104755824,Альфа-Банк,"просп. Ленина, 100Д, Нижний Новгород",,,,56.240523,43.865445,"4,4",,
8,170224396448,Альфа-Банк,"Новая ул., 8, Нижний Новгород",,,,56.310932,43.997632,"4,8",,
9,153823749480,Альфа-Банк,"ул. Героя Фильченкова, 10, Нижний Новгород",,,,56.320218,43.946338,"4,9",,
10,214848622764,Альфа-Банк,"ул. Коминтерна, 164, Нижний Новгород",,,,56.348163,43.867844,"4,3",,
