,ID,name,address,website,opening_hours,ypage,lat,lon,rating,phone,social
0,243961624704,Альфа-Банк,"ул. Калинина, 30, Гусь-Хрустальный",,,,55.614867,40.669967,"3,8",,
1,162248411006,Альфа-Банк,"Люблинская ул., 165, корп. 1, Москва",,,,55.650069,37.745933,"4,4",,
2,112855126846,Альфа-Банк,"Носовихинское ш., 7, Реутов",,,,55.745559,37.859067,"4,5",,
3,84097230920,Альфа-Банк,"просп. Вернадского, 119, Москва",,,,55.657621,37.482780,"4,4",,
4,135440115187,Альфа-Банк,"Фестивальная ул., 13, корп. 1, Москва",,,,55.855810,37.477103,"4,3",,
5,63128675733,Альфа-Банк,"Профсоюзная ул., 13/12, Москва",,,,55.680555,37.566467,"4,4",,
6,1178226406,Альфа-Банк,"ш. Энтузиастов, 7/1, Балашиха",,,,55.795469,37.933977,"4,3",,
7,83448862424,Альфа-Банк,"Осенний бул., 7, корп. 1, Москва",,,,55.757794,37.406944,"4,4",,
8,212186021627,Альфа-Банк,"Новослободская ул., 23, Москва",,,,55.781398,37.598537,"4,4",,
9,1578298930,Альфа-Банк,"Москва, поселение Московский, Киевское шоссе, 22-й километр, 4с1кБ",,,,55.633999,37.442877,"4,4",,
10,1252333485,Альфа-Банк,"ул. Лескова, 3Г, Москва",,,,55.898760,37.591710,"4,3",,
11,115208039878,Альфа-Банк,"просп. Ленина, 26, Владимир",,,,56.120432,40.367710,"4,4",,
12,96765425134,Альфа-Банк,"Авиационная ул., 66, Москва",,,,55.809687,37.460097,"4,5",,
13,1066499300,Альфа-Банк,"просп. Мира, 91, корп. 2, Москва",,,,55.806120,37.635440,"4,4",,
14,217601592560,Альфа-Банк,"Октябрьский просп., 151/9, Люберцы",,,,55.679641,37.892583,"4,3",,
15,26229324872,Альфа-Банк,"ул. Ленина, 9, Рязань",,,,54.623045,39.753757,"4,3",,
16,1184112859,Альфа-Банк,"Неглинная ул., 10, Москва",,,,55.762146,37.620411,"4,3",,
17,207021063627,Альфа-Банк,"ул. Земляной Вал, 41, стр. 1, Москва",,,,55.753889,37.657314,"4,3",,
18,76465325675,Альфа-Банк,"просп. Мельникова, 2Б, Химки",,,,55.901183,37.407538,"4,4",,
19,137477055720,Альфа-Банк,"1-й Красногвардейский пр., 15, Москва",,,,55.750485,37.539526,"4,3",,
20,164819686969,Альфа-Банк,"просп. Космонавтов, 27Б, Королёв",,,,55.913520,37.868382,"4,4",,
21,91699299995,Альфа-Банк,"ул. Маршала Чуйкова, 3, Москва",,,,55.703885,37.764986,"4,5",,
22,1378806523,Альфа-Банк,"Новокрюковская ул., 1824, Зеленоград",,,,55.982079,37.168172,"4,3",,
23,1061346448,Альфа-Банк,"Можайское ш., 76А, Одинцово",,,,55.682692,37.295006,"4,3",,
24,1318665127,Альфа-Банк,"Каланчёвская ул., 27, Москва",,,,55.774791,37.650334,"4,2",,
