,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Обслуживание,Отношение к клиентам,Персонал,Время ожидания,Кредит,Расположение,Банкомат,Вклад
0,183064515223,Альфа-Банк,"ул. Кирова, 46/1, Новосибирск",alfabank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-17:00, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной",55.018335,82.939420,"4,5",['8 (800) 200-00-00Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank', 'https://www.youtube.com/user/alfabankru']",75,76,84,74,65,94,,
1,35340132727,Альфа-Банк,"площадь Карла Маркса, 5, Новосибирск",alfabank.ru,"'mon': 09:00-20:00, 'tue': 09:00-20:00, 'wed': 09:00-19:00, 'thu': выходной, 'fri': 10:00-18:00, 'sat': 10:00-18:00, 'sun': выходной",54.982507,82.892339,"4,6",['8 (800) 200-00-00Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank', 'https://www.youtube.com/user/alfabankru']",78,76,77,73,70,100,67,
2,107761170783,Альфа-Банк,"ул. Бориса Богаткова, 201/1, Новосибирск",alfabank.ru,"'mon': 10:00-19:00, 'tue': 10:00-19:00, 'wed': 10:00-19:00, 'thu': 10:00-19:00, 'fri': 10:00-19:00, 'sat': выходной, 'sun': выходной",55.035699,82.974500,"4,6",['8 (800) 200-00-00Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank', 'https://www.youtube.com/user/alfabankru']",84,84,85,90,86,100,,100
3,1159730071,Альфа-Банк,"ул. Дуси Ковальчук, 179/4, Новосибирск",alfabank.ru,"'mon': 09:00-20:00, 'tue': 09:00-20:00, 'wed': 09:00-20:00, 'thu': 09:00-20:00, 'fri': 09:00-20:00, 'sat': 10:00-18:00, 'sun': выходной",55.060622,82.914124,"4,3",['8 (800) 200-00-00Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank', 'https://www.youtube.com/user/alfabankru']",73,72,75,71,76,92,53,
4,242809832592,Альфа-Банк,"ул. Мичурина, 23, Новосибирск",alfabank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-17:00, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной",55.041349,82.921049,"4,4",['8 (800) 200-00-00Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank', 'https://www.youtube.com/user/alfabankru']",85,83,86,95,81,100,40,100
5,104151060354,Альфа-Банк,"просп. Карла Маркса, 55, Новосибирск",alfabank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-17:00, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной",54.991801,82.910162,"4,5",['8 (800) 200-00-00Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank', 'https://www.youtube.com/user/alfabankru']",89,87,90,91,91,,70,
6,2687404631,Альфа-Банк,"ул. Ленина, 52, Новосибирск",alfabank.ru,"'mon': 09:00-20:00, 'tue': 09:00-20:00, 'wed': 09:00-20:00, 'thu': 09:00-20:00, 'fri': 09:00-20:00, 'sat': 10:00-18:00, 'sun': выходной",55.033548,82.902050,"4,4",['8 (800) 200-00-00Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank', 'https://www.youtube.com/user/alfabankru']",67,63,70,69,62,92,,
7,8780594738,Альфа-Банк,"ул. Орджоникидзе, 23, Новосибирск",alfabank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-17:00, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной",55.031376,82.917726,"4,3",['8 (800) 200-00-00Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank', 'https://www.youtube.com/user/alfabankru']",67,59,67,74,59,100,,
8,236920599498,Альфа-Банк,"ул. Крылова, 31, Новосибирск",alfabank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-17:00, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной",55.041560,82.929278,"4,6",['8 (800) 200-00-00Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank', 'https://www.youtube.com/user/alfabankru']",96,96,97,96,97,91,,100
9,224681779681,Альфа-Банк,"ул. Ильича, 6, Советский район, микрорайон Академгородок, Новосибирск",alfabank.ru,"'mon': 09:00-20:00, 'tue': 09:00-20:00, 'wed': 09:00-19:00, 'thu': выходной, 'fri': 10:00-18:00, 'sat': 10:00-18:00, 'sun': выходной",54.839313,83.095359,"4,8",['8 (800) 200-00-00Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank', 'https://www.youtube.com/user/alfabankru']",82,82,85,77,79,,80,
