,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Обслуживание,Отношение к клиентам,Персонал,Время ожидания,Кредит,Расположение,Вклад,Банкомат,Страхование
0,210613403917,Альфа-Банк,"ул. Энгельса, 182, Батайск",alfabank.ru,"'mon': 10:00-19:00, 'tue': 10:00-19:00, 'wed': 10:00-18:00, 'thu': выходной, 'fri': 10:00-18:00, 'sat': выходной, 'sun': выходной",47.138793,39.750442,"4,9",['8 (800) 200-00-00Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank', 'https://www.youtube.com/user/alfabankru']",82,82,83,85,88,100,,,
1,244816750562,Альфа-Банк,"Пушкинская ул., 50В, Ростов-на-Дону",alfabank.ru,"'mon': 09:00-20:00, 'tue': 09:00-20:00, 'wed': 09:00-20:00, 'thu': 09:00-20:00, 'fri': 09:00-20:00, 'sat': 10:00-18:00, 'sun': выходной",47.222268,39.707054,"4,2",['8 (800) 200-00-00Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank', 'https://www.youtube.com/user/alfabankru']",56,53,49,44,72,80,82,,
2,67985212531,Альфа-Банк,"просп. Ленина, 26, Аксай",,"'mon': 10:00-19:00, 'tue': 10:00-19:00, 'wed': 10:00-18:00, 'thu': выходной, 'fri': 10:00-18:00, 'sat': выходной, 'sun': выходной",47.266209,39.860611,"4,2",['8 (800) 200-00-00Показать телефон'],"['https://ok.ru/alfabank', 'https://vk.com/alfabank', 'https://www.youtube.com/user/alfabankru']",,,,,,,,,
3,1120444285,Альфа-Банк,"Красноармейская ул., 170, Ростов-на-Дону",alfabank.ru,"'mon': 09:00-20:00, 'tue': 09:00-20:00, 'wed': 09:00-19:00, 'thu': выходной, 'fri': 10:00-18:00, 'sat': 10:00-18:00, 'sun': выходной",47.227892,39.713764,"4,3",['8 (800) 200-00-00Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank', 'https://www.youtube.com/user/alfabankru']",53,49,54,43,53,86,92,53,0
4,107784315143,Альфа-Банк,"Ворошиловский просп., 31, Ростов-на-Дону",alfabank.ru,"'mon': 09:00-20:00, 'tue': 09:00-20:00, 'wed': 09:00-20:00, 'thu': 09:00-20:00, 'fri': 09:00-20:00, 'sat': 10:00-18:00, 'sun': выходной",47.219991,39.719001,"4,2",['8 (800) 200-00-00Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank', 'https://www.youtube.com/user/alfabankru']",59,53,61,63,57,100,72,65,25
5,169805377565,Альфа-Банк,"просп. Королёва, 14А, Ростов-на-Дону",alfabank.ru,"'mon': 10:00-20:00, 'tue': 10:00-20:00, 'wed': 10:00-20:00, 'thu': 10:00-20:00, 'fri': 10:00-20:00, 'sat': 10:00-18:00, 'sun': выходной",47.294494,39.709264,"4,4",['8 (800) 200-00-00Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank', 'https://www.youtube.com/user/alfabankru']",68,65,64,59,72,92,,75,
6,197665628764,Альфа-Банк,"площадь Гагарина, 6/87, Ростов-на-Дону",alfabank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-17:00, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной",47.235990,39.713530,"4,3",['8 (800) 200-00-00Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank', 'https://www.youtube.com/user/alfabankru']",88,88,89,91,77,,,,
7,168163292243,Альфа-Банк,"ул. Мира, 45, Азов",alfabank.ru,"'mon': 10:00-19:00, 'tue': 10:00-19:00, 'wed': 10:00-18:00, 'thu': выходной, 'fri': 10:00-18:00, 'sat': выходной, 'sun': выходной",47.104008,39.424848,"4,4",['8 (800) 200-00-00Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank', 'https://www.youtube.com/user/alfabankru']",86,85,97,80,,,,,
8,88901059306,Альфа-Банк,"Красноармейская ул., 206, Ростов-на-Дону",alfabank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-17:00, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной",47.229813,39.724490,"4,4",['8 (800) 200-00-00Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank', 'https://www.youtube.com/user/alfabankru']",69,63,69,69,67,100,,,
9,1145727222,Альфа-Банк,"1-я Майская ул., 3, Нахичевань, Ростов-на-Дону",alfabank.ru,"'mon': 09:00-20:00, 'tue': 09:00-20:00, 'wed': 09:00-19:00, 'thu': выходной, 'fri': 10:00-18:00, 'sat': 10:00-18:00, 'sun': выходной",47.232187,39.760620,"4,3",['8 (800) 200-00-00Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank', 'https://www.youtube.com/user/alfabankru']",72,69,73,66,74,94,,68,
