,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Обслуживание,Отношение к клиентам,Персонал,Время ожидания,Расположение,Банкомат,График работы,Ремонт
0,192309321154,СберБанк,"Красная ул., 10, Гатчина",www.sberbank.ru,"'mon': 09:00-20:00, 'tue': 09:00-20:00, 'wed': 09:00-20:00, 'thu': 09:00-20:00, 'fri': 09:00-20:00, 'sat': 09:00-20:00, 'sun': выходной",59.565118,30.121258,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",80,83,83,70,95,69,,
1,105806000333,СберБанк,"ул. Гагарина, 5, Гатчина",www.sberbank.ru,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-19:00, 'sun': выходной",59.572654,30.124632,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",88,88,95,74,83,77,,
2,186454817837,СберБанк,"ул. Авиатриссы Зверевой, 7/12, Гатчина",www.sberbank.ru,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-18:30, 'sun': выходной",59.557265,30.090731,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",86,85,86,81,100,61,,
3,1125924411,СберБанк,"Соборная ул., 30, Гатчина",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-18:00, 'sun': выходной",59.564054,30.135370,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",80,80,80,65,100,55,40,
4,1030308254,СберБанк,"Рощинская ул., 11/1, Гатчина",www.sberbank.ru,"'mon': 10:00-20:00, 'tue': 10:00-20:00, 'wed': 10:00-20:00, 'thu': 10:00-20:00, 'fri': 10:00-20:00, 'sat': 10:00-20:00, 'sun': выходной",59.577011,30.134630,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",61,63,63,44,91,56,,91
5,1057657926,СберБанк,"Заводская ул., 3А, Гатчина",www.sberbank.ru,"'mon': выходной, 'tue': 08:30-14:00,15:00-17:30, 'wed': 08:30-14:00,15:00-17:30, 'thu': 08:30-14:00,15:00-17:30, 'fri': 08:30-14:00,15:00-17:30, 'sat': 08:30-14:00,15:00-17:30, 'sun': выходной",59.569100,30.067571,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",85,93,88,,,18,,
6,94035139905,СберБанк,"ул. 30 лет Победы, 1, д. Большие Колпаны",www.sberbank.ru,"'mon': выходной, 'tue': 08:45-13:00,13:30-17:00, 'wed': 08:45-13:00,13:30-17:00, 'thu': 08:45-13:00,13:30-17:00, 'fri': 08:45-13:00,13:30-17:00, 'sat': 08:45-13:00,14:00-17:00, 'sun': выходной",59.524041,30.069505,"3,1",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",58,50,55,,,,,
7,1108097113,СберБанк,"ул. Кутышева, 55, д. Малое Верево",www.sberbank.ru,"'mon': выходной, 'tue': 09:00-13:00,14:00-17:15, 'wed': 09:00-13:00,14:00-17:15, 'thu': 09:00-13:00,14:00-17:15, 'fri': 09:00-13:00,14:00-17:15, 'sat': 09:00-13:00,14:00-17:15, 'sun': выходной",59.614404,30.170422,"4,0",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,
8,1124065551,СберБанк,"72, посёлок Новый Свет",www.sberbank.ru,"'mon': выходной, 'tue': 09:00-13:00,14:00-17:00, 'wed': 09:00-13:00,14:00-17:00, 'thu': 09:00-13:00,14:00-17:00, 'fri': 09:00-13:00,14:00-17:00, 'sat': 09:00-13:00,14:00-17:00, 'sun': выходной",59.560552,30.198521,"4,2",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,
9,1052591149,СберБанк,"ул. Зайончковского, 2, посёлок Пудость",www.sberbank.ru,"'mon': выходной, 'tue': 08:30-13:00,14:00-18:00, 'wed': 09:00-13:00,14:00-17:15, 'thu': 09:00-13:00,14:00-17:15, 'fri': 09:00-13:00,14:00-17:15, 'sat': 09:00-13:00,14:00-17:15, 'sun': выходной",59.617158,30.040364,"3,9",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,
