,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Обслуживание,Персонал,Отношение к клиентам,Время ожидания,Банкомат,Расположение,График работы
0,1089456149,СберБанк,"Эскадронная ул., 38, станица Ессентукская",www.sberbank.ru,"'mon': 08:00-17:00, 'tue': 08:00-17:00, 'wed': 08:00-17:00, 'thu': 08:00-17:00, 'fri': 08:00-17:00, 'sat': 08:00-17:00, 'sun': выходной",44.031619,42.877358,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",76,78,75,52,10,,
1,1126383463,СберБанк,"Кисловодская ул., 24А, корп. 3, Ессентуки",www.sberbank.ru,"'mon': 08:00-18:00, 'tue': 08:00-18:00, 'wed': 08:00-18:00, 'thu': 08:00-18:00, 'fri': 08:00-18:00, 'sat': 08:00-18:00, 'sun': выходной",44.041644,42.851823,"4,8",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",77,78,76,61,73,92,100
2,1020667331,СберБанк,"ул. Титова, 14, Ессентуки",www.sberbank.ru,"'mon': выходной, 'tue': 08:00-18:00, 'wed': 08:00-18:00, 'thu': 08:00-18:00, 'fri': 08:00-18:00, 'sat': 08:00-18:00, 'sun': выходной",44.040439,42.860714,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",86,87,87,37,48,86,
3,18835385303,СберБанк,"Октябрьская ул., 458А, Ессентуки",www.sberbank.ru,"'mon': 08:00-19:00, 'tue': 08:00-19:00, 'wed': 08:00-19:00, 'thu': 08:00-19:00, 'fri': 08:00-19:00, 'sat': 08:00-19:00, 'sun': выходной",44.050286,42.897403,"4,8",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",87,89,86,69,78,75,73
4,1242791832,СберБанк,"ул. Фридриха Энгельса, 15, Ессентуки",www.sberbank.ru,"'mon': 08:30-18:00, 'tue': 08:30-18:00, 'wed': 08:30-18:00, 'thu': 08:30-18:00, 'fri': 08:30-18:00, 'sat': 08:30-18:00, 'sun': выходной",44.055326,42.855084,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",86,90,86,55,39,100,
5,56776304262,СберБанк,"Этокская ул., 77, станица Ессентукская",www.sberbank.ru,"'mon': выходной, 'tue': 09:00-12:00,12:45-16:15, 'wed': 09:00-12:00,12:45-16:15, 'thu': 09:00-12:00,12:45-16:15, 'fri': 09:00-12:00,12:45-16:15, 'sat': выходной, 'sun': выходной",44.025722,42.866681,"4,2",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,
6,190158685498,СберБанк,"ул. Ленина, 25, село Винсады",www.sberbank.ru,"'mon': выходной, 'tue': 08:00-12:00,13:00-15:45, 'wed': 08:00-12:00,13:00-15:45, 'thu': 08:00-12:00,13:00-15:45, 'fri': 08:00-12:00,13:00-15:45, 'sat': 08:00-12:00,13:00-14:30, 'sun': выходной",44.081098,42.962953,"2,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,
7,1034822830,СберБанк,"Февральская ул., 54, Пятигорск",www.sberbank.ru,"'mon': выходной, 'tue': 08:30-18:00, 'wed': 08:30-18:00, 'thu': 08:30-18:00, 'fri': 08:30-18:00, 'sat': 09:00-18:00, 'sun': выходной",44.038281,43.035441,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",85,88,88,72,83,81,
8,1043689589,СберБанк,"просп. Лермонтова, 12, Лермонтов",www.sberbank.ru,"'mon': 08:30-17:30, 'tue': 08:30-17:30, 'wed': 08:30-17:30, 'thu': 08:30-17:30, 'fri': 08:30-17:30, 'sat': 08:30-17:30, 'sun': выходной",44.102667,42.978013,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",84,85,87,75,21,,
9,127381635012,СберБанк,"ул. Луценко, 115Б, село Юца",www.sberbank.ru,"'mon': выходной, 'tue': 09:00-13:00,14:00-16:45, 'wed': 09:00-13:00,14:00-16:45, 'thu': 09:00-13:00,14:00-16:45, 'fri': 09:00-13:00,14:00-16:45, 'sat': 09:00-13:00,14:00-16:45, 'sun': выходной",43.977483,43.014651,"4,2",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,
10,1016227092,СберБанк,"25, посёлок Ясная Поляна",www.sberbank.ru,"'mon': выходной, 'tue': 08:30-12:00,12:30-15:30, 'wed': 08:30-12:00,12:30-15:30, 'thu': выходной, 'fri': 08:30-12:00,12:30-15:30, 'sat': 08:30-12:00,12:30-15:30, 'sun': выходной",44.019445,42.753035,"4,1",['8 (800) 555-55-50Показать телефон'],['https://vk.com/sberbank'],,,,,,,
