ID,name,address,website,opening_hours,ypage,lat,lon,rating,phone,social
1190899367,СберБанк,"ул. Мира, 73, Тольятти",,,,53.508291,49.417922,"4,8",,
1251305690,СберБанк,"ул. Ленина, 87, Тольятти",,,,53.519492,49.415148,"4,7",,
1116239035,СберБанк,"ул. Лизы Чайкиной, 79А, Тольятти",,,,53.481823,49.480296,"4,4",,
1207459304,СберБанк,"ул. Мира, 120, Тольятти",,,,53.510807,49.435972,"4,5",,
1051674218,СберБанк,"ул. Лизы Чайкиной, 43А, Тольятти",,,,53.482576,49.465843,"4,4",,
1083223433,СберБанк,"ул. Толстого, 23, Тольятти",,,,53.539174,49.406262,"4,6",,
1383060164,СберБанк,"ул. Горького, 92, Тольятти",,,,53.521433,49.427766,"4,6",,
186332326768,СберБанк,"Гидротехническая ул., 27А, микрорайон Шлюзовой, Тольятти",,,,53.472997,49.527453,"4,7",,
1212068416,СберБанк,"ул. Мира, 37, Тольятти",,,,53.506698,49.404013,"4,6",,
1027629012,СберБанк,"бул. 50 лет Октября, 10, Тольятти",,,,53.53015,49.404089,"4,5",,
1147757395,СберБанк,"ул. Льва Яшина, 16, Тольятти",,,,53.54295,49.360198,"4,7",,
1075057440,СберБанк,"Новозаводская ул., 6, Тольятти",,,,53.556276,49.450352,"4,3",,
1018861555,СберБанк,"ул. 70 лет Октября, 46, Тольятти",,,,53.541977,49.340004,"4,7",,
1220266588,СберБанк,"Юбилейная ул., 55, Тольятти",,,,53.509083,49.277914,"4,7",,
1269807758,СберБанк,"ул. Автостроителей, 68А, Тольятти",,,,53.53319,49.327596,"4,4",,
4687296545,СберБанк,"ул. Ворошилова, 27, Тольятти",,,,53.533086,49.314282,"4,8",,
202220653889,СберБанк,"Цветной бул., 15А, 16-й квартал, Тольятти",,,,53.536778,49.338401,"4,7",,
129076361912,СберБанк,"Юбилейная ул., 1А, Тольятти",,,,53.536111,49.283835,"4,7",,
1039028088,СберБанк,"бул. Космонавтов, 6, 15-й квартал, Тольятти",,,,53.541305,49.325019,"4,6",,
1098249543,СберБанк,"ул. Ворошилова, 49А, Тольятти",,,,53.524946,49.312155,"4,7",,
150232697131,СберБанк,"Революционная ул., 11Б, Тольятти",,,,53.527196,49.276725,"4,7",,
21344409041,СберБанк,"Ленинский просп., 1А, Тольятти",,,,53.517021,49.302896,"4,7",,
1157739385,СберБанк,"просп. Степана Разина, 81, Тольятти",,,,53.50737,49.293091,"4,6",,
1100275334,СберБанк,"Приморский бул., 42А, Тольятти",,,,53.507981,49.26562,"4,8",,
1179583501,СберБанк,"бул. Кулибина, 6Б, 2-й квартал, Тольятти",,,,53.534567,49.267757,"4,7",,
