ID,name,address,website,opening_hours,ypage,lat,lon,rating,phone,social
105384677934,СберБанк,"ул. Шаумяна, 6, Армавир",,,,45.005191,41.107211,"4,7",,
1149124790,СберБанк,"ул. Мира, 26Б, Армавир",,,,44.99654,41.129031,"4,7",,
1148023771,СберБанк,"ул. Ефремова, 119/1, Армавир",,,,44.991434,41.102757,"4,7",,
142893405785,СберБанк,"ул. Халтурина, 66, Армавир",,,,44.99914,41.13672,"4,5",,
1160210058,СберБанк,"Новороссийская ул., 72Б, Армавир",,,,44.991969,41.074353,"4,5",,
1111936900,СберБанк,"ул. Ленина, 152, станица Прочноокопская",,,,45.059912,41.114732,"3,9",,
1050709267,СберБанк,"ул. Мира, 12, посёлок Прикубанский",,,,45.004405,41.174102,"3,7",,
1046244303,СберБанк,"Первомайская ул., 185, Новокубанск",,,,45.102137,41.047888,"4,3",,
1032866701,СберБанк,"ул. Пушкина, 34, посёлок Заветный",,,,44.932287,41.137675,"4,1",,
1079069860,СберБанк,"Краснодарская ул., 2, село Вольное",,,,44.955216,41.211794,"3,0",,
1011295001,СберБанк,"Школьная ул., 13, посёлок Глубокий",,,,44.94404,41.019321,"3,7",,
1213327305,СберБанк,"Центральная ул., 53, село Марьино",,,,44.896689,41.272592,"3,9",,
