,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Обслуживание,Отношение к клиентам,Персонал,Время ожидания,Банкомат,Расположение
0,126877048957,СберБанк,"10, 88-й квартал, Ангарск",www.sberbank.ru,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': 09:30-18:30, 'sun': выходной",C52.53382,103.89277,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",76,74,83,53,33,91
1,1044018534,СберБанк,"25, 7-й микрорайон, Ангарск",www.sberbank.ru,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-18:30, 'sun': выходной",C52.51968,103.86666,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",81,76,86,61,64,
2,1016301234,СберБанк,"ул. Чайковского, 43, Ангарск",www.sberbank.ru,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': 09:30-18:30, 'sun': выходной",C52.53080,103.88171,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",98,100,100,85,69,100
3,1075009808,СберБанк,"1, 76-й квартал, Ангарск",www.sberbank.ru,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-18:30, 'sun': выходной",C52.54319,103.88999,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",83,83,85,72,67,
4,215305387790,СберБанк,"2А, микрорайон 12А, Ангарск",www.sberbank.ru,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': 09:30-18:30, 'sun': выходной",C52.50928,103.86103,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",91,92,95,71,,100
5,2394701334,СберБанк,"19, 18-й микрорайон, Ангарск",www.sberbank.ru,"'mon': 09:00-17:30, 'tue': 09:00-17:30, 'wed': 09:00-17:30, 'thu': 09:00-17:30, 'fri': 09:00-17:30, 'sat': 09:00-17:30, 'sun': выходной",C52.50301,103.84315,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",77,77,76,60,,
6,1103056580,СберБанк,"11, 23-й квартал, Ангарск",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-18:00, 'sun': выходной",C52.55521,103.88316,"4,2",['8 (800) 555-55-50Показать телефон'],['https://vk.com/sberbank'],72,76,79,47,30,
7,1108968835,СберБанк,"2, квартал Б, Ангарск",www.sberbank.ru,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-19:00, 'sun': выходной",C52.50625,103.83020,"4,2",['8 (800) 555-55-50Показать телефон'],['https://vk.com/sberbank'],71,68,67,61,36,
8,1255043829,СберБанк,"7, 1-й квартал, посёлок Мегет",www.sberbank.ru,"'mon': выходной, 'tue': 09:15-13:00,14:00-17:45, 'wed': 09:15-13:00,14:00-17:45, 'thu': 09:15-13:00,14:00-17:45, 'fri': 09:15-13:00,14:00-17:45, 'sat': 09:15-12:45, 'sun': выходной",C52.42154,104.04742,"3,9",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,
9,1401958080,СберБанк,"ул. Розы Люксембург, 297А, Иркутск",www.sberbank.ru,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': 09:30-18:30, 'sun': выходной",C52.35641,104.15390,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",93,96,97,75,56,100
10,241841006620,СберБанк,"просп. Красных Партизан, 57А, Усолье-Сибирское",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-18:00, 'sun': выходной",C52.73012,103.65748,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",83,83,87,60,,
