ID,name,address,website,opening_hours,ypage,lat,lon,rating,phone,social
1042286410,СберБанк,"ул. Миронова, 6, Новокуйбышевск",,,,53.096591,49.948773,"4,4",,
117295542620,СберБанк,"Молодёжная ул., 1, Новокуйбышевск",,,,53.089589,49.961132,"4,7",,
46866400504,СберБанк,"просп. Победы, 2, Новокуйбышевск",,,,53.100386,49.958884,"4,5",,
243062591574,СберБанк,"ул. Дзержинского, 29, Новокуйбышевск",,,,53.096277,49.970117,"4,5",,
1010379175,СберБанк,"Фасадная ул., 11, посёлок Соцгород, Самара",,,,53.115047,50.07736,"4,5",,
84638560662,СберБанк,"Пугачёвский тракт, 61, Самара",,,,53.125194,50.09011,"4,6",,
1179697794,СберБанк,"Октябрьская ул., 10, Чапаевск",,,,52.982881,49.715746,"4,6",,
1240231717,СберБанк,"Галактионовская ул., 34, Самара",,,,53.185048,50.097286,"4,6",,
1009616286,СберБанк,"ул. Агибалова, 78, Самара",,,,53.19453,50.122725,"4,5",,
1014694347,СберБанк,"просп. Ленина, 2А, Самара",,,,53.20425,50.126966,"4,4",,
1107371802,СберБанк,"ул. Ленина, 88, Чапаевск",,,,52.956616,49.689753,"4,6",,
1105246102,СберБанк,"Самарская ул., 207, Самара",,,,53.201535,50.116333,"4,6",,
1003753092,СберБанк,"ул. Мичурина, 52, Самара",,,,53.202308,50.136211,"4,6",,
1057966188,СберБанк,"Владимирская ул., 35, Самара",,,,53.191127,50.141483,"4,5",,
1117197506,СберБанк,"ул. Котовского, 17, Чапаевск",,,,52.9935,49.775426,"3,9",,
116013491400,СберБанк,"Чапаевская ул., 208, Самара",,,,53.198096,50.101094,"4,3",,
