,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Обслуживание,Отношение к клиентам,Персонал,Время ожидания,Банкомат,Расположение,Кредит,Ипотека,График работы
0,207260337354,СберБанк,"просп. имени Ленина, 53, Волжский",www.sberbank.ru,"'mon': 08:30-18:00, 'tue': 08:30-18:00, 'wed': 08:30-18:00, 'thu': 08:30-18:00, 'fri': 08:30-18:00, 'sat': 08:30-18:00, 'sun': выходной",48.797295,44.747257,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",84,88,87,68,64,93,,,
1,1255740849,СберБанк,"просп. имени Ленина, 22, Волжский",www.sberbank.ru,"'mon': 08:30-17:30, 'tue': 08:30-17:30, 'wed': 08:30-17:30, 'thu': 08:30-17:30, 'fri': 08:30-17:30, 'sat': выходной, 'sun': выходной",48.804226,44.738103,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",83,82,83,75,50,100,,,
2,1063909080,СберБанк,"просп. имени Ленина, 97, Волжский",www.sberbank.ru,"'mon': 08:30-18:00, 'tue': 08:30-18:00, 'wed': 08:30-18:00, 'thu': 08:30-18:00, 'fri': 08:30-18:00, 'sat': 08:30-18:00, 'sun': выходной",48.783325,44.754085,"4,5",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",75,75,80,59,86,,,,
3,140962433228,СберБанк,"ул. Мира, 36Г, Волжский",www.sberbank.ru,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-18:30, 'sun': выходной",48.776058,44.796151,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",86,84,87,83,76,100,,,
4,25365037130,СберБанк,"ул. Энгельса, 39, Волжский",www.sberbank.ru,"'mon': 08:30-17:30, 'tue': 08:30-17:30, 'wed': 08:30-17:30, 'thu': 08:30-17:30, 'fri': 08:30-17:30, 'sat': 08:30-17:30, 'sun': выходной",48.790002,44.767593,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",80,79,82,57,55,100,,,
5,1093697796,СберБанк,"ул. Мира, 71, Волжский",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-18:00, 'sun': выходной",48.771140,44.805150,"4,8",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",81,82,84,77,77,95,43,60,
6,1685024411,СберБанк,"площадь Труда, 19, Волжский",www.sberbank.ru,"'mon': 08:30-17:30, 'tue': 08:30-17:30, 'wed': 08:30-17:30, 'thu': 08:30-17:30, 'fri': 08:30-17:30, 'sat': 08:30-17:30, 'sun': выходной",48.783762,44.784018,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",87,87,90,69,71,,,,
7,19678676740,СберБанк,"просп. имени Ленина, 120, Волжский",www.sberbank.ru,"'mon': 08:30-17:30, 'tue': 08:30-17:30, 'wed': 08:30-17:30, 'thu': 08:30-17:30, 'fri': 08:30-17:30, 'sat': 08:30-17:30, 'sun': выходной",48.776181,44.761188,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",83,80,85,62,40,100,,,
8,189861435249,СберБанк,"просп. Дружбы, 87, Волжский",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-18:00, 'sun': выходной",48.761997,44.804723,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",85,87,86,68,83,92,,,
9,1131826379,СберБанк,"ул. Николая Отрады, 17, Волгоград",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-18:00, 'sun': выходной",48.822786,44.638504,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",86,84,92,57,60,100,,,80
10,1062247345,СберБанк,"ул. Менжинского, 11А, Волгоград",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-18:00, 'sun': выходной",48.816469,44.623496,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sber']",88,88,91,36,43,100,,,
11,1135124253,СберБанк,"ул. 40 лет Победы, 61Г, Волжский",www.sberbank.ru,"'mon': 08:30-17:30, 'tue': 08:30-17:30, 'wed': 08:30-17:30, 'thu': 08:30-17:30, 'fri': 08:30-17:30, 'sat': 08:30-17:30, 'sun': выходной",48.761250,44.814509,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",88,85,87,89,,100,,,
12,1096815691,СберБанк,"просп. имени В.И. Ленина, 209, Волгоград",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-18:00, 'sun': выходной",48.798619,44.601647,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sber', 'https://t.me/sberbank', 'https://vk.com/sber']",86,84,88,43,,,,,
13,1012777115,СберБанк,"ул. Николая Отрады, 26А, Волгоград",www.sberbank.ru,"'mon': 09:00-17:30, 'tue': 09:00-17:30, 'wed': 09:00-17:30, 'thu': 09:00-17:30, 'fri': 09:00-17:30, 'sat': 09:00-17:30, 'sun': выходной",48.818038,44.631659,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",91,90,95,69,53,88,,,
14,137739192662,СберБанк,"Луганская ул., 3, Волжский",www.sberbank.ru,"'mon': выходной, 'tue': 08:30-13:00,14:00-17:30, 'wed': 08:30-13:00,14:00-17:30, 'thu': 08:30-13:00,14:00-17:30, 'fri': 08:30-13:00,14:00-17:30, 'sat': 09:00-13:00,14:00-16:45, 'sun': выходной",48.904405,44.776382,"3,1",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,,
15,1011052830,СберБанк,"ул. Батова, 1, Волгоград",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-18:00, 'sun': выходной",48.796197,44.590460,"4,9",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",88,86,89,93,75,100,,,
