ID,name,address,website,opening_hours,ypage,lat,lon,rating,phone,social
47641268692,СберБанк,"ул. Шувалова, 22, корп. 1, Мурино",,,,60.060289,30.431881,"4,7",,
61936429444,СберБанк,"Привокзальная площадь, 1А, корп. 1, Мурино",,,,60.050707,30.446057,"4,5",,
186139030206,СберБанк,"просп. Авиаторов Балтики, 7, Мурино",,,,60.05247,30.438872,"4,5",,
1125605053,СберБанк,"Озёрная ул., 4, д. Новое Девяткино",,,,60.056952,30.47677,"4,6",,
110265406586,СберБанк,"Муринская дорога, 53, Санкт-Петербург",,,,60.03233,30.458442,"4,6",,
1073820680,СберБанк,"Гражданский просп., 117, корп. 1, Санкт-Петербург",,,,60.033514,30.419412,"4,4",,
1773591450,СберБанк,"просп. Просвещения, 87, корп. 1, Санкт-Петербург",,,,60.036481,30.413329,"4,4",,
1105589432,СберБанк,"просп. Просвещения, 78, Санкт-Петербург",,,,60.039684,30.401251,"4,3",,
1642123270,СберБанк,"просп. Просвещения, 53, корп. 1, Санкт-Петербург",,,,60.042999,30.380855,"4,3",,
124264199403,СберБанк,"ул. Бутлерова, 40, Санкт-Петербург",,,,60.010253,30.404325,"4,7",,
1087111979,СберБанк,"Гражданский просп., 105, корп. 1, Санкт-Петербург",,,,60.027958,30.413824,"4,4",,
1063861651,СберБанк,"Шоссейная ул., 12, посёлок Бугры",,,,60.068875,30.393069,"3,7",,
1022285461,СберБанк,"просп. Просвещения, 67, Санкт-Петербург",,,,60.040688,30.392546,"4,4",,
1263754551,СберБанк,"Гражданский просп., 92, корп. 1, Санкт-Петербург",,,,60.019231,30.40279,"4,2",,
1012565699,СберБанк,"просп. Науки, 30, корп. 1, Санкт-Петербург",,,,60.008349,30.418102,"4,4",,
1088654887,СберБанк,"Железнодорожная ул., 24, городской посёлок Кузьмоловский",,,,60.112034,30.489468,"4,1",,
1070716259,СберБанк,"просп. Науки, 41, Санкт-Петербург",,,,60.008666,30.412795,"4,4",,
