,ID,name,address,website,opening_hours,ypage,lat,lon,rating,phone,social
0,51286393412,СберБанк,"просп. Мира, 32, Снежинск",,,,56.073875,60.751025,,,
1,25111087256,СберБанк,"ул. Строителей, 5, Снежинск",,,,56.066911,60.769456,,,
2,73565451224,СберБанк,"ул. Академика Забабахина, 37, Снежинск",,,,56.078113,60.761780,,,
3,216353883025,СберБанк,"ул. Академика Забабахина, 1, Снежинск",,,,56.079935,60.743976,,,
4,1091228687,СберБанк,"просп. Мира, 19, Снежинск",,,,56.076220,60.754773,,,
5,1038719568,СберБанк,"ул. Свердлова, 15, Снежинск",,,,56.087425,60.731479,,,
6,1150955353,СберБанк,"Транспортная ул., 35, Снежинск",,,,56.072149,60.738164,,,
7,1031750602,СберБанк,"ул. Дзержинского, 39, Снежинск",,,,56.082833,60.720507,,,
8,1123462860,СберБанк,"ул. Академика Забабахина, 19, Снежинск",,,,56.078325,60.756947,,,
9,205638463262,СберБанк,"ул. Победы, 1А, рабочий посёлок Вишневогорск",,,,55.999647,60.659386,,,
10,103497508280,СберБанк,"ул. Ленина, 54, рабочий посёлок Вишневогорск",,,,56.003669,60.662971,,,
11,212009938300,СберБанк,"ул. Ленина, 59, Касли",,,,55.896500,60.760500,,,
12,181046642067,СберБанк,"ул. Лобашова, 143, Касли",,,,55.900177,60.736334,,,
13,29105179034,СберБанк,"ул. Революции, 2, Касли",,,,55.895827,60.753981,,,
