,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Банкомат,Время ожидания,График работы,Обслуживание,Отношение к клиентам,Персонал,Расположение,Кредит,Ипотека,Ремонт
0,1353116747,СберБанк,"ул. Геологов, 12, микрорайон Белые Столбы, Домодедово",www.sberbank.ru,"'mon': 08:30-13:00,13:45-17:00, 'tue': 08:30-13:00,13:45-17:00, 'wed': 08:30-13:00,13:45-17:00, 'thu': 08:30-13:00,13:45-17:00, 'fri': 08:30-13:00,13:45-17:00, 'sat': 08:30-13:00,13:45-17:00, 'sun': выходной",55.329155,37.846113,"2,9",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",8,14,0,33,45,,,,,
1,212851331192,СберБанк,"Каширское ш., 60, Домодедово",www.sberbank.ru,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-19:00, 'sun': выходной",55.433486,37.766055,"4,7",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sber/', 'https://vk.com/sberbank']",57,58,42,74,71,78,86,57,87,
2,1186147501,СберБанк,"ул. Заря, 18, село Растуново",www.sberbank.ru,"'mon': выходной, 'tue': 08:30-13:00,13:45-17:15, 'wed': 08:30-13:00,13:45-17:15, 'thu': 08:30-13:00,13:45-17:15, 'fri': 08:30-13:00,13:45-17:15, 'sat': 08:30-13:00,14:00-17:15, 'sun': выходной",55.275924,37.839654,"4,0",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",28,22,0,67,83,78,,,,
3,1021679213,СберБанк,"просп. Академика Туполева, 2Б, микрорайон Авиационный, Домодедово",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-18:00, 'sun': выходной",55.415012,37.833365,"4,6",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",38,58,60,70,68,71,94,,,
4,1052304269,СберБанк,"Рабочая ул., 49, Домодедово",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-18:00, 'sun': выходной",55.424563,37.765351,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",13,47,17,71,72,78,76,,,
5,1159262600,СберБанк,"Московская область, городской округ Домодедово, аэропорт Домодедово имени М.В. Ломоносова, 1",www.sberbank.ru,"'mon': 00:15-23:30, 'tue': 00:15-23:30, 'wed': 00:15-23:30, 'thu': 00:15-23:30, 'fri': 00:15-23:30, 'sat': 00:15-23:30, 'sun': 00:15-23:30",55.414077,37.899186,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",45,40,,66,68,67,,,,
6,65806523877,СберБанк,"Московская область, городской округ Чехов, городок Чехов-7, улица Победы, 11",www.sberbank.ru,"'mon': 08:30-13:00,14:00-16:30, 'tue': выходной, 'wed': выходной, 'thu': 08:30-13:00,14:00-16:30, 'fri': 08:30-13:00,14:00-16:30, 'sat': выходной, 'sun': выходной",55.270195,37.890858,"3,9",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",5,27,,75,,90,,,,
7,1157435327,СберБанк,"Советская ул., 1, микрорайон Центральный, Домодедово",www.sberbank.ru,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-19:00, 'sun': выходной",55.439248,37.770833,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",54,58,,73,74,78,92,,,
8,108683287405,СберБанк,"ул. Гагарина, 45, микрорайон Северный, Домодедово",www.sberbank.ru,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': выходной, 'sun': выходной",55.450760,37.743639,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sber']",49,57,,73,71,76,96,,,67
9,131760340838,СберБанк,"ул. Корнеева, 8, Домодедово",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-18:00, 'sun': выходной",55.435800,37.772778,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",45,52,,63,62,68,,,,
10,1252510678,СберБанк,"просп. Ленинского Комсомола, 3, Видное",www.sberbank.ru,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-19:00, 'sun': выходной",55.547438,37.713749,"4,8",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",62,62,59,78,78,82,97,,,
11,1550949270,СберБанк,"8, микрорайон Родники, посёлок Знамя Октября",www.sberbank.ru,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной",55.467586,37.544944,"4,8",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",36,73,27,88,88,87,69,,,
12,97135478607,СберБанк,"Железнодорожная ул., 44, Щербинка",www.sberbank.ru,"'mon': 10:00-20:00, 'tue': 10:00-20:00, 'wed': 10:00-20:00, 'thu': 10:00-20:00, 'fri': 10:00-20:00, 'sat': 10:00-20:00, 'sun': 10:00-18:00",55.499240,37.567607,"4,9",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",71,72,,78,76,81,89,,,
13,1101057062,СберБанк,"бул. Адмирала Ушакова, 5, Москва",www.sberbank.ru,"'mon': 08:30-20:00, 'tue': 08:30-20:00, 'wed': 08:30-20:00, 'thu': 08:30-20:00, 'fri': 08:30-20:00, 'sat': 08:30-20:00, 'sun': 09:00-15:00",55.546941,37.552214,"4,7",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",87,71,93,79,76,80,98,,,
14,54944782791,СберБанк,"Старокачаловская ул., 5А, Москва",www.sberbank.ru,"'mon': 10:00-20:00, 'tue': 10:00-20:00, 'wed': 10:00-20:00, 'thu': 10:00-20:00, 'fri': 10:00-20:00, 'sat': 10:00-20:00, 'sun': 10:00-15:00",55.569851,37.579053,"4,9",['8 (800) 555-55-50Показать телефон'],['https://vk.com/sberbank'],72,68,85,84,83,87,87,,,
15,1222437110,СберБанк,"Февральская ул., 57, Подольск",www.sberbank.ru,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-18:30, 'sun': выходной",55.431923,37.548654,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",48,51,40,80,80,82,88,,,61
16,1361337507,СберБанк,"ул. Циолковского, 10/6, Подольск",www.sberbank.ru,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': 09:30-18:30, 'sun': выходной",55.399564,37.556786,"4,5",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",29,50,,76,75,79,85,,,69
17,1001085265,СберБанк,"Советская ул., 2Б, Видное",www.sberbank.ru,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-19:00, 'sun': выходной",55.552378,37.701719,"4,7",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",61,73,90,81,81,81,96,,,
18,1225389159,СберБанк,"ул. Ульяновых, 1, Подольск",www.sberbank.ru,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной",55.434414,37.564880,"4,5",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",57,71,,84,80,84,86,,,
19,1025767099,СберБанк,"Старокачаловская ул., 1, корп. 1, Москва",www.sberbank.ru,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': 09:00-15:00, 'sun': выходной",55.568360,37.587815,"4,6",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sber/', 'https://t.me/sberbank', 'https://vk.com/sberbank']",63,66,50,76,75,76,83,64,81,
20,1100986746,СберБанк,"Советская ул., 34А, Видное",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-18:00, 'sun': выходной",55.548451,37.701602,"4,9",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sber/', 'https://vk.com/sberbank']",73,78,35,78,76,81,61,65,68,
21,35018678745,СберБанк,"ул. Красного Маяка, 2Б, Москва",www.sberbank.ru,"'mon': 10:30-20:30, 'tue': 10:30-20:30, 'wed': 10:30-20:30, 'thu': 10:30-20:30, 'fri': 10:30-20:30, 'sat': 10:30-19:30, 'sun': 10:30-19:30",55.611275,37.606616,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",67,59,80,77,74,78,97,,,
22,1149986837,СберБанк,"ул. Свердлова, 9, Подольск",www.sberbank.ru,"'mon': выходной, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-18:30, 'sun': выходной",55.426688,37.541858,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",64,73,73,82,79,83,95,,,
