,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Обслуживание,Отношение к клиентам,Персонал,Время ожидания,Банкомат,Расположение,График работы,Ипотека,Кредит,Ремонт
0,1252510678,СберБанк,"просп. Ленинского Комсомола, 3, Видное",www.sberbank.ru,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-19:00, 'sun': выходной",55.547438,37.713749,"4,8",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",78,78,82,62,62,97,59,,,
1,1001085265,СберБанк,"Советская ул., 2Б, Видное",www.sberbank.ru,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-19:00, 'sun': выходной",55.552378,37.701719,"4,7",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",81,81,81,73,61,96,90,,,
2,1100986746,СберБанк,"Советская ул., 34А, Видное",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-18:00, 'sun': выходной",55.548451,37.701602,"4,9",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sber/', 'https://vk.com/sberbank']",78,76,81,78,73,61,35,68,65,
3,1262351001,СберБанк,"Бирюлёвская ул., 55, корп. 1, стр. 2, Москва",www.sberbank.ru,"'mon': 09:00-19:30, 'tue': 09:00-19:30, 'wed': 09:00-19:30, 'thu': 09:00-19:30, 'fri': 09:00-19:30, 'sat': 09:00-19:30, 'sun': выходной",55.583431,37.677086,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",83,82,88,61,69,96,90,,,
4,84941437349,СберБанк,"Бирюлёвская ул., 37, корп. 1, Москва",www.sberbank.ru,"'mon': 08:30-19:30, 'tue': 08:30-19:30, 'wed': 08:30-19:30, 'thu': 08:30-19:30, 'fri': 08:30-19:30, 'sat': 08:30-19:30, 'sun': выходной",55.588660,37.665139,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",82,81,83,71,61,89,78,,,
5,1093145815,СберБанк,"Булатниковская ул., 6А, Москва",www.sberbank.ru,"'mon': 09:00-20:00, 'tue': 09:00-20:00, 'wed': 09:00-20:00, 'thu': 09:00-20:00, 'fri': 09:00-20:00, 'sat': 09:00-20:00, 'sun': выходной",55.580917,37.643933,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",79,79,80,57,42,88,36,,,70
6,54944782791,СберБанк,"Старокачаловская ул., 5А, Москва",www.sberbank.ru,"'mon': 10:00-20:00, 'tue': 10:00-20:00, 'wed': 10:00-20:00, 'thu': 10:00-20:00, 'fri': 10:00-20:00, 'sat': 10:00-20:00, 'sun': 10:00-15:00",55.569851,37.579053,"4,9",['8 (800) 555-55-50Показать телефон'],['https://vk.com/sberbank'],84,83,87,68,72,87,85,,,
7,170360915505,СберБанк,"МКАД, 24-й километр, 1, посёлок Совхоза имени Ленина",www.sberbank.ru,"'mon': выходной, 'tue': 10:00-17:45, 'wed': 10:00-17:45, 'thu': 10:00-17:45, 'fri': 10:00-17:45, 'sat': 10:00-17:45, 'sun': выходной",55.585327,37.724823,"4,3",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",60,63,59,43,46,,,,,
8,1025767099,СберБанк,"Старокачаловская ул., 1, корп. 1, Москва",www.sberbank.ru,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': 09:00-15:00, 'sun': выходной",55.568360,37.587815,"4,6",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sber/', 'https://t.me/sberbank', 'https://vk.com/sberbank']",76,75,76,66,63,83,50,81,64,
9,1074903265,СберБанк,"Россошанская ул., 3, корп. 1А, стр. 2, Москва",www.sberbank.ru,"'mon': 08:30-19:30, 'tue': 08:30-19:30, 'wed': 08:30-19:30, 'thu': 08:30-19:30, 'fri': 08:30-19:30, 'sat': 08:30-19:30, 'sun': выходной",55.595163,37.607431,"4,7",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",86,86,90,69,73,93,77,,,
10,38482343558,СберБанк,"Медынская ул., 5А, корп. 1, Москва",www.sberbank.ru,"'mon': 08:30-19:30, 'tue': 08:30-19:30, 'wed': 08:30-19:30, 'thu': 08:30-19:30, 'fri': 08:30-19:30, 'sat': 08:30-19:30, 'sun': выходной",55.590633,37.647208,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",80,78,79,55,67,95,55,,,
11,52904631303,СберБанк,"Варшавское ш., 160, Москва",www.sberbank.ru,"'mon': 10:00-19:00, 'tue': 10:00-19:00, 'wed': 10:00-19:00, 'thu': 10:00-19:00, 'fri': 10:00-19:00, 'sat': 10:00-19:00, 'sun': выходной",55.583081,37.595440,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",84,84,87,71,54,88,0,,,
12,1010704601,СберБанк,"29А, посёлок Развилка",www.sberbank.ru,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': 09:30-18:30, 'sun': выходной",55.589030,37.754359,"4,2",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",72,69,73,43,10,,10,,,
13,1001697864,СберБанк,"ул. Академика Янгеля, 4, корп. 2, Москва",www.sberbank.ru,"'mon': 09:00-19:30, 'tue': 09:00-19:30, 'wed': 09:00-19:30, 'thu': 09:00-19:30, 'fri': 09:00-19:30, 'sat': 09:00-19:30, 'sun': выходной",55.596015,37.593827,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",76,77,81,59,57,95,82,,,
14,1235641738,СберБанк,"ул. 40 лет Октября, 15/1, Щербинка",www.sberbank.ru,"'mon': 08:30-19:30, 'tue': 08:30-19:30, 'wed': 08:30-19:30, 'thu': 08:30-19:30, 'fri': 08:30-19:30, 'sat': 08:30-19:30, 'sun': выходной",55.511731,37.573517,"4,8",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",83,84,89,73,72,83,68,,,
15,1070432166,СберБанк,"11, рабочий посёлок Измайлово",www.sberbank.ru,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной",55.562828,37.644695,"1,8",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,,,
16,1052154505,СберБанк,"Новое ш., 79, рабочий посёлок Горки Ленинские",www.sberbank.ru,"'mon': 08:30-13:00,13:30-16:00, 'tue': 08:30-13:00,13:30-16:00, 'wed': 08:30-13:00,13:30-16:00, 'thu': 08:30-13:00,13:30-16:00, 'fri': 08:30-13:00,13:30-16:00, 'sat': 08:30-14:30, 'sun': выходной",55.507412,37.778021,"3,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",88,85,100,,10,,,,,
