,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Обслуживание,Отношение к клиентам,Персонал,Время ожидания,Банкомат,График работы
0,20899308797,СберБанк,"просп. Ленина, 35, Братск",www.sberbank.ru,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-19:00, 'sun': выходной",C56.15129,101.63232,"4,4",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",65,69,67,35,,
1,1034023333,СберБанк,"ул. Крупской, 35А, Братск",www.sberbank.ru,"'mon': 09:30-17:00, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной",C56.17341,101.61614,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",71,77,76,69,,
2,1175362453,СберБанк,"ул. Обручева, 5, Братск",www.sberbank.ru,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': 09:30-18:30, 'sun': выходной",C56.16150,101.62104,"4,4",['8 (800) 555-55-50Показать телефон'],['https://vk.com/sberbank'],79,74,81,56,,
3,1240446383,СберБанк,"ул. Мира, 31, Братск",www.sberbank.ru,"'mon': 10:00-18:00, 'tue': 10:00-18:00, 'wed': 10:00-18:00, 'thu': 10:00-18:00, 'fri': 10:00-18:00, 'sat': 10:00-18:00, 'sun': выходной",C56.15454,101.62120,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",87,69,83,,,
4,1118278901,СберБанк,"ул. Баркова, 19А, Братск",www.sberbank.ru,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': 09:30-18:30, 'sun': выходной",C56.15587,101.59218,"4,3",['8 (800) 555-55-50Показать телефон'],['https://vk.com/sberbank'],89,86,81,,20,0
5,1014291262,СберБанк,"ул. Холоднова, 4, жилой район Энергетик, Братск",www.sberbank.ru,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': 09:30-18:30, 'sun': выходной",C56.30240,101.75393,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",86,85,84,,,
6,1081682791,СберБанк,"ул. Мечтателей, 1, жилой район Энергетик, Братск",www.sberbank.ru,"'mon': 10:00-18:00, 'tue': 10:00-18:00, 'wed': 10:00-18:00, 'thu': 10:00-18:00, 'fri': 10:00-18:00, 'sat': 10:00-18:00, 'sun': выходной",C56.31069,101.73865,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",86,81,86,71,,
7,1178116791,СберБанк,"ул. Гидростроителей, 51, жилой район Падун, Братск",www.sberbank.ru,"'mon': 10:00-18:00, 'tue': 10:00-18:00, 'wed': 10:00-18:00, 'thu': 10:00-18:00, 'fri': 10:00-18:00, 'sat': 10:00-18:00, 'sun': выходной",C56.29207,101.72510,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",67,71,75,,,
8,1002425339,СберБанк,"Сосновая ул., 3Б, жилой район Гидростроитель, Братск",www.sberbank.ru,"'mon': 09:30-18:00, 'tue': 09:30-18:00, 'wed': 09:30-18:00, 'thu': 09:30-18:00, 'fri': 09:30-18:00, 'sat': 09:30-18:00, 'sun': выходной",C56.28487,101.89117,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",88,83,86,67,,
9,1108714522,СберБанк,"ул. Дзержинского, 42А, Вихоревка",www.sberbank.ru,"'mon': 10:00-18:00, 'tue': 10:00-18:00, 'wed': 10:00-18:00, 'thu': 10:00-18:00, 'fri': 10:00-18:00, 'sat': 10:00-18:00, 'sun': выходной",C56.12301,101.16506,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",88,87,87,,,
10,244612427684,СберБанк,"ул. Дзержинского, 127Б, Вихоревка",www.sberbank.ru,"'mon': 10:00-13:00,14:00-18:00, 'tue': 10:00-13:00,14:00-18:00, 'wed': 10:00-13:00,14:00-18:00, 'thu': 10:00-13:00,14:00-18:00, 'fri': 10:00-13:00,14:00-17:45, 'sat': выходной, 'sun': выходной",C56.12013,101.18471,"3,9",['8 (800) 555-55-50Показать телефон'],['https://vk.com/sberbank'],,,,,,
