,ID,name,address,website,ypage,lat,lon,rating,phone,social,opening_hours.mon,opening_hours.tue,opening_hours.wed,opening_hours.thu,opening_hours.fri,opening_hours.sat,opening_hours.sun
0,244210173548,Банк ВТБ,"Московское ш., 4, корп. 4, Самара",vtb.ru,https://yandex.ru/maps/org/bank_vtb/244210173548/?ll=50.148361%2C53.204277&z=16,53.204277,50.148361,"4,4",['8 (800) 100-24-24Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,выходной,выходной
1,1066753431,Банк ВТБ,"ул. Гагарина, 51, Самара",vtb.ru,https://yandex.ru/maps/org/bank_vtb/1066753431/?ll=50.179451%2C53.200016&z=16,53.200016,50.179451,"4,3",['8 (800) 100-24-24Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,10:00-17:00,выходной
2,9995212339,Банк ВТБ,"просп. Кирова, 391А, Самара",vtb.ru,https://yandex.ru/maps/org/bank_vtb/9995212339/?ll=50.224807%2C53.250313&z=16,53.250313,50.224807,"4,3",['8 (800) 100-24-24Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-17:00,выходной
3,1002720510,Банк ВТБ,"ул. Стара-Загора, 139, Самара",vtb.ru,https://yandex.ru/maps/org/bank_vtb/1002720510/?ll=50.221969%2C53.235090&z=16,53.235090,50.221969,"4,3",['8 (800) 100-24-24Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,10:00-17:00,выходной
4,96701976720,Банк ВТБ,"ул. Победы, 100, Самара",vtb.ru,https://yandex.ru/maps/org/bank_vtb/96701976720/?ll=50.256141%2C53.216642&z=16,53.216642,50.256141,"4,2",['8 (800) 100-24-24Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,10:00-17:00,выходной
5,165468719023,Банк ВТБ,"Ново-Садовая ул., 182, Самара",vtb.ru,https://yandex.ru/maps/org/bank_vtb/165468719023/?ll=50.192091%2C53.237860&z=16,53.237860,50.192091,"4,3",['8 (800) 100-24-24Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,выходной,выходной
6,1127847295,Банк ВТБ,"Молодогвардейская ул., 204, Самара",vtb.ru,https://yandex.ru/maps/org/bank_vtb/1127847295/?ll=50.108880%2C53.202092&z=16,53.202092,50.108880,"4,3",['8 (800) 100-24-24Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,10:00-17:00,выходной
7,1358616815,Банк ВТБ,"ул. Агибалова, 48, Самара",vtb.ru,https://yandex.ru/maps/org/bank_vtb/1358616815/?ll=50.119956%2C53.190419&z=16,53.190419,50.119956,"4,3",['8 (800) 100-24-24Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,10:00-17:00,выходной
8,1245173360,Банк ВТБ,"Ленинградская ул., 50, Самара",,https://yandex.ru/maps/org/bank_vtb/1245173360/?ll=50.092737%2C53.187294&z=16,53.187294,50.092737,"4,1",['8 (800) 100-24-24Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-17:00,выходной
9,1010914178,Банк ВТБ,"ул. Сергея Лазо, 44, посёлок Управленческий, Самара",vtb.ru,https://yandex.ru/maps/org/bank_vtb/1010914178/?ll=50.226299%2C53.346946&z=16,53.346946,50.226299,"4,4",['8 (800) 100-24-24Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,10:00-17:00,выходной
