,ID,name,address,website,ypage,lat,lon,rating,phone,social,opening_hours.mon,opening_hours.tue,opening_hours.wed,opening_hours.thu,opening_hours.fri,opening_hours.sat,opening_hours.sun
0,1169853877,Банк ВТБ,"просп. Ленина, 83, Челябинск",vtb.ru,https://yandex.ru/maps/org/bank_vtb/1169853877/?ll=61.371382%2C55.158637&z=16,55.158637,61.371382,"4,2",['8 (800) 100-24-24Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,10:00-15:00,выходной
1,1099282567,Банк ВТБ,"Комсомольский просп., 41, Челябинск",vtb.ru,https://yandex.ru/maps/org/bank_vtb/1099282567/?ll=61.338944%2C55.194044&z=16,55.194044,61.338944,"4,0",['8 (800) 100-24-24Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,10:00-15:00,выходной
2,201398971139,Банк ВТБ,"просп. Ленина, 28, Челябинск",vtb.ru,https://yandex.ru/maps/org/bank_vtb/201398971139/?ll=61.424858%2C55.161564&z=16,55.161564,61.424858,"4,3",['8 (800) 100-24-24Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,10:00-15:00,выходной
3,132151297452,Банк ВТБ,"ул. Блюхера, 55, Челябинск",vtb.ru,https://yandex.ru/maps/org/bank_vtb/132151297452/?ll=61.369801%2C55.131620&z=16,55.131620,61.369801,"4,3",['8 (800) 100-24-24Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,выходной,выходной
4,1206717278,Банк ВТБ,"ул. 40-летия Победы, 29, Челябинск",,https://yandex.ru/maps/org/bank_vtb/1206717278/?ll=61.301753%2C55.184587&z=16,55.184587,61.301753,"4,3",['8 (800) 100-24-24Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,выходной,выходной
5,218151616018,Банк ВТБ,"ул. Пушкина, 63, Челябинск",vtb.ru,https://yandex.ru/maps/org/bank_vtb/218151616018/?ll=61.409345%2C55.160160&z=16,55.160160,61.409345,"4,0",['8 (800) 100-24-24Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,выходной,выходной
6,1311095897,Банк ВТБ,"ул. Гагарина, 8, Челябинск",vtb.ru,https://yandex.ru/maps/org/bank_vtb/1311095897/?ll=61.442447%2C55.142808&z=16,55.142808,61.442447,"4,2",['8 (800) 100-24-24Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-15:00,выходной
7,1376809375,Банк ВТБ,"ул. Свободы, 110Б, Челябинск",vtb.ru,https://yandex.ru/maps/org/bank_vtb/1376809375/?ll=61.414510%2C55.143369&z=16,55.143369,61.414510,"4,3",['8 (800) 100-24-24Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,выходной,выходной
8,1055168996,Банк ВТБ,"ул. Кирова, 1, Челябинск",vtb.ru,https://yandex.ru/maps/org/bank_vtb/1055168996/?ll=61.399715%2C55.182937&z=16,55.182937,61.399715,"4,3",['8 (800) 100-24-24Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,выходной,выходной
9,1129404206,Банк ВТБ,"Салютная ул., 2, Челябинск",vtb.ru,https://yandex.ru/maps/org/bank_vtb/1129404206/?ll=61.457118%2C55.171730&z=16,55.171730,61.457118,"4,2",['8 (800) 100-24-24Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-15:00,выходной
10,67674013259,Банк ВТБ,"ул. Свободы, 110Б, Челябинск",www.vtb.ru,https://yandex.ru/maps/org/bank_vtb/67674013259/?ll=61.414510%2C55.143369&z=16,55.143369,61.414510,"4,1",['8 (800) 100-24-24Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,выходной,выходной
11,1207216158,Банк ВТБ,"просп. Ленина, 26А, Челябинск",vtb.ru,https://yandex.ru/maps/org/bank_vtb/1207216158/?ll=61.431345%2C55.161913&z=16,55.161913,61.431345,"4,2",['8 (800) 200-77-99Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-17:00,выходной,выходной
12,1137218023,Банк ВТБ,"ул. Сталеваров, 11, Челябинск",vtb.ru,https://yandex.ru/maps/org/bank_vtb/1137218023/?ll=61.403326%2C55.259880&z=16,55.259880,61.403326,"4,2",['8 (800) 100-24-24Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,10:00-15:00,выходной
13,214768003588,Банк ВТБ,"ул. Богдана Хмельницкого, 21, Челябинск",vtb.ru,https://yandex.ru/maps/org/bank_vtb/214768003588/?ll=61.388980%2C55.258207&z=16,55.258207,61.388980,"4,3",['8 (800) 100-24-24Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,выходной,выходной
14,81381933410,Банк ВТБ,"Комсомольский просп., 33, Челябинск",,https://yandex.ru/maps/org/bank_vtb/81381933410/?ll=61.349301%2C55.193998&z=17,55.193998,61.349301,,['8 (800) 200-77-99Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,выходной,выходной
