,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Обслуживание,Отношение к клиентам,load_time
0,1749059104,Альфа-Банк,"Комсомольский просп., 113, Челябинск",alfabank.ru,"'mon': 08:00-23:00, 'tue': 08:00-23:00, 'wed': 08:00-23:00, 'thu': 08:00-23:00, 'fri': 08:00-23:00, 'sat': 08:00-23:00, 'sun': 08:00-23:00",55.185497,61.285871,,['8 (800) 200-00-00Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank']",,,2024-06-24 12:14:37
1,1016505835,Альфа-Банк,"ул. Кирова, 2А, Челябинск",alfabank.ru,"'mon': 09:00-20:00, 'tue': 09:00-20:00, 'wed': 09:00-20:00, 'thu': 09:00-20:00, 'fri': 09:00-20:00, 'sat': 09:00-20:00, 'sun': 09:00-20:00",55.183770,61.398232,,['8 (800) 200-00-00Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank']",,,2024-06-24 12:14:37
2,195139340619,Альфа-Банк,"ул. Труда, 37А, Псков",alfabank.ru,"'mon': 08:30-23:00, 'tue': 08:30-23:00, 'wed': 08:30-23:00, 'thu': 08:30-23:00, 'fri': 08:30-23:00, 'sat': 08:30-23:00, 'sun': 08:30-23:00",57.832205,28.345063,,['8 (800) 200-00-00Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank']",,,2024-06-24 12:14:37
3,1728725988,Альфа-Банк,"Сормовская ул., 108/1, Краснодар",alfabank.ru,"'mon': 07:00-01:00, 'tue': 07:00-01:00, 'wed': 07:00-01:00, 'thu': 07:00-01:00, 'fri': 07:00-01:00, 'sat': 07:00-01:00, 'sun': 07:00-01:00",45.031757,39.092418,,['8 (800) 200-00-00Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank']",,,2024-06-24 12:14:37
4,184550851844,Альфа-Банк,"просп. 25 Октября, 42А, Гатчина",alfabank.ru,"'mon': 10:00-21:00, 'tue': 10:00-21:00, 'wed': 10:00-21:00, 'thu': 10:00-21:00, 'fri': 10:00-21:00, 'sat': 10:00-21:00, 'sun': 10:00-21:00",59.575283,30.126835,,['8 (800) 200-00-00Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank']",,,2024-06-24 12:14:37
5,187798824407,Альфа-Банк,"ул. Куйбышева, 25, Чапаевск",alfabank.ru,"'mon': 08:00-23:00, 'tue': 08:00-23:00, 'wed': 08:00-23:00, 'thu': 08:00-23:00, 'fri': 08:00-23:00, 'sat': 08:00-23:00, 'sun': 08:00-23:00",52.978803,49.707926,,['8 (800) 200-00-00Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank']",,,2024-06-24 12:14:37
6,1602589175,Альфа-Банк,"ул. Декабристов, 12, Москва",alfabank.ru,"'mon': 08:00-23:00, 'tue': 08:00-23:00, 'wed': 08:00-23:00, 'thu': 08:00-23:00, 'fri': 08:00-23:00, 'sat': 08:00-23:00, 'sun': 08:00-23:00",55.863172,37.602148,,['8 (800) 200-00-00Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank']",,,2024-06-24 12:14:37
7,50616556600,Альфа-Банк,"Полковая ул., 1/25, Пушкин",alfabank.ru,"'mon': 07:00-23:00, 'tue': 07:00-23:00, 'wed': 07:00-23:00, 'thu': 07:00-23:00, 'fri': 07:00-23:00, 'sat': 07:00-23:00, 'sun': 07:00-23:00",59.702323,30.381553,,['8 (800) 200-00-00Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank']",,,2024-06-24 12:14:37
8,1122898734,Альфа-Банк,"ул. Мастеркова, 4, Москва",alfabank.ru,"'mon': 00:00-23:59, 'tue': 00:00-23:59, 'wed': 00:00-23:59, 'thu': 00:00-23:59, 'fri': 00:00-23:59, 'sat': 00:00-23:59, 'sun': 00:00-23:59",55.708486,37.656640,,['8 (800) 200-00-00Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank']",,,2024-06-24 12:14:37
9,1779598614,Альфа-Банк,"ул. Маршала Катукова, 11, корп. 1, Москва",alfabank.ru,"'mon': 09:00-22:00, 'tue': 09:00-22:00, 'wed': 09:00-22:00, 'thu': 09:00-22:00, 'fri': 09:00-22:00, 'sat': 09:00-22:00, 'sun': 09:00-22:00",55.810982,37.403737,,['8 (800) 200-00-00Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank']",,,2024-06-24 12:14:37
