,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Кредит,Страхование,Банкомат,Расположение,График работы,load_time
0,alfa_bank/211489545511,Альфа-Банк,"Платовский просп., 90/1, Новочеркасск",alfabank.ru,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 10:00-16:00, 'sun': выходной",47.410784,40.099968,"4,4",['8 (800) 200-00-00Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank', 'https://www.youtube.com/user/alfabankru']",77,64,69,60,70,90,,2024-08-26 01:01:54
1,alfa_bank/67985212531,Альфа-Банк,"просп. Ленина, 26, Аксай",,"'mon': 10:00-19:00, 'tue': 10:00-19:00, 'wed': 10:00-19:00, 'thu': 10:00-19:00, 'fri': 10:00-19:00, 'sat': выходной, 'sun': выходной",47.266209,39.860611,"4,5",['8 (800) 200-00-00Показать телефон'],"['http://vk.com/alfabank', 'https://ok.ru/alfabank', 'https://www.youtube.com/user/alfabankru']",87,88,91,,,,,2024-08-26 01:01:54
2,alfa_bank/210613403917,Альфа-Банк,"ул. Энгельса, 182, Батайск",alfabank.ru,"'mon': 10:00-19:00, 'tue': 10:00-19:00, 'wed': 10:00-19:00, 'thu': 10:00-19:00, 'fri': 10:00-19:00, 'sat': выходной, 'sun': выходной",47.138793,39.750442,"4,9",['8 (800) 200-00-00Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank', 'https://www.youtube.com/user/alfabankru']",83,83,94,,80,100,,2024-08-26 01:01:54
3,alfa_bank/217676927782,Альфа-Банк,"просп. Победа Революции, 126, Шахты",alfabank.ru,"'mon': 09:00-20:00, 'tue': 09:00-20:00, 'wed': 09:00-20:00, 'thu': 09:00-20:00, 'fri': 09:00-20:00, 'sat': 10:00-18:00, 'sun': выходной",47.706963,40.213928,"4,7",['8 (800) 200-00-00Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank', 'https://www.youtube.com/user/alfabankru']",85,75,71,,67,100,,2024-08-26 01:01:54
4,alfa_bank/107784315143,Альфа-Банк,"Ворошиловский просп., 31, Ростов-на-Дону",alfabank.ru,"'mon': 09:00-20:00, 'tue': 09:00-20:00, 'wed': 09:00-20:00, 'thu': 09:00-20:00, 'fri': 09:00-20:00, 'sat': 10:00-18:00, 'sun': выходной",47.219991,39.719001,"4,2",['8 (800) 200-00-00Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank', 'https://www.youtube.com/user/alfabankru']",62,64,58,29,71,100,60,2024-08-26 01:01:54
5,alfa_bank/209411626377,Альфа-Банк,"Коммунистический просп., 27, Западный, Ростов-на-Дону",alfabank.ru,"'mon': 09:00-20:00, 'tue': 09:00-20:00, 'wed': 09:00-20:00, 'thu': 09:00-20:00, 'fri': 09:00-20:00, 'sat': 10:00-18:00, 'sun': выходной",47.206014,39.628837,"4,4",['8 (800) 200-00-00Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank', 'https://www.youtube.com/user/alfabankru']",63,58,69,,38,100,42,2024-08-26 01:01:54
6,alfa_bank/169805377565,Альфа-Банк,"просп. Королёва, 14А, Ростов-на-Дону",alfabank.ru,"'mon': 09:00-20:00, 'tue': 09:00-20:00, 'wed': 09:00-20:00, 'thu': 09:00-20:00, 'fri': 09:00-20:00, 'sat': 09:00-18:00, 'sun': выходной",47.294494,39.709264,"4,5",['8 (800) 200-00-00Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank', 'https://www.youtube.com/user/alfabankru']",66,62,79,,78,94,,2024-08-26 01:01:54
7,alfa_bank/1145727222,Альфа-Банк,"1-я Майская ул., 3, Нахичевань, Ростов-на-Дону",alfabank.ru,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной",47.232187,39.760620,"4,3",['8 (800) 200-00-00Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank', 'https://www.youtube.com/user/alfabankru']",73,68,76,,69,94,,2024-08-26 01:01:54
8,alfa_bank/244816750562,Альфа-Банк,"Будённовский просп., 42/50, Ростов-на-Дону",alfabank.ru,"'mon': 09:00-20:00, 'tue': 09:00-20:00, 'wed': 09:00-20:00, 'thu': 09:00-20:00, 'fri': 09:00-20:00, 'sat': 10:00-18:00, 'sun': выходной",47.222268,39.707054,"4,3",['8 (800) 200-00-00Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank', 'https://www.youtube.com/user/alfabankru']",51,46,64,,,75,,2024-08-26 01:01:54
9,alfa_bank/237620570239,Альфа-Банк,"просп. Космонавтов, 15, микрорайон Северный, Ростов-на-Дону",alfabank.ru,"'mon': 09:00-20:00, 'tue': 09:00-20:00, 'wed': 09:00-20:00, 'thu': 09:00-20:00, 'fri': 09:00-20:00, 'sat': 10:00-18:00, 'sun': выходной",47.284153,39.715058,"4,3",['8 (800) 200-00-00Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank', 'https://www.youtube.com/user/alfabankru']",66,62,79,,,,,2024-08-26 01:01:54
