name,date,text,stars,answer,load_time,city,id
Вера Латыпова,2024-04-16 15:45:59,"Отделение популярное, поэтому здесь всегда очереди. Зато обслуживают быстро. Отделение стандартное, но при этом очень приятное. Сотрудники вежливые, в отделении чисто и много места. Есть где посидеть и подождать своей очереди. Банкоматы есть и при этом представлены в хорошем виде.",5,,,Москва,77578209805
Карина Лапина,2024-04-05 17:44:45,"Нравится это отделение за расторопных менеджеров, прекрасно ориентирующихся в продуктах своего банка. Мне удобно сюда заскочить и после работы, т.к. отделение работает до 20:00. Мои вопросы тут решаются быстро. Открытие карты и расчетного счета для ип много времени у меня не заняло. Мне тогда менеджер во всех подробностях рассказала о преимуществах счетов для физ лиц и для ип",5,,,Москва,77578209805
Лера Болдырева,2024-03-09 09:40:42,"Мне расположение понравилось, недалеко от моего дома. Добралась быстро, обслуживалась не менее оперативно. Спасибо сотруднице Ольге, которая помогала мне с оформлением кредитной карты. Более полноценной консультации о возможностях продукта я еще не получала. Рекомендую на 1000%)",5,,,Москва,77578209805
Александр Супер,2023-12-13 16:13:51,"Хороший, уютный, чистый офис. С вежливыми и обходительными сотрудникам. Имеется три банкомата. Что порадовало, нет очередей. Для тех кому пришлось приехать на машине, есть место для стоянки. Расположение офиса очень удобное,прямо в центре.",5,"Здравствуйте, Александр!
Большое спасибо за то, что нашли время, чтобы оценить нас и написать отзыв. Нам очень приятно, что вы довольны.",,Москва,77578209805
Ирина Иванова,2024-01-27 19:57:13,"Офис удобно расположен, рядом со станцией метро. Очень понравился сотрудник. Приветливый, грамотный, оказал помощь в подборе кредита. Рекомендую.",5,,,Москва,77578209805
Анна Потапова,2024-01-08 03:51:09,"Я пришла в банк для того чтобы проконсультироваться по кредитной карте, и взять её в пользование, тк видела предложение о беспроцентном периоде в онлайн банке на 365 дней. Меня интересовало именно это предложение. Со рудник банка молодой человек отвел меня в отдельный стеклянный кабинет, где мы оформили кредитку. Я попросила рассказать мне обо всем, чтобы не насчитывался процент. Сотрудник банка выдал мне карту и сказал что у меня все сделано, что все хорошо и я могу спокойно пользоваться и не переживать. У меня не очень богатый опыт пользования кредитными картами. И я очень переживала сделать что-то не так. И в другой день я пришла опять в это отделение, для того чтобы снять наличные и хотела подойти к сотруднику работающему с кредитными картами. Однако менеджер на входе на ресепшене сказала что мне это не нужно и все хорошо. Что я могу спокойно снимать деньги. Со своими тратами я уложилась в 30 дней, как это и было оговорено. Но когда я начала вносить ежемесячные платежи, я увидела что большая часть денег уходит в проценты. Меня это немного смутило. Как оказалось в дальнейшем что у мен не было подписано дополнительное соглашение. Хотя я много раз спрашивала все ли хорошо и могу ли я пользоваться кредитной. Получается со рудники банка меня обманули и отнеслись очень халатно к моей проблеме. И теперь у меня каждый день начисляется большой процент. Прошу хоть как то помочь мне решить эту проблему. Я совершенно не знаю что делать. На днях я ездила в банк где мне сказали что сотрудники не обязаны об этом сообщать и как то помогать. Тогда зачем они работают если не могут хоть как то помочь и обезопасить и предупредить клиента.",1,"Здравствуйте, Анна!
Хотим разобраться и помочь. Напишите, пожалуйста, нам на почту smm@alfabank.ru ваши ФИО и дату рождения, а также прикрепите ссылку на этот комментарий.",,Москва,77578209805
Сергей Тимченко,2024-01-26 13:50:06,Категорически не рекомендую другие банки. У альфа банка самые выгодные проценты и условия по кредитной карте и в целом достаточно интересные предложения по кредитам. У альфа банка самый высокий процент по владу. Надежность альфа банка очень высоко оценивается различными мрниторинговыми агенствами. Смысл искать что то лучше?,5,,,Москва,77578209805
Дарья Трифонова,2024-02-26 13:37:21,"Пять баллов сотрудникам за сервис. К посетителям достойно относятся, готовы посоветовать как лучше сделать или какой продукт лучше открыть. Никакого навязывания, отталкиваются от пожеланий клиентов, я это очень ценю",5,,,Москва,77578209805
Галина С.,2023-09-12 14:28:56,"Все происходит быстро и четко. Банк в целом хороший. Отделения удобно расположены, есть банкоматы и терминалы. Система получения справок удобная , можно легко распечатать любой документ, полученный в электронном виде.",5,,,Москва,77578209805
Яна Афанасьева,2024-03-19 10:28:50,Поход в это отделение оставил прияное посевкусие. Приходила в офис узнавать как могу выгоднее вложить средства. Было приятно пообщаться с умным и культурным сотрудником. Получила отличную консультацию и ответы на все мои вопросы,5,,,Москва,77578209805
Ольга Тихонова,2024-04-29 16:00:44,"Была тут второй раз, помогали с перевыпуском моей дебетовой карты. думала процесс займет много времени, но совсем не так вышло. Уже на следующий день я получила карточку с рекомендациями по самостоятельному перевыпуску если ситуация повторится)",5,,,Москва,77578209805
Максим З.,2023-11-16 17:03:54,"Всегда очень много народа в очереди. Работников от 3 до 5 в дневное время, но обслуживают ровно половина менеджеров. Остальные сидят на обзвоне. Плюс ещё двое, видимо начальство, важно мотаются по офису взад вперёд. Банкоматы видимо берут пример с работников. Из 4 терминалов вечно один не работает.",3,"Здравствуйте, Максим!
Иногда возникает очередь. К нам обращаются с разными вопросами, всегда стараемся решить их побыстрее. Извините, что заставили ждать.",,Москва,77578209805
ЭЛЬМАН ГАСАНЛИ,2024-02-27 08:35:50,"Хочу искренне поблагодарить Алине Буравлеве.
Высокий профессионализм интеллект и человеческие качества. 
Девочка просто умница. 
Ставлю 10+",5,,,Москва,77578209805
Милана Черных,2024-04-10 14:38:23,При непосредственном обращении в этот офис мне классно объяснили в каком случае кредитка становится выгоднее чем простой кредит. Вот на мои цели оказалось что брать кредит не так выгодно. А кредитка то что надо.,5,,,Москва,77578209805
Никита Портянко,2023-12-07 07:43:35,"Крайне медленное обслуживание. При пустом отделении ждал ""очередь"" в пустую кассу 10 минут, при этом сотрудники в окнах сидят и тупят в телефоны. При этом клиентов, пришедших позже начали обслуживать раньше. Далее: для электронной очереди просят номер телефона, ожидаю спам.",1,"Здравствуйте, Никита!
Всегда стремимся помочь и предоставить качественное обслуживание. 
В период нагрузки можем обслуживать дольше, простите.
Стараемся усовершенствовать этот процесс.",,Москва,77578209805
Глеб,2024-03-26 14:59:09,"Все сотрудники этого банка внимательны и готовы помочь, предоставляя ценные советы. Я доволен выбором банка и обслуживанием.",5,,,Москва,77578209805
Софья Зайцева,2023-04-12 12:04:17,"Отделение Альфа банка,которое я посетила оказалось идеальным выбором для меня!
Отличное обслуживание,дружелюбный персонал и быстрые решения для всех моих вопросов -все это создало очень приятную атмосферу.Я очень благодарна за помощь рекомендую это отделение всем ,кто ищет качественный сервис .",5,,,Москва,77578209805
Виктория,2024-04-11 19:04:52,"Обращалась с открытием накопительного счёта, предложили самый выгодный вариант и рассказали как действовать в дальнейшем. Одно из лучших отделений Альфа-Банка, удобно расположено. Менеджеры всегда компетентны.",5,,,Москва,77578209805
Кира Никишина,2024-01-22 12:45:08,"Потерянный альфа стикер мне помогли заблокировать в приложении банка. Сотрудница в отделении меня успокоила, заверив что перевыпуск нового стикера не займёт много времени. И действительно уже через пару дней можно было забрать его в ближайшем офисе банка)",5,,,Москва,77578209805
екатерина хайдукова,2023-09-27 11:55:20,"Обслуживание на высшем уровне!
Сотрудники весьма вежливы и приветливы.Я осталась очень довольна!Всем рекомендую данное отделение!Большое вам спасибо!",5,,,Москва,77578209805
Елизавета Ч.,2023-12-25 11:28:32,"Обслуживание клиентов всегда на высоком уровне, сотрудники внимательны, приветливы и всегда готовы помочь. Работать с таким большим и качественным банком всегда приятно. Большое спасибо!",5,,,Москва,77578209805
Ксения Сафарова,2024-02-20 19:46:58,"Отделение оцениваю на твердую пятерку. По всем параметрам. От оформления до качества предоставляемых услуг. Всегда получаю тут то, за чем пришла.",5,,,Москва,77578209805
Елена Журавлева,2023-04-08 10:18:41,"Отделение удобно расположено, всё технологично, как и везде у Альфы. Минус в том, что редко не бывает ожидания, посетители есть всегда, но сотрудники обучены - вежливые и терпеливые. Что надо говорят, что не надо не говорят) Банк есть банк, свою голову нужно включать.",5,,,Москва,77578209805
Александр Фёдоров,2023-07-05 22:37:55,"Мне всегда важно расположение объекта и отношение сотрудников к посетителям. Прочел множество отрицательнвх отзывов об этом отделении, однако, с некоторых пор, стал проверять тему на собственном опыте и ☝️ в моем случае всё сложилось очень хорошо! Встретили как родного, обслужили по высшему разряду. В банкомате всегда есть наличные, правда по ночам входная дверь не блокируется, однако это не самая большая проблема и я полагаю, что этот недочёт будет устранён в ближайшее время. В целом я доволен, рекомендую..",5,,,Москва,77578209805
MAGURA228,2024-02-05 16:18:35,"Сегодня хотел получить зарплатную карту, просидел 40 минут, но так и не дождался своей очереди. 
Больше спасибо альфа-банку за «быстрое» и «качественное» обслуживание.",1,"Здравствуйте!
Расскажите подробнее, что повлияло поставить такую оценку?",,Москва,77578209805
сергей шашкин,2024-02-03 08:29:19,"В одном шаге от метро. Но это и портит, наверное, всё. Закладывайте от 30 мин до 1 ч для посещения этого отделения в рабочие дни. Быстренько не получится.",3,"Сергей, здравствуйте!
Стараемся быстро обслуживать клиентов и не допускать большого времени ожидания.",,Москва,77578209805
Марина Афанасьева,2023-08-04 13:08:50,"Я, в феврале обратилась в Альфа банк, по адресу:
гор. Москва Ленинградский проспект дом 74. Корп. 1., за оформлением кредита на сумму 1 200 000 руб. сроком на 3 года. Сотрудник банка, настоял, что для оформления кредита на данную сумму, необходимо оформить договор страхования на сумму 300 000 руб. Заверил, меня, что от данной страховки нельзя отказаться так как поменялся закон о кредитовании клиентов в 2023 г. И что без страховки ставка моего кредита увеличится до 19 % годовых. Я хотела отказаться от предложения, но сотрудник банка сказал, что при досрочном погашении кредита, я смогу сразу вернуть сумму за неиспользованную часть страховой премии по договору. 
В июле 2023 г мой кредит был полностью погашен. 
Далее, я приезжаю в отделение «ООО АльфаСтрахования - Жизнь», с заявлением о возврате за неиспользованной страховой премии и узнаю, что сумму за неиспользованную часть, я вернуть не смогу, так как сотрудник Альфа Банка (из отделения по адресу: гор. Москва Ленинградский проспект дом 74. Корп. 1.,) проинформировал меня ненадлежащим образом об условиях страхования. Написала все необходимые заявления, отправила генеральному директору «ООО АльфаСтрахования - Жизнь». Мне пришло письмо от руководителя отдела администрирования Управления Клиентского сервиса, что моя страховая премия не подлежит возврату. 
Сотрудники Альфа банка в данном отделении меня ввели в заблуждение, предоставив ненадлежащую, не соответствующую условиям договора информацию. 
Теперь буду обходить стороной все, что связано с альфа банком и его продуктами. Очень жаль, что в данном отделении работают некомпетентные сотрудники из-за которых банк теряет платежноспособных клиентов.",1,"Здравствуйте! 
Напишите, пожалуйста, на нашу почту smm@alfabank.ru ваши ФИО, дату рождения и прикрепите скриншот отзыва. В теме письма укажите: Яндекс Карты. Марина Афанасьева. Оформление кредита в отделении. 
Хотим разобраться в вашей ситуации и проверить работу сотрудника.",,Москва,77578209805
Александра Б.,2023-07-21 15:00:50,"Этот замечательный банк всегда оставляет у меня полржительные впечатления! У меня есть счета в этом банке, и я считаю его лучшим в России. Условия здесь выгоднее, чем в других банках. Я уже более 5лет пользуюсь услугами этого банка, и у меня ни разу не возникало проблем.",5,,,Москва,77578209805
Сергей Д,2024-02-16 14:25:46,Очень медленно все. Так и не дождался… Хотя простейшая процедура требовалась - деньги на счет положить. Какой банк отказывается от денег?),3,"Здравствуйте.
Иногда возникает очередь. К нам обращаются с разными вопросами, всегда стараемся решить их побыстрее. Извините, что заставили ждать.",,Москва,77578209805
Андрей Божин,2023-05-18 08:24:06,"Отзывчивые сотрудники. Всё понятно объясняют, советуют как лучше и как удобнее. Помогли скачать приложение и всё расказали и понятно объяснили как пользоваться.",5,,,Москва,77578209805
Ольга,2023-06-03 12:34:50,"Альфа-банком пользуемся уже давно всей семьей. Персонал в отделении крутой, всегда помогут в решении любого возникшего вопроса за считанные минуты. Не так давно брали ребенку детскую карту. Через день была на руках!",5,,,Москва,77578209805
Игорь Куракин,2024-02-20 17:07:29,"Мною выбранный банк!
А если я выбрал, значит лучший!😄
Всегда быстро, качественно, понятно.",5,,,Москва,77578209805
Dvuhkasetnik,2024-01-21 18:09:36,Как всегда в альфе отличное обслуживание. Да платно да дороже. Но количество услуг сервис выше чем к других просто на голову!!!,5,,,Москва,77578209805
Хелена Генова,2023-12-18 08:27:45,"Недавно открыла счёт в Альфа-Банке, и опыт был отличным. Персонал отделения грамотный, дружелюбный и профессиональный. Обслуживание клиентов на высшем уровне.",5,,,Москва,77578209805
Аня  Г.,2023-05-19 20:09:14,"В своем опыте взаимодействия с различными банками, я заметила, что Альфа банк - самый клиентоориентированный сервис. Менеджеры всегда готовы помочь и проконсультировать по всем вопросам, а их вклады имеют самый высокий процент, что делает этот банк моим первым выбором.",5,,,Москва,77578209805
Владислав Токарев,2023-05-21 12:57:20,"Воспользовался услугами Альфа-банка для расчетов в качестве ИП по рекомендации партнеров. Пока нет никаких нареканий, всё просто замечательно. Управление удобное, поддержка доступна 24/7.",5,,,Москва,77578209805
