,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Обслуживание,Персонал,Отношение к клиентам,Время ожидания,Банкомат,Расположение,load_time
0,1217531258,СберБанк,"бул. Салавата Юлаева, 34, Салават",www.sberbank.ru,"'mon': выходной, 'tue': 09:30-18:00, 'wed': 09:30-18:00, 'thu': 09:30-18:00, 'fri': 09:30-18:00, 'sat': выходной, 'sun': выходной",53.340405,55.947211,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank?erid=2VtzqvL9tgA', 'https://vk.com/sberbank']",81,82,80,60,,,2024-06-22 22:03:08
1,1215840947,СберБанк,"просп. Ленина, 53, Ишимбай",www.sberbank.ru,"'mon': выходной, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной",53.455071,56.043160,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",90,89,86,60,,,2024-06-22 22:03:08
2,1099749496,СберБанк,"Стахановская ул., 16, Ишимбай",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-13:00, 'sun': выходной",53.434289,56.054891,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",79,81,77,82,,,2024-06-22 22:03:08
3,1642416877,СберБанк,"ул. Островского, 8, Салават",www.sberbank.ru,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:30-14:00, 'sun': выходной",53.354111,55.936588,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",86,88,87,70,79,100,2024-06-22 22:03:08
4,1264442282,СберБанк,"ул. Островского, 61, Салават",www.sberbank.ru,"'mon': выходной, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной",53.340194,55.934513,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank', 'https://www.youtube.com/channel/UCC1AHvtI8Z7w7y7DGCMdZpg']",95,94,94,80,70,,2024-06-22 22:03:08
5,1220727133,СберБанк,"ул. Ленина, 40, Салават",www.sberbank.ru,"'mon': выходной, 'tue': 09:30-19:00, 'wed': 09:30-19:00, 'thu': 09:30-19:00, 'fri': 09:30-19:00, 'sat': выходной, 'sun': выходной",53.352614,55.925183,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sber']",73,81,78,65,,,2024-06-22 22:03:08
6,1142628907,СберБанк,"ул. Губкина, 10/1, Ишимбай",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной",53.450005,56.050439,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",91,93,90,67,,,2024-06-22 22:03:08
7,1130369723,СберБанк,"ул. Ленина, 58А, Салават",www.sberbank.ru,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:30-15:00, 'sun': выходной",53.344119,55.926166,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/s/sberbank', 'https://vk.com/sberbank', 'https://www.youtube.com/channel/UCC1AHvtI8Z7w7y7DGCMdZpg']",85,87,83,76,60,,2024-06-22 22:03:08
8,1042468114,СберБанк,"ул. Гагарина, 9, Салават",www.sberbank.ru,"'mon': выходной, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной",53.362300,55.928421,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",93,92,89,70,33,,2024-06-22 22:03:08
9,1666098487,Сбербанк России,"ул. Богдана Хмельницкого, 10, Ишимбай",www.sberbank.ru,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-15:00, 'sun': выходной",53.445751,56.033261,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",87,85,82,88,,90,2024-06-22 22:03:08
10,1122581405,СберБанк,"ул. Ленина, 20, село Наумовка",www.sberbank.ru,"'mon': выходной, 'tue': выходной, 'wed': 09:00-13:30, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной",53.517903,55.915348,"4,1",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,2024-06-22 22:03:08
