,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Ипотека,Расположение,Банкомат,Кредит,Ремонт,График работы,load_time
0,sberbank/1149927135,СберБанк,"ул. Карла Маркса, 125, Красноярск",,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:30-16:30, 'sun': выходной, ",56.009919,92.867618,"4,6",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sber/', 'https://t.me/sberbank', 'https://vk.com/sberbank']",85,72,76,100,40,,,,2024-08-05 05:43:10
1,sberbank/1660266709,СберБанк,"ул. Дмитрия Мартынова, 18, Красноярск",,"'mon': 09:30-19:30, 'tue': 09:30-19:30, 'wed': 09:30-19:30, 'thu': 09:30-19:30, 'fri': 09:30-19:30, 'sat': 10:00-16:00, 'sun': выходной, ",56.038569,92.876494,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",86,84,,100,71,,,,2024-08-05 05:43:10
2,sberbank/1002480512,СберБанк,"ул. Молокова, 60, Красноярск",,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-15:30, 'sun': выходной, ",56.039630,92.899823,"4,6",['8 (800) 555-55-50Показать телефон'],['https://vk.com/sberbank'],84,65,,100,,,,,2024-08-05 05:43:10
3,sberbank/1663273065,СберБанк,"ул. Ленина, 126, Красноярск",,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 10:00-15:30, 'sun': выходной, ",56.012426,92.846723,"4,6",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",90,72,,85,60,,,,2024-08-05 05:43:10
4,sberbank/177654779424,СберБанк,"Свободный просп., 46, Красноярск",,"'mon': 09:00-19:30, 'tue': 09:00-19:30, 'wed': 09:00-19:30, 'thu': 09:00-19:30, 'fri': 09:00-19:30, 'sat': 09:00-17:00, 'sun': выходной, ",56.020627,92.796481,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",89,75,,,,,,,2024-08-05 05:43:10
5,sberbank/1621607390,СберБанк,"Красная площадь, 3А, Красноярск",,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': выходной, 'sun': выходной, ",56.007916,92.839403,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",91,78,,100,69,,,,2024-08-05 05:43:10
6,sberbank/102041747111,Сбербанк,"просп. имени Газеты Красноярский Рабочий, 141А, Красноярск",,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 10:00-17:00, 'sun': выходной, ",55.996037,92.909355,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",86,80,,100,,90,,,2024-08-05 05:43:10
7,sberbank/1266953908,СберБанк,"ул. Сурикова, 12/6, Красноярск",www.sberbank.ru,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': выходной, 'sun': выходной, ",56.009945,92.878228,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",83,75,,,,,,,2024-08-05 05:43:10
8,sberbank/1243628577,СберБанк,"просп. имени Газеты Красноярский Рабочий, 83, Красноярск",,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",56.004152,92.939358,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",87,85,,89,94,,,,2024-08-05 05:43:10
9,sberbank/1048100965,СберБанк,"ул. 78-й Добровольческой Бригады, 3, Красноярск",,"'mon': 09:30-19:00, 'tue': 09:30-19:00, 'wed': 09:30-19:00, 'thu': 09:30-19:00, 'fri': 09:30-19:00, 'sat': 09:30-16:00, 'sun': выходной, ",56.038288,92.916218,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",84,68,,,70,,,,2024-08-05 05:43:10
10,sberbank/1211636758,СберБанк,"ул. 9 Мая, 24, Красноярск",,"'mon': 09:00-19:30, 'tue': 09:00-19:30, 'wed': 09:00-19:30, 'thu': 09:00-19:30, 'fri': 09:00-19:30, 'sat': 09:00-17:00, 'sun': выходной, ",56.063942,92.922883,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",89,73,86,94,32,,,,2024-08-05 05:43:10
