,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Банкомат,График работы,Расположение,Ремонт,load_time
0,sberbank/81333796682,СберБанк,"ул. Володарского, 4/2, Сестрорецк",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:30-16:00, 'sun': выходной, ",60.096184,29.972101,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",84,71,60,,,,2024-07-29 18:05:33
1,sberbank/1029438290,СберБанк,"ул. Токарева, 16, Сестрорецк",www.sberbank.com,"'mon': 09:30-19:00, 'tue': 09:30-19:00, 'wed': 09:30-19:00, 'thu': 09:30-19:00, 'fri': 09:30-19:00, 'sat': 09:30-17:00, 'sun': выходной, ",60.089472,29.953667,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",85,56,41,,,,2024-07-29 18:05:33
2,sberbank/1197015470,СберБанк,"просп. Авиаконструкторов, 47, Санкт-Петербург",www.sberbank.com,"'mon': 10:30-19:30, 'tue': 10:30-19:30, 'wed': выходной, 'thu': 10:30-19:30, 'fri': 10:30-19:30, 'sat': выходной, 'sun': выходной, ",60.027112,30.225398,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",80,70,72,36,92,,2024-07-29 18:05:33
3,sberbank/1001255417,СберБанк,"ул. Молодцова, 7, корп. 3, Сертолово",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 10:00-15:30, 'sun': выходной, ",60.142536,30.214529,"4,5",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",77,46,88,71,92,,2024-07-29 18:05:33
4,sberbank/1045547626,СберБанк,"Комендантский просп., 30, корп. 1, Санкт-Петербург",www.sberbank.com,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",60.015125,30.249464,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",68,60,94,25,90,,2024-07-29 18:05:33
5,sberbank/1102567483,СберБанк,"просп. Авиаконструкторов, 21, корп. 1, Санкт-Петербург",www.sberbank.com,"'mon': 10:30-19:30, 'tue': 10:30-19:30, 'wed': 10:30-19:30, 'thu': 10:30-19:30, 'fri': 10:30-19:30, 'sat': 11:00-15:30, 'sun': выходной, ",60.017679,30.238676,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",78,53,50,50,100,,2024-07-29 18:05:33
6,sberbank/1382744556,СберБанк,"Туристская ул., 28, корп. 1, Санкт-Петербург",www.sberbank.com,"'mon': 10:00-20:00, 'tue': 10:00-20:00, 'wed': 10:00-20:00, 'thu': 10:00-20:00, 'fri': 10:00-20:00, 'sat': 10:00-18:00, 'sun': выходной, ",60.003232,30.209391,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",64,36,67,42,91,,2024-07-29 18:05:33
7,sberbank/1090671758,СберБанк,"Долгоозёрная ул., 16, корп. 1, Санкт-Петербург",www.sberbank.com,"'mon': 09:45-19:00, 'tue': 09:45-19:00, 'wed': 10:00-19:00, 'thu': 10:00-19:00, 'fri': 10:00-19:00, 'sat': 10:00-17:00, 'sun': выходной, ",60.018731,30.250759,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",80,59,71,17,100,,2024-07-29 18:05:33
8,sberbank/1020469673,СберБанк,"Яхтенная ул., 10, корп. 1, Санкт-Петербург",www.sberbank.com,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': 10:00-16:00, 'sun': выходной, ",59.989229,30.215571,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",82,65,76,36,100,,2024-07-29 18:05:33
9,sberbank/1001706397,СберБанк,"Богатырский просп., 43, корп. 1, Санкт-Петербург",www.sberbank.com,"'mon': 10:00-19:00, 'tue': 10:00-19:00, 'wed': 10:00-19:00, 'thu': 10:00-19:00, 'fri': 10:00-19:00, 'sat': выходной, 'sun': выходной, ",60.004204,30.237014,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",76,66,56,,88,,2024-07-29 18:05:33
