,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Банкомат,Кредит,Ипотека,График работы,Расположение,Ремонт,load_time
0,sberbank/1003738891,СберБанк,"ул. Советов, 14, Новороссийск",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-17:00, 'sun': выходной, ",44.724277,37.768114,"4,7",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sber/', 'https://t.me/sberbank', 'https://vk.com/sberbank']",78,65,67,74,88,56,88,,2024-07-29 11:51:06
1,sberbank/222316367418,СберБанк,"Анапское ш., 18А, Новороссийск",www.sberbank.com,"'mon': 09:00-17:30, 'tue': 09:00-17:30, 'wed': 09:00-17:30, 'thu': 09:00-17:30, 'fri': 09:00-17:30, 'sat': выходной, 'sun': выходной, ",44.728177,37.757872,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",82,56,60,,,20,100,88,2024-07-29 11:51:06
2,sberbank/33896194617,СберБанк,"ул. Бирюзова, 2, Новороссийск",www.sberbank.com,"'mon': 08:30-17:30, 'tue': 08:30-17:30, 'wed': 08:30-17:30, 'thu': 08:30-17:30, 'fri': 08:30-17:30, 'sat': выходной, 'sun': выходной, ",44.722131,37.769369,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sber', 'https://t.me/sberbank', 'https://vk.com/sberbank']",81,53,44,,,,83,,2024-07-29 11:51:06
3,sberbank/1170112414,СберБанк,"ул. Видова, 179, Новороссийск",www.sberbank.com,"'mon': выходной, 'tue': 08:30-17:30, 'wed': 08:30-17:30, 'thu': 08:30-17:30, 'fri': 08:30-17:30, 'sat': 08:30-17:30, 'sun': выходной, ",44.743243,37.724921,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",88,76,,,,,100,,2024-07-29 11:51:06
4,sberbank/1043589956,СберБанк,"Тобольская ул., 7, Новороссийск",www.sberbank.com,"'mon': 08:30-17:30, 'tue': 08:30-17:30, 'wed': 08:30-17:30, 'thu': 08:30-17:30, 'fri': 08:30-17:30, 'sat': выходной, 'sun': выходной, ",44.737769,37.732126,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",81,91,,,,,,,2024-07-29 11:51:06
5,sberbank/1157013163,СберБанк,"просп. Ленина, 10, Новороссийск",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",44.702972,37.784543,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",84,57,32,,,,100,,2024-07-29 11:51:06
6,sberbank/127224895115,СберБанк,"просп. Дзержинского, 207, Новороссийск",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",44.686037,37.778604,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",75,47,,,,,,,2024-07-29 11:51:06
7,sberbank/1181543895,СберБанк,"Малоземельская ул., 4, Новороссийск",www.sberbank.com,"'mon': выходной, 'tue': 08:30-17:30, 'wed': 08:30-17:30, 'thu': 08:30-17:30, 'fri': 08:30-17:30, 'sat': 08:30-16:00, 'sun': выходной, ",44.686691,37.768166,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",87,70,24,,,,,,2024-07-29 11:51:06
8,sberbank/1255836970,СберБанк,"просп. Дзержинского, 198, Новороссийск",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",44.679501,37.780833,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",82,75,67,,,,100,,2024-07-29 11:51:06
9,sberbank/1758509805,СберБанк,"Сухумское ш., 38, Новороссийск",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",44.736789,37.797820,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",85,73,,,,,85,,2024-07-29 11:51:06
