,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Банкомат,Расположение,Кредит,Ипотека,График работы,Ремонт,load_time
0,sberbank/1091257424,СберБанк,"ул. Кирова, 16, Ярославль",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 10:00-17:00, 'sun': 10:00-16:00, ",57.625808,39.886411,"4,5",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",72,68,62,81,21,58,,,2024-07-29 23:57:25
1,sberbank/1113932437,СберБанк,"просп. Ленина, 25, Ярославль",www.sberbank.com,"'mon': 08:30-18:30, 'tue': 08:30-18:30, 'wed': 08:30-18:30, 'thu': 08:30-18:30, 'fri': 08:30-18:30, 'sat': 09:00-14:30, 'sun': выходной, ",57.636601,39.868813,"4,3",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sber/', 'https://vk.com/sberbank']",74,66,57,,,,,,2024-07-29 23:57:25
2,sberbank/1023508346,СберБанк,"Советская ул., 34, Ярославль",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 10:00-14:00, 'sun': выходной, ",57.635710,39.882917,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",84,67,64,94,,,,,2024-07-29 23:57:25
3,sberbank/1637488547,СберБанк,"просп. Ленина, 30, Ярославль",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-15:00, 'sun': выходной, ",57.632592,39.856102,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",84,69,88,92,,,,,2024-07-29 23:57:25
4,sberbank/1029744381,СберБанк,"1-я Жилая ул., 12, корп. 2, Ярославль",www.sberbank.com,"'mon': 08:30-18:00, 'tue': 08:30-18:00, 'wed': 08:30-18:00, 'thu': 08:30-18:00, 'fri': 08:30-18:00, 'sat': 09:00-15:00, 'sun': выходной, ",57.636654,39.819487,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",82,57,70,79,,,91,,2024-07-29 23:57:25
5,sberbank/1258336179,СберБанк,"Ленинградский просп., 40, Ярославль",www.sberbank.com,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",57.680431,39.795412,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",80,54,62,94,,,79,,2024-07-29 23:57:25
6,sberbank/1069591270,СберБанк,"ул. Свободы, 91, Ярославль",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:30-16:00, 'sun': выходной, ",57.625942,39.849599,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",67,58,67,87,,,,,2024-07-29 23:57:25
7,sberbank/1630425441,СберБанк,"просп. Толбухина, 28/29, Ярославль",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-15:00, 'sun': выходной, ",57.624444,39.858384,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",89,72,55,95,,,,,2024-07-29 23:57:25
8,sberbank/1131878673,СберБанк,"ул. Урицкого, 14/50, Ярославль",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-15:30, 'sun': выходной, ",57.687745,39.804036,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sber']",87,55,45,,,,,80,2024-07-29 23:57:25
9,sberbank/1568274675,СберБанк,"Московский просп., 117, Ярославль",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-14:30, 'sun': выходной, ",57.596981,39.871876,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",83,69,,94,,,,,2024-07-29 23:57:25
10,sberbank/1582650630,СберБанк,"просп. Машиностроителей, 24, Ярославль",www.sberbank.com,"'mon': 08:30-18:30, 'tue': 08:30-18:30, 'wed': 08:30-18:30, 'thu': 08:30-18:30, 'fri': 08:30-18:30, 'sat': 08:30-15:30, 'sun': выходной, ",57.648374,39.950372,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",73,44,53,79,,,,,2024-07-29 23:57:25
11,sberbank/1057555387,СберБанк,"Московский просп., 153/59, Ярославль",www.sberbank.com,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",57.584005,39.855635,"4,5",['8 (800) 555-55-50Показать телефон'],['https://vk.com/sberbank'],80,55,65,100,,,,,2024-07-29 23:57:25
12,sberbank/1035091482,СберБанк,"Ленинградский просп., 85, Ярославль",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:30-14:30, 'sun': выходной, ",57.685743,39.780033,"4,4",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",73,52,50,93,,,,,2024-07-29 23:57:25
13,sberbank/1116509039,СберБанк,"ул. Серго Орджоникидзе, 37, корп. 2, Ярославль",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-15:30, 'sun': выходной, ",57.653094,39.957855,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",80,55,63,100,,,82,,2024-07-29 23:57:25
14,sberbank/87340112494,СберБанк,"Ленинградский просп., 117, корп. 2, Ярославль",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:30-14:00, 'sun': выходной, ",57.693946,39.766037,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sber']",83,67,63,,,,,,2024-07-29 23:57:25
15,sberbank/1113062555,СберБанк,"ул. Гагарина, 51, Ярославль",www.sberbank.com,"'mon': 08:30-18:00, 'tue': 08:30-18:00, 'wed': 08:30-18:00, 'thu': 08:30-18:00, 'fri': 08:30-18:00, 'sat': 09:00-15:30, 'sun': выходной, ",57.581983,39.837498,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",91,53,42,100,,,,,2024-07-29 23:57:25
16,sberbank/1062895401,СберБанк,"ул. Панина, 43, корп. 1, Ярославль",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",57.681649,39.765040,"4,3",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",74,39,0,,,,6,,2024-07-29 23:57:25
17,sberbank/1022447389,СберБанк,"Спартаковская ул., 39, Ярославль",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 10:00-14:00, 'sun': выходной, ",57.720186,39.828012,"4,0",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",76,38,,,,,,,2024-07-29 23:57:25
18,sberbank/1121813708,СберБанк,"просп. Фрунзе, 41, Ярославль",www.sberbank.com,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': выходной, 'sun': выходной, ",57.582625,39.911061,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",96,76,46,100,,,,,2024-07-29 23:57:25
19,sberbank/1133519950,СберБанк,"ул. Ньютона, 65, Ярославль",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-15:00, 'sun': выходной, ",57.571299,39.861034,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",79,40,63,86,,,,,2024-07-29 23:57:25
20,sberbank/161623022530,СберБанк,"Клубная ул., 2А, Ярославль",www.sberbank.com,"'mon': выходной, 'tue': 09:00-18:45, 'wed': 09:00-18:45, 'thu': 09:00-18:45, 'fri': 09:00-18:45, 'sat': 09:30-14:45, 'sun': выходной, ",57.608252,39.945997,"3,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",,,,,,,,,2024-07-29 23:57:25
21,sberbank/1095321286,СберБанк,"Центральная ул., 7, посёлок Ивняки",www.sberbank.com,"'mon': 09:00-17:00, 'tue': 09:00-17:00, 'wed': 09:00-17:00, 'thu': 09:00-17:00, 'fri': 09:00-17:00, 'sat': выходной, 'sun': выходной, ",57.616741,39.796203,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",69,,58,,,,,,2024-07-29 23:57:25
22,sberbank/107883424700,СберБанк,"15, рабочий посёлок Лесная Поляна",,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",57.689140,39.892735,"1,1",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,,2024-07-29 23:57:25
23,sberbank/1038302769,СберБанк,"Индустриальная ул., 37, жилой район Липовая Гора, Ярославль",www.sberbank.com,"'mon': 08:30-18:00, 'tue': 08:30-18:00, 'wed': 08:30-18:00, 'thu': 08:30-18:00, 'fri': 08:30-18:00, 'sat': 09:00-15:00, 'sun': выходной, ",57.551244,39.931605,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",82,54,42,,,,,,2024-07-29 23:57:25
