,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Время ожидания,Персонал,Банкомат,Расположение,Ипотека,Ремонт,load_time
0,sberbank/1131498854,СберБанк,"ул. Лермонтова, 90/1, Иркутск",,"'mon': 09:30-19:00, 'tue': 09:30-19:00, 'wed': 09:30-19:00, 'thu': 09:30-19:00, 'fri': 09:30-19:00, 'sat': 10:00-16:00, 'sun': выходной, ",C52.26301,104.25929,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",62,94,82,,,,2024-08-05 02:12:51
1,sberbank/41561132884,СберБанк,"ул. Розы Люксембург, 215В, Иркутск",www.sberbank.com,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': 10:00-15:00, 'sun': выходной, ",C52.34922,104.17800,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",50,87,60,91,,,2024-08-05 02:12:51
2,sberbank/1023835427,СберБанк,"ул. Розы Люксембург, 62, Иркутск",,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': выходной, 'sun': выходной, ",C52.33845,104.19806,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",77,82,54,100,,,2024-08-05 02:12:51
3,sberbank/1106221682,СберПервый,"ул. Нижняя Набережная, 10, Иркутск",,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': выходной, 'sun': выходной, ",C52.29332,104.28693,"4,6",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sber/', 'https://vk.com/sberbank']",63,86,,,,,2024-08-05 02:12:51
4,sberbank/1131308717,СберБанк,"ул. Новаторов, 3, корп. 8, Иркутск",,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 10:00-16:00, 'sun': выходной, ",C52.35460,104.21091,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",58,77,,,,,2024-08-05 02:12:51
5,sberbank/1009004487,СберБанк,"ул. Рабочего Штаба, 9, Иркутск",www.sberbank.ru,"'mon': 09:00-17:30, 'tue': 09:00-17:30, 'wed': 09:00-17:30, 'thu': 09:00-17:30, 'fri': 10:00-17:30, 'sat': 09:00-15:00, 'sun': выходной, ",C52.30132,104.29728,"3,9",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,2024-08-05 02:12:51
6,sberbank/1083005024,СберБанк,"2-я Железнодорожная ул., 78, Иркутск",,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': 10:00-16:00, 'sun': выходной, ",C52.27851,104.25041,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",67,86,55,91,,,2024-08-05 02:12:51
7,sberbank/1056237531,СберБанк,"ул. Баррикад, 137, Иркутск",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",C52.29159,104.33000,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",63,88,,,,,2024-08-05 02:12:51
8,sberbank/1048920493,СберБанк,"ул. Урицкого, 19, Иркутск",,"'mon': 09:30-18:00, 'tue': 09:30-18:00, 'wed': 09:30-18:00, 'thu': 09:30-18:00, 'fri': 09:30-18:00, 'sat': 09:30-16:00, 'sun': 09:30-16:00, ",C52.28315,104.29313,"4,6",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",81,89,50,100,,,2024-08-05 02:12:51
9,sberbank/1549166602,СберБанк,"Советская ул., 120, Иркутск",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': выходной, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",C52.27892,104.31935,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,2024-08-05 02:12:51
10,sberbank/1123283956,СберБанк,"бул. Рябикова, 20Б, Иркутск",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:30-15:30, 'sun': выходной, ",C52.26569,104.20854,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",60,84,,,,,2024-08-05 02:12:51
