,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Банкомат,Расположение,График работы,load_time
0,sberbank/1089456149,СберБанк,"Эскадронная ул., 38, станица Ессентукская",,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",44.031779,42.877272,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",78,52,10,,,2024-07-29 00:57:33
1,sberbank/1126383463,СберБанк,"Кисловодская ул., 24А, корп. 3, Ессентуки",www.sberbank.com,"'mon': 08:00-18:00, 'tue': 08:00-18:00, 'wed': 08:00-18:00, 'thu': 08:00-18:00, 'fri': 08:00-18:00, 'sat': 08:00-15:00, 'sun': выходной, ",44.041824,42.851849,"4,8",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",77,61,73,92,100,2024-07-29 00:57:33
2,sberbank/1020667331,СберБанк,"ул. Титова, 14, Ессентуки",www.sberbank.com,"'mon': выходной, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-18:00, 'sun': выходной, ",44.040457,42.860589,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",87,35,46,87,,2024-07-29 00:57:33
3,sberbank/18835385303,СберБанк,"Октябрьская ул., 458А, Ессентуки",www.sberbank.com,"'mon': 08:00-19:00, 'tue': 08:00-19:00, 'wed': 08:00-19:00, 'thu': 08:00-19:00, 'fri': 08:00-19:00, 'sat': 08:00-15:30, 'sun': выходной, ",44.050286,42.897403,"4,9",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",89,69,78,75,67,2024-07-29 00:57:33
4,sberbank/1242791832,СберБанк,"ул. Фридриха Энгельса, 15, Ессентуки",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",44.055139,42.855217,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",91,53,39,100,,2024-07-29 00:57:33
5,sberbank/56776304262,СберБанк,"Этокская ул., 77, станица Ессентукская",www.sberbank.com,"'mon': выходной, 'tue': 09:00-16:15, 'wed': 09:00-16:15, 'thu': 09:00-16:15, 'fri': 09:00-16:15, 'sat': выходной, 'sun': выходной, ",44.025700,42.866698,"4,1",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,2024-07-29 00:57:33
6,sberbank/190158685498,СберБанк,"ул. Ленина, 25, село Винсады",www.sberbank.com,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': 08:00-15:45, 'sat': 08:00-13:30, 'sun': выходной, ",44.081098,42.962953,"2,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,2024-07-29 00:57:33
7,sberbank/1034822830,СберБанк,"Февральская ул., 54, Пятигорск",www.sberbank.com,"'mon': выходной, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-15:00, 'sun': выходной, ",44.038312,43.035779,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",88,68,83,81,,2024-07-29 00:57:33
8,sberbank/1043689589,СберБанк,"просп. Лермонтова, 12, Лермонтов",www.sberbank.com,"'mon': выходной, 'tue': 08:30-18:00, 'wed': 08:30-18:00, 'thu': 08:30-18:00, 'fri': 08:30-18:00, 'sat': 09:00-15:00, 'sun': выходной, ",44.102664,42.977918,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",83,73,21,,,2024-07-29 00:57:33
9,sberbank/127381635012,СберБанк,"ул. Луценко, 115, село Юца",www.sberbank.com,"'mon': выходной, 'tue': 09:00-16:45, 'wed': 09:00-16:45, 'thu': 09:00-16:45, 'fri': 09:00-16:45, 'sat': 09:00-16:45, 'sun': выходной, ",43.977483,43.014651,"4,2",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,2024-07-29 00:57:33
10,sberbank/1016227092,СберБанк,"25, посёлок Ясная Поляна",www.sberbank.com,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",44.019445,42.753035,"4,0",['8 (800) 555-55-50Показать телефон'],['https://vk.com/sberbank'],,,,,,2024-07-29 00:57:33
