,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Банкомат,Расположение,Ремонт,load_time
0,sberbank/1100148117,СберБанк,"Весенняя ул., 1, Чита",www.sberbank.com,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': 09:00-17:00, 'sun': выходной, ",C52.07427,113.38161,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",88,79,64,,,2024-07-29 22:56:15
1,sberbank/1086594851,СберБанк,"ул. Строителей, 5, Чита",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",C52.06737,113.35762,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,2024-07-29 22:56:15
2,sberbank/1007242409,СберБанк,"просп. Фадеева, 37, Чита",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-16:00, 'sun': выходной, ",C52.06373,113.39774,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",82,78,42,,,2024-07-29 22:56:15
3,sberbank/1091248083,СберБанк,"ул. Красной Звезды, 58, Чита",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-16:30, 'sun': выходной, ",C52.07452,113.48274,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",92,81,,100,90,2024-07-29 22:56:15
4,sberbank/1108480520,СберБанк,"просп. Советов, 4, Чита",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",C52.03173,113.44808,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",90,72,75,,,2024-07-29 22:56:15
5,sberbank/1337497595,СберБанк,"ул. Бутина, 50, Чита",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-16:30, 'sun': выходной, ",C52.04286,113.50901,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",87,74,,100,,2024-07-29 22:56:15
6,sberbank/1004375200,СберБанк,"Комсомольская ул., 60, Чита",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-15:30, 'sun': выходной, ",C52.04110,113.46494,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",97,100,,,,2024-07-29 22:56:15
7,sberbank/181342155421,СберБанк,"ул. Красной Звезды, 4, Чита",www.sberbank.com,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': 09:00-16:00, 'sun': выходной, ",C52.05658,113.48571,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,2024-07-29 22:56:15
8,sberbank/82066946554,СберБанк,"ул. Богомягкова, 23, Чита",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",C52.03874,113.49124,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",73,80,,,,2024-07-29 22:56:15
9,sberbank/1118767830,СберБанк,"ул. Журавлёва, 20, Чита",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",C52.03469,113.49681,"4,4",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sber/', 'https://t.me/sberbank', 'https://vk.com/sberbank']",83,78,,100,,2024-07-29 22:56:15
