,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Банкомат,Расположение,Кредит,Ремонт,График работы,Ипотека,load_time
0,sberbank/1085602706,СберБанк,"просп. Пацаева, 14, Долгопрудный",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 10:00-16:00, 'sun': выходной, ",55.948856,37.496076,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",77,59,45,94,33,18,,,2024-07-29 00:00:16
1,sberbank/1042248539,СберБанк,"Новый бул., 3, Долгопрудный",www.sberbank.com,"'mon': 10:00-19:00, 'tue': 10:00-19:00, 'wed': 10:00-19:00, 'thu': 10:00-19:00, 'fri': 10:00-19:00, 'sat': 10:00-14:00, 'sun': выходной, ",55.937760,37.508769,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",82,56,48,95,,,40,,2024-07-29 00:00:16
2,sberbank/1059775730,СберБанк,"Первомайская ул., 40, Долгопрудный",www.sberbank.com,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': 09:30-16:00, 'sun': выходной, ",55.933839,37.520399,"4,7",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",81,64,60,84,,,67,58,2024-07-29 00:00:16
3,sberbank/1123504799,СберБанк,"9-я Северная линия, 1, корп. 1, Москва",www.sberbank.ru,"'mon': выходной, 'tue': 09:00-20:00, 'wed': 09:00-20:00, 'thu': 09:00-20:00, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",55.934851,37.554367,,['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",80,43,39,85,,50,86,,2024-07-29 00:00:16
4,sberbank/1082475419,СберБанк,"ул. Победы, 1/13, Химки",www.sberbank.com,"'mon': 09:00-19:30, 'tue': 09:00-19:30, 'wed': 09:00-19:30, 'thu': 09:00-19:30, 'fri': 09:00-19:30, 'sat': 09:00-16:30, 'sun': выходной, ",55.899104,37.456280,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",77,43,41,92,,,,,2024-07-29 00:00:16
5,sberbank/1258255973,СберБанк,"ул. Катюшки, 53Б, Лобня",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-16:00, 'sun': выходной, ",56.006542,37.443398,"4,8",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",86,69,56,86,,,52,,2024-07-29 00:00:16
6,sberbank/83666427651,СберБанк,"ул. Ленина, 19, корп. 2, Лобня",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:30-16:00, 'sun': выходной, ",56.010790,37.476861,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",67,61,30,94,,,,,2024-07-29 00:00:16
7,sberbank/1144749384,СберБанк,"Дмитровское ш., 131, корп. 2, Москва",www.sberbank.com,"'mon': 09:00-20:00, 'tue': 09:00-20:00, 'wed': 09:00-20:00, 'thu': 09:00-20:00, 'fri': 09:00-20:00, 'sat': 09:30-17:30, 'sun': выходной, ",55.889048,37.540659,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",77,41,32,96,,85,,,2024-07-29 00:00:16
8,sberbank/1252924993,СберБанк,"Московская ул., 32, Химки",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-15:00, 'sun': выходной, ",55.888619,37.443649,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",88,61,62,84,,,44,,2024-07-29 00:00:16
9,sberbank/92487320090,СберБанк,"Совхозная ул., 11, Химки",www.sberbank.com,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",55.897635,37.477758,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",65,39,66,73,,,24,,2024-07-29 00:00:16
10,sberbank/1000217841,СберБанк,"Дмитровское ш., 98С, Москва",www.sberbank.com,"'mon': 09:00-20:00, 'tue': 09:00-20:00, 'wed': 09:00-20:00, 'thu': 09:00-20:00, 'fri': 09:00-20:00, 'sat': 09:30-17:30, 'sun': 09:30-16:30, ",55.879258,37.547090,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",85,83,86,87,,64,78,,2024-07-29 00:00:16
