,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Банкомат,Расположение,График работы,Кредит,Ипотека,Ремонт,load_time
0,sberbank/1068303776,СберБанк,"ул. Ленина, 168В, Батайск",www.sberbank.com,"'mon': 08:30-17:00, 'tue': 08:30-17:00, 'wed': 08:30-17:00, 'thu': 08:30-17:00, 'fri': 08:30-17:00, 'sat': 08:30-15:00, 'sun': выходной, ",47.117477,39.747038,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",89,82,69,100,,,,,2024-07-28 19:37:26
1,sberbank/145088095910,СберБанк,"ул. Луначарского, 180В, Батайск",www.sberbank.com,"'mon': выходной, 'tue': 08:00-17:30, 'wed': 08:30-17:30, 'thu': 08:30-17:30, 'fri': 08:30-17:30, 'sat': 08:30-15:00, 'sun': выходной, ",47.132933,39.738162,"4,8",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",87,85,73,93,,,,,2024-07-28 19:37:26
2,sberbank/1244972296,СберБанк,"ул. Кирова, 34, Батайск",www.sberbank.com,"'mon': 08:30-17:30, 'tue': 08:30-17:30, 'wed': 08:30-17:30, 'thu': 08:30-17:30, 'fri': 08:30-17:30, 'sat': 08:30-15:00, 'sun': выходной, ",47.137966,39.746193,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",83,76,59,95,62,,,,2024-07-28 19:37:26
3,sberbank/1206442280,СберБанк,"Рабочая ул., 77, Батайск",www.sberbank.com,"'mon': 08:30-18:00, 'tue': 08:30-18:00, 'wed': 08:30-18:00, 'thu': 08:30-18:00, 'fri': 08:30-18:00, 'sat': 09:00-15:00, 'sun': выходной, ",47.140166,39.746139,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",75,59,61,87,,46,60,,2024-07-28 19:37:26
4,sberbank/1250514849,СберБанк,"14, микрорайон Авиагородок, Батайск",www.sberbank.com,"'mon': выходной, 'tue': 08:00-18:30, 'wed': 08:00-18:30, 'thu': 08:00-18:30, 'fri': 08:00-18:30, 'sat': 08:30-15:00, 'sun': выходной, ",47.126263,39.782602,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",85,56,13,,,,,,2024-07-28 19:37:26
5,sberbank/227959543804,СберБанк,"Ворошиловский просп., 87/65, Ростов-на-Дону",www.sberbank.com,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",47.229079,39.714815,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",81,65,69,95,,46,64,,2024-07-28 19:37:26
6,sberbank/220139300161,СберБанк,"просп. 40-летия Победы, 79, Ростов-на-Дону",www.sberbank.com,"'mon': 08:30-19:00, 'tue': 08:30-19:00, 'wed': 08:30-19:00, 'thu': 08:30-19:00, 'fri': 08:30-19:00, 'sat': 08:30-16:00, 'sun': выходной, ",47.238520,39.823754,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",78,55,50,92,,,,67,2024-07-28 19:37:26
7,sberbank/1040538270,СберБанк,"Коммунистический просп., 27, Западный, Ростов-на-Дону",www.sberbank.com,"'mon': 08:00-18:00, 'tue': 08:00-18:00, 'wed': 08:00-18:00, 'thu': 08:00-18:00, 'fri': 08:00-18:00, 'sat': 08:30-14:30, 'sun': выходной, ",47.207456,39.631541,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",75,47,83,91,73,,,80,2024-07-28 19:37:26
8,sberbank/166373240123,СберБанк,"Ворошиловский просп., 65/102, Ростов-на-Дону",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-17:30, 'sun': 09:00-15:00, ",47.225310,39.717007,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",67,64,76,94,58,,,95,2024-07-28 19:37:26
9,sberbank/1100022934,СберБанк,"Красноармейская ул., 122, Ростов-на-Дону",www.sberbank.com,"'mon': 08:30-18:30, 'tue': 08:30-18:30, 'wed': 08:30-18:30, 'thu': 08:30-18:30, 'fri': 08:30-18:30, 'sat': 10:00-15:00, 'sun': выходной, ",47.226032,39.705410,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",86,70,81,93,,,,,2024-07-28 19:37:26
