,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Расположение,Банкомат,График работы,load_time
0,sberbank/1345478401,СберБанк,"просп. Ленина, 25А, микрорайон Новый город, Орск",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:30-17:00, 'sun': выходной, ",51.228166,58.473605,"4,9",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",87,74,96,82,73,2024-07-29 13:36:48
1,sberbank/1224661794,СберБанк,"Краматорская ул., 19Б, микрорайон Новый город, Орск",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:30-15:00, 'sun': выходной, ",51.223501,58.496917,"4,8",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sber']",96,65,85,80,,2024-07-29 13:36:48
2,sberbank/1197593745,СберБанк,"Станционная ул., 11, посёлок Вокзальный, Орск",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:30-13:30, 'sun': выходной, ",51.209617,58.622816,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",84,30,100,27,,2024-07-29 13:36:48
3,sberbank/1030115176,СберБанк,"Советская ул., 63, микрорайон Старый город, Орск",,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",51.206909,58.557302,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",83,21,,13,,2024-07-29 13:36:48
4,sberbank/1198499523,СберБанк,"просп. Ленина, 47, микрорайон Новый город, Орск",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",51.236344,58.471261,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/s/sberbank', 'https://vk.com/sber']",84,69,93,71,,2024-07-29 13:36:48
5,sberbank/1144555858,СберБанк,"просп. Ленина, 71А/к2, микрорайон Новый город, Орск",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:30-13:30, 'sun': выходной, ",51.242338,58.466976,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",84,64,,,,2024-07-29 13:36:48
6,sberbank/1141583584,СберБанк,"Орский просп., 7, Орск",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",51.226333,58.624046,"4,8",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/s/sberbank', 'https://vk.com/sberbank']",,,,,,2024-07-29 13:36:48
7,sberbank/1109939540,СберБанк,"просп. Ленина, 94, микрорайон Новый город, Орск",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",51.249301,58.456861,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/s/sberbank', 'https://vk.com/sberbank']",81,52,91,83,,2024-07-29 13:36:48
8,sberbank/1137022379,СберБанк,"ул. Добровольского, 25, микрорайон Новый город, Орск",www.sberbank.com,"'mon': выходной, 'tue': выходной, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",51.252656,58.439551,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/s/sberbank', 'https://vk.com/sberbank']",,,,,,2024-07-29 13:36:48
9,sberbank/152985177765,СберБанк,"просп. Ленина, 25А, микрорайон Новый город, Орск",www.sberbank.ru,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",51.215489,58.521099,"4,1",['8 (800) 555-55-50Показать телефон'],['https://vk.com/sberbank'],,,,,,2024-07-29 13:36:48
