,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Банкомат,Ипотека,Расположение,Кредит,График работы,Ремонт,load_time
0,sberbank/1289802948,СберБанк,"ул. Ленина, 4, Реутов",www.sberbank.com,"'mon': 09:00-20:00, 'tue': 09:00-20:00, 'wed': 09:00-20:00, 'thu': 09:00-20:00, 'fri': 09:00-20:00, 'sat': 09:00-16:00, 'sun': выходной, ",55.754193,37.859184,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",80,56,25,,,,,,2024-07-29 15:28:01
1,sberbank/1133736123,СберБанк,"ул. Кирова, 9, Реутов",www.sberbank.com,"'mon': выходной, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-18:00, 'sun': выходной, ",55.757810,37.851314,"4,7",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sber/', 'https://vk.com/careersber']",86,67,38,50,81,45,64,,2024-07-29 15:28:01
2,sberbank/1026766377,СберБанк,"Юбилейный просп., 24/7, Реутов",www.sberbank.com,"'mon': 09:00-20:00, 'tue': 09:00-20:00, 'wed': 09:00-20:00, 'thu': 09:00-20:00, 'fri': 09:00-20:00, 'sat': 09:00-16:00, 'sun': выходной, ",55.749179,37.862949,"4,6",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",75,57,58,,93,,58,,2024-07-29 15:28:01
3,sberbank/1102193377,СберБанк,"Саянская ул., 18, Москва",www.sberbank.com,"'mon': 08:30-19:30, 'tue': 08:30-19:30, 'wed': 08:30-19:30, 'thu': 08:30-19:30, 'fri': 08:30-19:30, 'sat': 09:30-17:30, 'sun': выходной, ",55.766917,37.834327,"4,8",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",83,81,88,,93,30,89,87,2024-07-29 15:28:01
4,sberbank/1152730247,СберБанк,"Новокосинская ул., 36Б, Москва",www.sberbank.com,"'mon': 08:30-19:30, 'tue': 08:30-19:30, 'wed': 08:30-19:30, 'thu': 08:30-19:30, 'fri': 08:30-19:30, 'sat': 09:00-16:00, 'sun': выходной, ",55.742377,37.869451,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",88,69,65,,97,,,,2024-07-29 15:28:01
5,sberbank/1080915176,СберБанк,"Новокосинская ул., 23, Москва",www.sberbank.com,"'mon': 09:30-19:30, 'tue': 09:30-19:30, 'wed': 09:30-19:30, 'thu': 09:30-19:30, 'fri': 09:30-19:30, 'sat': 09:30-17:00, 'sun': выходной, ",55.740763,37.855374,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",80,71,67,,100,,,,2024-07-29 15:28:01
6,sberbank/1027804850,СберБанк,"Свободный просп., 33, Москва",www.sberbank.com,"'mon': 09:00-20:30, 'tue': 09:00-20:30, 'wed': 09:00-20:30, 'thu': 09:00-20:30, 'fri': 09:00-20:30, 'sat': 09:00-18:30, 'sun': выходной, ",55.752820,37.819316,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",69,52,41,,85,,,,2024-07-29 15:28:01
7,sberbank/3727015140,СберБанк,"Новокосинская ул., 11, корп. 2, Москва",www.sberbank.com,"'mon': 09:30-19:30, 'tue': 09:30-19:30, 'wed': 09:30-19:30, 'thu': 09:30-19:30, 'fri': 09:30-19:30, 'sat': 09:30-16:30, 'sun': выходной, ",55.734410,37.852967,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",79,67,92,,,,60,,2024-07-29 15:28:01
8,sberbank/1075023786,СберБанк,"Челябинская ул., 15, Москва",www.sberbank.com,"'mon': 09:30-19:30, 'tue': 09:30-19:30, 'wed': 09:30-19:30, 'thu': 09:30-19:30, 'fri': 09:30-19:30, 'sat': 09:30-16:30, 'sun': выходной, ",55.778791,37.827589,"4,4",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sber/', 'https://vk.com/sberbank']",79,66,55,,82,,75,,2024-07-29 15:28:01
9,sberbank/1078463481,СберБанк,"38, микрорайон Дзержинского, Балашиха",www.sberbank.com,"'mon': выходной, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:30-14:45, 'sun': выходной, ",55.776586,37.900841,"4,1",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",76,28,8,,69,,8,,2024-07-29 15:28:01
10,sberbank/1021880068,СберБанк,"Вешняковская ул., 12Б, стр. 1, Москва",www.sberbank.com,"'mon': 09:30-19:00, 'tue': 09:30-19:00, 'wed': 09:30-19:00, 'thu': 09:30-19:00, 'fri': 09:30-19:00, 'sat': 09:30-16:00, 'sun': выходной, ",55.734785,37.825541,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",87,64,56,,84,,91,,2024-07-29 15:28:01
