,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Ипотека,Кредит,Расположение,Банкомат,Ремонт,График работы,load_time
0,sberbank/1209619935,СберБанк,"ул. Ленина, 72А, Пермь",www.sberbank.com,"'mon': 09:00-19:30, 'tue': 09:00-19:30, 'wed': 09:00-19:30, 'thu': 09:00-19:30, 'fri': 09:00-19:30, 'sat': 09:30-15:30, 'sun': выходной, ",58.007909,56.221655,"4,4",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sber/', 'https://vk.com/sberbank']",74,61,72,55,88,77,,,2024-07-29 14:07:27
1,sberbank/1250002800,СберБанк,"ул. Ленина, 32, Пермь",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 10:00-16:00, 'sun': выходной, ",58.013688,56.247733,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",74,71,,,83,56,,,2024-07-29 14:07:27
2,sberbank/1148187598,СберБанк,"ул. Ленина, 49, Пермь",www.sberbank.com,"'mon': 09:00-19:30, 'tue': 09:00-19:30, 'wed': 09:00-19:30, 'thu': 09:00-19:30, 'fri': 09:00-19:30, 'sat': 09:00-15:00, 'sun': выходной, ",58.011022,56.235965,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",78,51,,,88,53,,,2024-07-29 14:07:27
3,sberbank/13103604717,СберБанк,"ул. Ленина, 75, Пермь",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:30-15:30, 'sun': выходной, ",58.005410,56.203194,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",77,72,,,94,73,,,2024-07-29 14:07:27
4,sberbank/21843069949,СберБанк,"ул. Крупской, 41, Пермь",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-14:00, 'sun': выходной, ",58.013983,56.282614,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank', 'https://youtube.com/sberbank']",81,77,,,93,73,,,2024-07-29 14:07:27
5,sberbank/1018479249,СберБанк,"1-я Красноармейская ул., 21, Пермь",www.sberbank.com,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",58.001896,56.263050,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",90,70,,,,60,,,2024-07-29 14:07:27
6,sberbank/1025212459,СберБанк,"ул. Юрия Смирнова, 2, Пермь",www.sberbank.com,"'mon': 09:00-19:30, 'tue': 09:00-19:30, 'wed': 09:00-19:30, 'thu': 09:00-19:30, 'fri': 09:00-19:30, 'sat': 10:00-16:30, 'sun': выходной, ",57.993501,56.255010,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",79,68,73,40,100,75,,,2024-07-29 14:07:27
7,sberbank/1104275089,СберБанк,"ул. Революции, 60/1, Пермь",www.sberbank.com,"'mon': 10:00-19:00, 'tue': 10:00-19:00, 'wed': 10:00-19:00, 'thu': 10:00-19:00, 'fri': 10:00-19:00, 'sat': выходной, 'sun': выходной, ",58.003112,56.235885,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",85,45,,,,,,,2024-07-29 14:07:27
8,sberbank/1039017000,СберБанк,"Парковый просп., 36, Пермь",www.sberbank.com,"'mon': 09:00-19:30, 'tue': 09:00-19:30, 'wed': 09:00-19:30, 'thu': 09:00-19:30, 'fri': 09:00-19:30, 'sat': 10:00-14:30, 'sun': выходной, ",57.997928,56.157425,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",83,41,,,92,24,,,2024-07-29 14:07:27
9,sberbank/1161175576,СберБанк,"Комсомольский просп., 54, Пермь",www.sberbank.com,"'mon': 10:00-19:00, 'tue': 10:00-19:00, 'wed': 10:00-19:00, 'thu': 10:00-19:00, 'fri': 10:00-19:00, 'sat': выходной, 'sun': выходной, ",58.000866,56.250014,"4,2",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",82,67,,,92,,,,2024-07-29 14:07:27
