,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Банкомат,Расположение,Ремонт,Ипотека,График работы,load_time
0,sberbank/1042286410,СберБанк,"ул. Миронова, 6, Новокуйбышевск",www.sberbank.com,"'mon': 09:00-17:00, 'tue': 09:00-17:00, 'wed': 09:00-17:00, 'thu': 09:00-17:00, 'fri': 09:00-17:00, 'sat': 09:30-13:30, 'sun': выходной, ",53.096566,49.948360,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",84,76,,,,,,2024-07-29 11:38:03
1,sberbank/117295542620,СберБанк,"Молодёжная ул., 1, Новокуйбышевск",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': выходной, 'sun': выходной, ",53.089688,49.960828,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",83,79,94,,,,,2024-07-29 11:38:03
2,sberbank/46866400504,СберБанк,"просп. Победы, 2, Новокуйбышевск",www.sberbank.com,"'mon': 08:30-18:00, 'tue': 08:30-18:00, 'wed': 08:30-18:00, 'thu': 08:30-18:00, 'fri': 08:30-18:00, 'sat': 08:30-13:00, 'sun': выходной, ",53.100367,49.958889,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sber']",87,81,53,100,,,,2024-07-29 11:38:03
3,sberbank/243062591574,СберБанк,"ул. Дзержинского, 29, Новокуйбышевск",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-13:30, 'sun': выходной, ",53.096063,49.969883,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",89,79,87,,,,,2024-07-29 11:38:03
4,sberbank/1010379175,СберБанк,"Фасадная ул., 11, посёлок Соцгород, Самара",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-14:30, 'sun': выходной, ",53.114908,50.077242,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",89,55,36,95,,,,2024-07-29 11:38:03
5,sberbank/84638560662,СберБанк,"Пугачёвский тракт, 61, Самара",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-14:30, 'sun': выходной, ",53.125658,50.090401,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",88,79,76,100,,,,2024-07-29 11:38:03
6,sberbank/1179697794,СберБанк,"Октябрьская ул., 10, Чапаевск",www.sberbank.com,"'mon': 08:30-17:30, 'tue': 08:30-17:30, 'wed': 08:30-17:30, 'thu': 08:30-17:30, 'fri': 08:30-17:30, 'sat': 08:30-13:00, 'sun': выходной, ",52.983016,49.715760,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",90,70,79,,,,,2024-07-29 11:38:03
7,sberbank/1240231717,СберБанк,"Галактионовская ул., 34, Самара",www.sberbank.com,"'mon': 08:30-18:30, 'tue': 08:30-18:30, 'wed': 08:30-18:30, 'thu': 08:30-18:30, 'fri': 08:30-18:30, 'sat': 09:00-14:00, 'sun': выходной, ",53.185071,50.097148,"4,6",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sber', 'https://vk.com/sber']",83,64,43,100,94,,,2024-07-29 11:38:03
8,sberbank/1009616286,СберБанк,"ул. Агибалова, 78, Самара",,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",53.194352,50.122427,"4,5",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",80,49,55,95,,,,2024-07-29 11:38:03
9,sberbank/1014694347,СберБанк,"просп. Ленина, 2А, Самара",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-16:00, 'sun': 10:00-13:00, ",53.204741,50.127511,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sber']",76,63,58,86,,,,2024-07-29 11:38:03
10,sberbank/1107371802,СберБанк,"ул. Ленина, 88, Чапаевск",www.sberbank.com,"'mon': 08:30-17:30, 'tue': 08:30-17:30, 'wed': 08:30-17:30, 'thu': 08:30-17:30, 'fri': 08:30-17:30, 'sat': 08:30-13:00, 'sun': выходной, ",52.956616,49.689753,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",92,68,62,,,,,2024-07-29 11:38:03
11,sberbank/1105246102,СберБанк,"Самарская ул., 207, Самара",www.sberbank.com,"'mon': 09:30-19:00, 'tue': 09:30-19:00, 'wed': 09:30-19:00, 'thu': 09:30-19:00, 'fri': 09:30-19:00, 'sat': 09:30-14:30, 'sun': выходной, ",53.201332,50.116013,"4,6",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",79,64,59,95,,73,60,2024-07-29 11:38:03
12,sberbank/1003753092,СберБанк,"ул. Мичурина, 52, Самара",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-14:30, 'sun': выходной, ",53.202513,50.136459,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/s/sberbank', 'https://vk.com/sber']",88,72,47,81,100,,42,2024-07-29 11:38:03
13,sberbank/1057966188,СберБанк,"Владимирская ул., 35, Самара",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-15:00, 'sun': выходной, ",53.191127,50.141483,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sber']",88,65,63,90,,,,2024-07-29 11:38:03
14,sberbank/1117197506,СберБанк,"ул. Котовского, 17, Чапаевск",www.sberbank.com,"'mon': 08:30-17:00, 'tue': 08:30-17:00, 'wed': 08:30-17:00, 'thu': 08:30-17:00, 'fri': 08:30-17:00, 'sat': выходной, 'sun': выходной, ",52.993500,49.775426,"3,9",['8 (800) 555-55-50Показать телефон'],['https://vk.com/sberbank'],,,,,,,,2024-07-29 11:38:03
15,sberbank/116013491400,СберБанк,"Вилоновская ул., 13, Самара",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:30-13:30, 'sun': выходной, ",53.198047,50.100885,"4,3",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",82,61,45,,,,,2024-07-29 11:38:03
