,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Банкомат,Кредит,Расположение,Ипотека,График работы,load_time
0,sberbank/1178701689,СберБанк,"Гражданский просп., 52, Белгород",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:30-14:30, 'sun': выходной, ",50.595386,36.591580,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",79,72,64,44,88,60,,2024-07-28 19:45:03
1,sberbank/1123143658,СберБанк,"Народный бул., 89, Белгород",www.sberbank.com,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",50.600697,36.583675,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",80,68,65,56,95,70,40,2024-07-28 19:45:03
2,sberbank/195175781921,СберБанк,"ул. Костюкова, 63, Белгород",www.sberbank.ru,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",50.577497,36.590367,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",87,66,77,,100,,,2024-07-28 19:45:03
3,sberbank/1027072450,СберБанк,"ул. Князя Трубецкого, 24, Белгород",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-13:30, 'sun': выходной, ",50.592687,36.596197,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",87,78,,,100,,,2024-07-28 19:45:03
4,sberbank/1049968604,СберБанк,"Белгородский просп., 54, Белгород",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:30-14:30, 'sun': выходной, ",50.601686,36.596174,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",82,62,43,,100,,50,2024-07-28 19:45:03
5,sberbank/1048746994,СберБанк,"ул. Щорса, 64, микрорайон Пригородный, посёлок Дубовое",www.sberbank.com,"'mon': 10:00-20:00, 'tue': 10:00-20:00, 'wed': 10:00-20:00, 'thu': 10:00-20:00, 'fri': 10:00-20:00, 'sat': 10:00-20:00, 'sun': 10:00-20:00, ",50.552505,36.569014,"4,7",['8 (800) 555-55-50Показать телефон'],['https://vk.com/sberbank'],84,72,,,100,,91,2024-07-28 19:45:03
6,sberbank/1014122269,СберБанк,"ул. Апанасенко, 97, Белгород",www.sberbank.com,"'mon': 09:30-18:00, 'tue': 09:30-18:00, 'wed': 09:30-18:00, 'thu': 09:30-18:00, 'fri': 09:30-18:00, 'sat': выходной, 'sun': выходной, ",50.583325,36.566184,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",94,79,,,,,,2024-07-28 19:45:03
7,sberbank/1033276013,СберБанк,"ул. Победы, 124, Белгород",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 10:00-13:00, 'sun': выходной, ",50.595306,36.574745,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sber']",85,73,,,,,,2024-07-28 19:45:03
8,sberbank/1064974660,СберБанк,"ул. Королёва, 2Г, Белгород",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:30-14:00, 'sun': выходной, ",50.571948,36.573820,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",88,84,50,,,,,2024-07-28 19:45:03
9,sberbank/1088894061,СберБанк,"ул. Некрасова, 5Б/8, Белгород",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 10:00-13:30, 'sun': выходной, ",50.615726,36.582570,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",88,75,67,,86,,,2024-07-28 19:45:03
10,sberbank/99400283975,СберБанк,"ул. Губкина, 17А, Белгород",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 10:00-14:00, 'sun': выходной, ",50.566101,36.574098,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",72,53,74,,95,,69,2024-07-28 19:45:03
11,sberbank/1105526177,СберБанк,"бул. Юности, 10, Белгород",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:30-14:00, 'sun': выходной, ",50.561798,36.565169,"4,4",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",71,62,78,,90,,,2024-07-28 19:45:03
