,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Банкомат,Кредит,Расположение,График работы,Ипотека,Ремонт,load_time
0,sberbank/1209002488,СберБанк,"Октябрьская ул., 35, Нижний Новгород",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",56.322173,44.009955,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sber']",63,46,52,45,81,21,81,,2024-08-04 20:35:59
1,sberbank/1028022135,СберБанк,"ул. Ленина, 157, Бор",,"'mon': 08:30-18:00, 'tue': 08:30-18:00, 'wed': 08:30-18:00, 'thu': 08:30-18:00, 'fri': 08:30-18:00, 'sat': 08:30-14:00, 'sun': выходной, ",56.357739,44.058457,"4,6",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sber/', 'https://vk.com/careersber']",86,78,82,,100,,,,2024-08-04 20:35:59
2,sberbank/65235041914,СберБанк,"площадь Максима Горького, 4, Нижний Новгород",,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': 10:00-15:00, 'sun': выходной, ",56.314258,43.990194,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sber', 'http://t.me/sberbank', 'http://vk.com/sber']",62,42,65,,88,,,,2024-08-04 20:35:59
3,sberbank/1201292678,СберБанк,"ул. Белинского, 69, Нижний Новгород",,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:30-14:00, 'sun': выходной, ",56.317578,44.022273,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",82,50,46,,96,,,,2024-08-04 20:35:59
4,sberbank/1042967320,СберБанк,"ул. Родионова, 17, Нижний Новгород",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-14:00, 'sun': выходной, ",56.319529,44.054226,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",68,52,53,,95,,,,2024-08-04 20:35:59
5,sberbank/1063560564,СберБанк,"ул. Сергея Есенина, 17А, Канавинский район, жилой район Мещерское Озеро, Нижний Новгород",,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': выходной, 'sun': выходной, ",56.334513,43.937275,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",73,65,56,,100,60,,,2024-08-04 20:35:59
6,sberbank/1232345641,СберБанк,"Совнаркомовская ул., 34, Нижний Новгород",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",56.326298,43.957002,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",73,50,29,,100,33,,64,2024-08-04 20:35:59
7,sberbank/1134110567,СберБанк,"ул. Карла Маркса, 7А, Канавинский район, жилой район Мещерское Озеро, Нижний Новгород",,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:30-15:00, 'sun': выходной, ",56.344017,43.927079,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/s/sberbank', 'https://vk.com/sberbank', 'https://youtube.com/channel/UCC1AHvtI8Z7w7y7DGCMdZpg']",86,63,37,,94,,,,2024-08-04 20:35:59
8,sberbank/1234882840,СберБанк,"ул. Ванеева, 24, Нижний Новгород",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-14:00, 'sun': выходной, ",56.309064,44.023207,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",79,63,88,,85,60,,,2024-08-04 20:35:59
9,sberbank/1236612927,СберБанк,"ул. Чкалова, 3, Нижний Новгород",,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-15:30, 'sun': выходной, ",56.319020,43.944434,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/s/sberbank', 'https://vk.com/sberbank']",71,54,33,,,,,,2024-08-04 20:35:59
