,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Банкомат,Время ожидания,Расположение,График работы,Ремонт,Ипотека,Кредит,load_time
0,sberbank/1145373091,СберБанк,"8, микрорайон Южный, Котельники",www.sberbank.com,"'mon': 10:00-19:00, 'tue': 10:00-19:00, 'wed': 10:00-19:00, 'thu': 10:00-19:00, 'fri': 10:00-19:00, 'sat': выходной, 'sun': выходной, ",55.646747,37.860720,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",63,29,48,,,,,,2024-07-29 07:01:43
1,sberbank/118642499156,СберБанк,"1-я Вольская ул., 22, корп. 1, Москва",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-16:00, 'sun': выходной, ",55.683123,37.926521,"4,8",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/Sber_Business_Live_bot', 'https://vk.com/careersber']",86,90,79,92,84,83,,,2024-07-29 07:01:43
2,sberbank/1187168806,СберБанк,"ул. Гоголя, 34, рабочий посёлок Томилино",www.sberbank.com,"'mon': выходной, 'tue': 08:45-18:30, 'wed': 08:45-18:30, 'thu': 08:45-18:30, 'fri': 08:45-18:30, 'sat': 09:00-15:15, 'sun': выходной, ",55.668280,37.953874,"2,3",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",60,7,10,50,3,,,,2024-07-29 07:01:43
3,sberbank/1158376490,СберБанк,"Красноармейская ул., 8, Люберцы",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 10:00-16:00, 'sun': выходной, ",55.678763,37.888405,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",64,18,52,,,,63,59,2024-07-29 07:01:43
4,sberbank/44573640252,СберБанк,"Лесная ул., 5, Дзержинский",www.sberbank.com,"'mon': 09:00-20:00, 'tue': 09:00-20:00, 'wed': 09:00-20:00, 'thu': 09:00-20:00, 'fri': 09:00-20:00, 'sat': 10:00-15:00, 'sun': выходной, ",55.630813,37.855500,"4,7",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",76,87,57,100,46,,,,2024-07-29 07:01:43
5,sberbank/1224593129,СберБанк,"ул. Руднёвка, 19, Москва",www.sberbank.com,"'mon': 10:00-19:30, 'tue': 10:00-19:30, 'wed': 10:00-19:30, 'thu': 10:00-19:30, 'fri': 10:00-19:30, 'sat': 10:00-16:00, 'sun': выходной, ",55.716686,37.887345,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",86,57,75,97,13,,,,2024-07-29 07:01:43
6,sberbank/106674492978,СберБанк,"Октябрьский просп., 9, Люберцы",www.sberbank.com,"'mon': 09:30-19:00, 'tue': 09:30-19:00, 'wed': 09:30-19:00, 'thu': 09:30-19:00, 'fri': 09:30-19:00, 'sat': 10:00-14:00, 'sun': выходной, ",55.696220,37.861708,"4,5",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",75,57,66,91,67,,,,2024-07-29 07:01:43
7,sberbank/121176118798,СберБанк,"Рождественская ул., 31, Москва",www.sberbank.com,"'mon': 09:00-20:00, 'tue': 09:00-20:00, 'wed': 09:00-20:00, 'thu': 09:00-20:00, 'fri': 09:00-20:00, 'sat': 10:00-17:00, 'sun': 10:00-15:00, ",55.705919,37.931731,"4,8",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",85,50,66,81,87,,,33,2024-07-29 07:01:43
8,sberbank/1082012063,СберБанк,"ул. Побратимов, 7, Люберцы",www.sberbank.com,"'mon': 10:00-21:00, 'tue': 10:00-21:00, 'wed': 10:00-21:00, 'thu': 10:00-21:00, 'fri': 10:00-21:00, 'sat': 10:00-20:00, 'sun': 10:00-20:00, ",55.692115,37.896401,"4,8",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",79,77,66,94,93,,,,2024-07-29 07:01:43
9,sberbank/1110487738,СберБанк,"Октябрьский просп., 304, Люберцы",,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",55.668016,37.906839,"4,7",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",77,61,64,97,88,,,,2024-07-29 07:01:43
10,sberbank/67660524877,СберБанк,"Инициативная ул., 7Б, Люберцы",www.sberbank.com,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': выходной, 'sun': выходной, ",55.685990,37.898512,"4,6",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",80,80,72,73,50,,,,2024-07-29 07:01:43
11,sberbank/1245400150,СберБанк,"ул. Карла Маркса, 61, дачный посёлок Красково",www.sberbank.com,"'mon': 09:30-19:00, 'tue': 09:30-19:00, 'wed': 09:30-19:00, 'thu': 09:30-19:00, 'fri': 09:30-19:00, 'sat': 10:00-16:00, 'sun': выходной, ",55.657977,37.982900,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",81,35,52,84,61,25,,,2024-07-29 07:01:43
