,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Банкомат,Расположение,Ипотека,Кредит,Ремонт,load_time
0,sberbank/1257171304,СберБанк,"просп. Шахтёров, 50, Кемерово",www.sberbank.ru,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",55.397613,86.115386,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",86,81,69,83,,,,2024-07-29 03:41:08
1,sberbank/1322032028,СберБанк,"просп. Шахтёров, 97, Кемерово",www.sberbank.com,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:00-19:00, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': 09:00-19:00, 'sun': выходной, ",55.405593,86.121325,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",91,67,56,92,,,,2024-07-29 03:41:08
2,sberbank/1105475914,СберБанк,"Советский просп., 49, Кемерово",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 10:00-14:00, 'sun': выходной, ",55.356600,86.078852,"4,5",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sber', 'https://t.me/sberbank', 'https://vk.com/sberbank']",73,69,,87,,,,2024-07-29 03:41:08
3,sberbank/1123240776,СберБанк,"просп. Ленина, 49, Кемерово",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-14:00, 'sun': выходной, ",55.344132,86.085976,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",87,65,60,92,63,67,,2024-07-29 03:41:08
4,sberbank/137667793354,СберБанк,"Октябрьский просп., 53, Кемерово",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:30-14:30, 'sun': выходной, ",55.347408,86.127639,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",80,72,,,,,,2024-07-29 03:41:08
5,sberbank/1083307257,СберБанк,"просп. Ленина, 70, Кемерово",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-14:00, 'sun': выходной, ",55.345089,86.113248,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",89,76,73,100,,,,2024-07-29 03:41:08
6,sberbank/1066669741,СберБанк,"ул. Леонова, 9, Кемерово",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",55.392971,86.016321,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",89,63,18,,,,,2024-07-29 03:41:08
7,sberbank/1128204279,СберБанк,"бул. Строителей, 29, Кемерово",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-14:00, 'sun': 10:00-14:00, ",55.343676,86.165306,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",90,61,,,,,,2024-07-29 03:41:08
8,sberbank/1070649551,СберБанк,"ул. 40 лет Октября, 17, Кемерово",www.sberbank.com,"'mon': 09:00-17:30, 'tue': 09:00-17:30, 'wed': 09:00-17:30, 'thu': 09:00-17:30, 'fri': 09:00-17:30, 'sat': 09:00-14:00, 'sun': выходной, ",55.390522,86.009359,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",74,67,,,,,,2024-07-29 03:41:08
9,sberbank/1134772107,СберБанк,"просп. Ленина, 120, Кемерово",www.sberbank.com,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': 09:30-14:30, 'sun': выходной, ",55.348872,86.154401,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",89,87,,,,,,2024-07-29 03:41:08
