,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Банкомат,Расположение,Ремонт,Кредит,Ипотека,График работы,load_time
0,sberbank/1105003365,СберБанк,"Университетский просп., 96, Волгоград",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-13:00, 'sun': выходной, ",48.646044,44.432406,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",87,75,61,82,,,,,2024-07-28 21:46:03
1,sberbank/1121286786,СберБанк,"ул. 64-й Армии, 44, Волгоград",www.sberbank.com,"'mon': 08:30-19:00, 'tue': 08:30-19:00, 'wed': 08:30-19:00, 'thu': 08:30-19:00, 'fri': 08:30-19:00, 'sat': 08:30-15:00, 'sun': выходной, ",48.620665,44.425857,"4,7",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sber', 'https://vk.com/sber']",84,75,75,93,,,,,2024-07-28 21:46:03
2,sberbank/1272058043,СберБанк,"ул. 64-й Армии, 75, Волгоград",www.sberbank.com,"'mon': 08:30-18:00, 'tue': 08:30-18:00, 'wed': 08:30-18:00, 'thu': 08:30-18:00, 'fri': 08:30-18:00, 'sat': 08:30-14:00, 'sun': выходной, ",48.607799,44.421143,"4,8",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sber', 'https://vk.com/sber']",92,63,33,88,78,,,,2024-07-28 21:46:03
3,sberbank/99924563278,СберБанк,"Казахская ул., 28, Волгоград",www.sberbank.com,"'mon': 08:30-19:00, 'tue': 08:30-19:00, 'wed': 08:30-19:00, 'thu': 08:30-19:00, 'fri': 08:30-19:00, 'sat': 08:30-14:00, 'sun': выходной, ",48.675987,44.445577,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",83,58,,,,,,,2024-07-28 21:46:03
4,sberbank/1051250643,СберБанк,"Калининградская ул., 5, Волгоград",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",48.660172,44.445092,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sber']",82,76,61,92,,,,,2024-07-28 21:46:03
5,sberbank/1046577498,СберБанк,"Коммунистическая ул., 40, Волгоград",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:30-14:30, 'sun': 10:00-13:00, ",48.717542,44.526650,"4,8",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",83,72,63,82,,58,55,64,2024-07-28 21:46:03
6,sberbank/1046466649,СберБанк,"Рабоче-Крестьянская ул., 14, Волгоград",www.sberbank.com,"'mon': 08:30-18:30, 'tue': 08:30-18:30, 'wed': 08:30-18:30, 'thu': 08:30-18:30, 'fri': 08:30-18:30, 'sat': 08:30-16:30, 'sun': выходной, ",48.696739,44.498811,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",89,77,81,94,,,,,2024-07-28 21:46:03
7,sberbank/13635004130,СберБанк,"Волгоградская ул., 13, территория Рабочий посёлок Горьковский, Волгоград",www.sberbank.com,"'mon': выходной, 'tue': 08:00-17:30, 'wed': 08:00-17:30, 'thu': 08:00-17:30, 'fri': 08:00-17:30, 'sat': 08:00-15:00, 'sun': выходной, ",48.686968,44.322139,"4,8",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,,2024-07-28 21:46:03
8,sberbank/1022041474,СберБанк,"ул. Кирова, 122, Волгоград",www.sberbank.com,"'mon': 08:30-18:30, 'tue': 08:30-18:30, 'wed': 08:30-18:30, 'thu': 08:30-18:30, 'fri': 08:30-18:30, 'sat': 08:30-14:00, 'sun': выходной, ",48.611522,44.428051,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",89,49,65,93,,,,,2024-07-28 21:46:03
9,sberbank/1120955404,СберБанк,"ул. Тулака, 40, Волгоград",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': выходной, 'sun': выходной, ",48.675535,44.468916,"4,8",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",86,62,56,81,,,,,2024-07-28 21:46:03
