,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Расположение,Банкомат,Ипотека,Ремонт,График работы,load_time
0,sberbank/111397522919,СберБанк,"Русская ул., 59/2, Владивосток",,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 10:00-15:30, 'sun': выходной, ",C43.16946,131.92511,"4,5",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sber/', 'https://vk.com/sberbank']",80,69,95,73,,,,2024-08-04 21:30:20
1,sberbank/24731432892,СберБанк,"Луговая ул., 18, Владивосток",,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:30-17:00, 'sun': выходной, ",C43.11137,131.93747,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",80,38,96,44,,,,2024-08-04 21:30:20
2,sberbank/1108524516,СберБанк,"ул. Анны Щетининой, 21, Первореченский район, Владивосток",,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:30-15:00, 'sun': выходной, ",C43.16246,131.95238,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",84,75,86,64,,,,2024-08-04 21:30:20
3,sberbank/1717655740,СберБанк,"просп. 100-летия Владивостока, 52В, Владивосток",,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:30-16:00, 'sun': выходной, ",C43.15479,131.91111,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",88,77,89,69,,,,2024-08-04 21:30:20
4,sberbank/1088311306,СберБанк,"Луговая ул., 69, Владивосток",,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': выходной, 'sun': выходной, ",C43.12371,131.93878,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",88,65,,50,,,,2024-08-04 21:30:20
5,sberbank/1078115789,СберБанк,"ул. Нейбута, 53, Владивосток",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 10:00-16:00, 'sun': выходной, ",C43.11397,131.96071,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sber_students_bot', 'https://vk.com/sberbank']",90,73,,,,,,2024-08-04 21:30:20
6,sberbank/1127504577,СберБанк,"просп. Красного Знамени, 59, Владивосток",,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 10:00-16:30, 'sun': выходной, ",C43.12759,131.90721,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",84,60,100,60,80,,,2024-08-04 21:30:20
7,sberbank/1112674977,СберБанк,"Океанский просп., 110А, Владивосток",,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",C43.13300,131.90682,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",79,55,100,35,,,,2024-08-04 21:30:20
8,sberbank/71067965326,СберБанк,"Сахалинская ул., 44, Владивосток",,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 10:00-15:00, 'sun': выходной, ",C43.09029,131.96870,"4,8",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",86,87,97,81,,,,2024-08-04 21:30:20
9,sberbank/1080212086,СберБанк,"просп. 100-летия Владивостока, 150В, Владивосток",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",C43.18029,131.92054,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",86,74,80,,,,,2024-08-04 21:30:20
10,sberbank/1047140130,СберБанк,"ул. Борисенко, 16, Владивосток",,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': 10:00-15:00, 'sun': выходной, ",C43.10099,131.94314,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",91,60,73,45,,73,,2024-08-04 21:30:20
