,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Банкомат,Расположение,Ремонт,График работы,Кредит,Ипотека,load_time
0,sberbank/1014205176,СберБанк,"Салмышская ул., 46, стр. 1, Оренбург",www.sberbank.ru,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 10:00-15:00, 'sun': выходной, ",51.821606,55.167083,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",85,53,40,89,73,40,,,2024-08-05 13:35:36
1,sberbank/1079455857,СберБанк,"просп. Гагарина, 48/1, Оренбург",www.sberbank.ru,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 10:00-14:00, 'sun': выходной, ",51.775701,55.184136,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",89,63,,,,,,,2024-08-05 13:35:36
2,sberbank/1336845256,СберБанк,"Алтайская ул., 2/1, Оренбург",www.sberbank.ru,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': 10:00-14:00, 'sun': выходной, ",51.774497,55.166898,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",94,77,69,100,,,60,69,2024-08-05 13:35:36
3,sberbank/209985292798,СберБанк,"ул. Володарского, 16, Оренбург",www.sberbank.ru,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-15:00, 'sun': выходной, ",51.768188,55.101824,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",82,65,85,91,,77,48,70,2024-08-05 13:35:36
4,sberbank/1086909364,СберБанк,"просп. Победы, 126, Оренбург",www.sberbank.ru,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 10:00-14:00, 'sun': выходной, ",51.792677,55.127156,"4,8",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",92,74,77,100,,,,,2024-08-05 13:35:36
5,sberbank/1146520093,СберБанк,"ул. Джангильдина, 15, Оренбург",www.sberbank.ru,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",51.833551,55.162343,"4,7",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",80,85,83,100,,,,,2024-08-05 13:35:36
6,sberbank/1126643512,СберБанк,"Восточная ул., 31, Оренбург",www.sberbank.ru,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': выходной, 'sun': выходной, ",51.786304,55.152534,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sber_students_bot', 'https://vk.com/sberbank']",91,46,30,100,,,,,2024-08-05 13:35:36
7,sberbank/1083092450,СберБанк,"Брестская ул., 5, Оренбург",www.sberbank.com,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",51.826765,55.146489,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",84,80,75,96,,,,,2024-08-05 13:35:36
8,sberbank/1076801494,СберБанк,"просп. Дзержинского, 5, Оренбург",www.sberbank.ru,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-14:00, 'sun': выходной, ",51.826421,55.118138,"4,8",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",82,85,90,100,,,,,2024-08-05 13:35:36
9,sberbank/1277646937,СберБанк,"просп. Дзержинского, 26, Оренбург",www.sberbank.ru,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': выходной, 'sun': выходной, ",51.835393,55.128953,"4,8",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",83,67,82,,,,,,2024-08-05 13:35:36
10,sberbank/1064903989,СберБанк,"ул. Чкалова, 32, Оренбург",www.sberbank.ru,"'mon': 09:05-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",51.771175,55.134954,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",78,68,54,100,,40,,,2024-08-05 13:35:36
11,sberbank/136736063393,СберБанк,"Новая ул., 4/5, Оренбург",www.sberbank.ru,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-14:00, 'sun': выходной, ",51.810093,55.093506,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",87,55,86,83,,,,,2024-08-05 13:35:36
12,sberbank/1144424828,СберБанк,"просп. Братьев Коростелёвых, 7, Оренбург",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-14:30, 'sun': выходной, ",51.787089,55.075944,"4,9",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",88,81,60,95,,,,,2024-08-05 13:35:36
13,sberbank/1141138920,СберБанк,"Туркестанская ул., 9, Оренбург",www.sberbank.ru,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': выходной, 'sun': выходной, ",51.767965,55.117059,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",94,85,67,100,,67,,,2024-08-05 13:35:36
14,sberbank/1171646752,СберБанк,"Шарлыкское ш., 1/2, Оренбург",www.sberbank.ru,"'mon': 08:30-17:30, 'tue': 08:30-17:30, 'wed': 08:30-17:30, 'thu': 08:30-17:30, 'fri': 08:30-17:30, 'sat': 09:00-14:00, 'sun': выходной, ",51.843896,55.117742,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",89,77,,,,,,,2024-08-05 13:35:36
