,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Банкомат,Расположение,График работы,Кредит,Ипотека,load_time
0,sberbank/99662294143,СберБанк,"ул. Жуковского, 3, Жуковский",,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-16:00, 'sun': выходной, ",55.597765,38.113667,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",79,70,63,86,,,,2024-08-05 01:24:14
1,sberbank/134259454943,СберБанк,"ул. Чкалова, 8, Жуковский",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': выходной, 'sat': 09:00-16:00, 'sun': выходной, ",55.590947,38.130549,"4,8",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",86,78,78,100,,,,2024-08-05 01:24:14
2,sberbank/1149158211,СберБанк,"Солнечная ул., 10, Жуковский",,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",55.604814,38.089026,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",76,51,65,91,75,,,2024-08-05 01:24:14
3,sberbank/1085516231,СберБанк,"ул. Чугунова, 43, Раменское",,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-16:00, 'sun': выходной, ",55.580432,38.200606,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",81,60,67,94,80,25,,2024-08-05 01:24:14
4,sberbank/1116915239,СберБанк,"ул. Куйбышева, 39А, Раменское",,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': выходной, 'sun': выходной, ",55.564974,38.200768,"4,8",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",95,82,56,100,29,,,2024-08-05 01:24:14
5,sberbank/167678128688,СберБанк,"Московская ул., 26, рабочий посёлок Ильинский",,"'mon': выходной, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-16:30, 'sun': выходной, ",55.616900,38.100830,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",83,70,36,86,,,,2024-08-05 01:24:14
6,sberbank/1207064020,СберБанк,"ул. Гурьева, 1Б/2, Раменское",,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-16:00, 'sun': выходной, ",55.576829,38.239772,"4,7",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",82,77,63,100,,,,2024-08-05 01:24:14
7,sberbank/1036514982,СберБанк,"ул. Михалевича, 39, стр. 24, Раменское",,"'mon': 08:30-19:30, 'tue': 08:30-19:30, 'wed': 08:30-19:30, 'thu': 08:30-19:30, 'fri': 08:30-19:30, 'sat': 09:00-15:30, 'sun': выходной, ",55.563605,38.242800,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",75,56,76,59,63,60,68,2024-08-05 01:24:14
8,sberbank/1153622212,СберБанк,"Подмосковная ул., 34, д. Островцы",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",55.597501,37.985846,"4,8",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",83,56,43,93,20,,,2024-08-05 01:24:14
9,sberbank/1199366654,СберБанк,"Шоссейная ул., 12А, рабочий посёлок Малаховка",,"'mon': выходной, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-15:30, 'sun': выходной, ",55.642799,38.008672,"4,2",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",73,39,17,90,26,,,2024-08-05 01:24:14
10,sberbank/1010902904,СберБанк,"Интернациональная ул., 17, дачный посёлок Удельная",,"'mon': выходной, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-16:30, 'sun': выходной, ",55.634304,38.049060,"3,2",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",47,33,0,,5,,,2024-08-05 01:24:14
11,sberbank/169251836554,СберБанк,"Центральная ул., 22, посёлок Володарского",,"'mon': выходной, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:30-13:00, 'sun': выходной, ",55.501825,37.945961,"3,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",63,21,0,,,,,2024-08-05 01:24:14
12,sberbank/61886378874,СберБанк,"ул. Михалевича, 39, Раменское",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",55.563605,38.242800,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,2024-08-05 01:24:14
13,sberbank/1164428776,СберБанк,"Школьная ул., 3, посёлок совхоза Раменское",www.sberbank.com,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': 09:00-16:30, 'fri': 09:00-16:30, 'sat': 09:30-13:45, 'sun': выходной, ",55.552307,38.248459,"3,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,2024-08-05 01:24:14
