,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Расположение,Банкомат,График работы,load_time
0,sberbank/55718940075,СберБанк,"ул. Нормандия-Неман, 23, Смоленск",www.sberbank.com,"'mon': 08:30-19:00, 'tue': 08:30-19:00, 'wed': 08:30-19:00, 'thu': 08:30-19:00, 'fri': 08:30-19:00, 'sat': 09:00-15:00, 'sun': выходной, ",54.776482,32.016092,"4,7",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",85,67,77,,,2024-07-29 18:13:43
1,sberbank/192231423489,СберБанк,"ул. Октябрьской Революции, 32, Смоленск",www.sberbank.com,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': 09:30-15:00, 'sun': выходной, ",54.771279,32.042466,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",78,69,80,73,,2024-07-29 18:13:43
2,sberbank/1104308557,СберБанк,"Коммунистическая ул., 8, Смоленск",www.sberbank.com,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': 09:30-14:00, 'sun': выходной, ",54.780460,32.049024,"4,6",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",83,61,87,53,,2024-07-29 18:13:43
3,sberbank/1075297703,СберБанк,"ул. Николаева, 50, Смоленск",www.sberbank.com,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': выходной, 'sun': выходной, ",54.768817,32.014852,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",91,76,,71,,2024-07-29 18:13:43
4,sberbank/1116870477,СберБанк,"Ново-Ленинградская ул., 11, Смоленск",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-15:30, 'sun': выходной, ",54.794938,32.049769,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",90,69,47,,,2024-07-29 18:13:43
5,sberbank/1078701627,СберБанк,"Трамвайный пр., 2, Смоленск",,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",54.767129,32.063064,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",83,59,91,85,45,2024-07-29 18:13:43
6,sberbank/1046238940,СберБанк,"ул. Лавочкина, 53А, Смоленск",www.sberbank.com,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",54.807202,31.999957,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",84,67,100,75,38,2024-07-29 18:13:43
7,sberbank/1004163350,СберБанк,"ул. Шевченко, 65, Смоленск",,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",54.775428,32.075614,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",84,69,94,50,27,2024-07-29 18:13:43
8,sberbank/1115791489,СберБанк,"просп. Строителей, 1/42, Смоленск",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-15:00, 'sun': выходной, ",54.767856,32.098368,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",84,68,90,42,,2024-07-29 18:13:43
9,sberbank/1150007169,СберБанк,"ул. Нормандия-Неман, 23, Смоленск",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",54.776482,32.016092,"4,2",['8 (800) 555-55-50Показать телефон'],['https://vk.com/sberbank'],,,,,,2024-07-29 18:13:43
10,sberbank/1056239393,СберБанк,"ул. Попова, 96, Смоленск",www.sberbank.ru,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': выходной, 'sun': выходной, ",54.761363,32.111666,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",87,69,100,63,50,2024-07-29 18:13:43
11,sberbank/1034713276,СберБанк,"Минская ул., 16А, село Печерск",www.sberbank.com,"'mon': 08:45-17:20, 'tue': 08:45-17:20, 'wed': 08:45-17:20, 'thu': выходной, 'fri': 08:45-17:20, 'sat': выходной, 'sun': выходной, ",54.854455,32.031093,"4,2",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",85,54,,36,29,2024-07-29 18:13:43
12,sberbank/1033687043,СберБанк,"ул. Седова, 44, Смоленск",www.sberbank.com,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': выходной, 'sun': выходной, ",54.817391,32.122820,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",67,40,,,,2024-07-29 18:13:43
13,sberbank/1132632540,СберБанк,"ул. Щорса, 5, Смоленск",www.sberbank.com,"'mon': 09:00-17:30, 'tue': 09:00-17:30, 'wed': 09:00-17:30, 'thu': 09:00-17:30, 'fri': 09:00-17:30, 'sat': выходной, 'sun': выходной, ",54.783316,31.804314,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,2024-07-29 18:13:43
14,sberbank/43613471278,СберБанк,"Октябрьская ул., 4, село Пригорское",www.sberbank.com,"'mon': 09:00-17:00, 'tue': 09:00-17:00, 'wed': 09:00-17:00, 'thu': 09:00-17:00, 'fri': 09:00-16:45, 'sat': выходной, 'sun': выходной, ",54.680270,32.142772,"4,1",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,2024-07-29 18:13:43
