,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Банкомат,Расположение,Ипотека,Ремонт,load_time
0,sberbank/144786276694,СберБанк,"ул. Карла Маркса, 12, корп. 3, Ульяновск",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 08:30-15:30, 'sun': выходной, ",54.319696,48.394220,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",79,55,92,100,,,2024-08-05 21:18:20
1,sberbank/1034585429,СберБанк,"ул. Металлистов, 17, Ульяновск",,"'mon': 08:00-18:00, 'tue': 08:00-18:00, 'wed': 08:00-18:00, 'thu': 08:00-18:00, 'fri': 09:00-18:00, 'sat': 08:30-15:30, 'sun': выходной, ",54.330854,48.483342,"4,8",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",89,73,68,,,,2024-08-05 21:18:20
2,sberbank/151883863903,СберБанк,"ул. Минаева, 26/1, Ульяновск",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",54.306638,48.381330,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/bankdruzey']",75,67,,86,69,,2024-08-05 21:18:20
3,sberbank/238649675073,СберБанк,"ул. Гончарова, 40А, Ульяновск",,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-14:00, 'sun': выходной, ",54.319039,48.398766,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",81,,,70,,,2024-08-05 21:18:20
4,sberbank/1031514095,СберБанк,"просп. Нариманова, 51, Ульяновск",www.sberbank.ru,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",54.346575,48.370694,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",87,63,65,100,,,2024-08-05 21:18:20
5,sberbank/1021195474,СберБанк,"ул. Радищева, 39, Ульяновск",www.sberbank.ru,"'mon': 08:30-18:00, 'tue': 08:30-18:00, 'wed': 08:30-18:00, 'thu': 08:30-18:00, 'fri': 08:30-18:00, 'sat': выходной, 'sun': выходной, ",54.327205,48.401372,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",76,63,,,,,2024-08-05 21:18:20
6,sberbank/1038789595,СберБанк,"ул. Врача Михайлова, 41, Ульяновск",www.sberbank.ru,"'mon': 08:30-18:00, 'tue': 08:30-18:00, 'wed': 08:30-18:00, 'thu': 08:30-18:00, 'fri': 08:30-18:00, 'sat': 08:30-15:00, 'sun': выходной, ",54.352856,48.539541,"4,8",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",89,74,,94,,,2024-08-05 21:18:20
7,sberbank/134049427938,СберБанк,"просп. 50-летия ВЛКСМ, 20, Ульяновск",www.sberbank.ru,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",54.303980,48.331366,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",90,79,68,95,,,2024-08-05 21:18:20
8,sberbank/1092774498,СберБанк,"ул. 12 Сентября, 83, Ульяновск",www.sberbank.ru,"'mon': 08:30-17:00, 'tue': 08:30-17:00, 'wed': 08:30-17:00, 'thu': 08:30-17:00, 'fri': 08:30-17:00, 'sat': 08:30-14:00, 'sun': выходной, ",54.301747,48.378437,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",82,74,88,100,,,2024-08-05 21:18:20
9,sberbank/118389842786,СберБанк,"просп. Ленинского Комсомола, 20, Ульяновск",www.sberbank.ru,"'mon': 08:30-18:30, 'tue': 08:30-18:30, 'wed': 08:30-18:30, 'thu': 08:30-18:30, 'fri': 08:30-18:30, 'sat': 08:30-16:30, 'sun': выходной, ",54.378810,48.588639,"4,8",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",84,70,64,100,,,2024-08-05 21:18:20
10,sberbank/1111110313,СберБанк,"ул. Пушкарёва, 64, Ульяновск",www.sberbank.ru,"'mon': 08:30-18:00, 'tue': 08:30-18:00, 'wed': 08:30-18:00, 'thu': 08:30-18:00, 'fri': 08:30-18:00, 'sat': 09:00-15:30, 'sun': выходной, ",54.318467,48.357731,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",85,76,43,,,,2024-08-05 21:18:20
11,sberbank/70937438176,СберБанк,"ул. 40-летия Октября, 9, Ульяновск",www.sberbank.ru,"'mon': 08:30-18:00, 'tue': 08:30-18:00, 'wed': 08:30-18:00, 'thu': 08:30-18:00, 'fri': 08:30-18:00, 'sat': выходной, 'sun': выходной, ",54.347446,48.543009,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",92,62,,,,,2024-08-05 21:18:20
12,sberbank/1072513255,СберБанк,"ул. Можайского, 6А, корп. 2, Ульяновск",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",54.324402,48.392154,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",73,63,,83,,,2024-08-05 21:18:20
13,sberbank/1128865244,СберБанк,"Ульяновский просп., 20, Ульяновск",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",54.378219,48.577873,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",83,73,67,100,,,2024-08-05 21:18:20
14,sberbank/101142138133,СберБанк,"Камышинская ул., 4А, Ульяновск",www.sberbank.ru,"'mon': 08:30-18:00, 'tue': 08:30-18:00, 'wed': 08:30-18:00, 'thu': 08:30-18:00, 'fri': 08:30-18:00, 'sat': 09:00-15:00, 'sun': 09:00-12:30, ",54.269734,48.302943,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/s/sberbank', 'https://vk.com/sber']",84,81,80,81,,,2024-08-05 21:18:20
15,sberbank/226464106297,СберБанк,"ул. Рябикова, 21Б, Ульяновск",www.sberbank.ru,"'mon': 08:30-18:30, 'tue': 08:30-18:30, 'wed': 08:30-18:30, 'thu': 08:30-18:30, 'fri': 08:30-18:30, 'sat': 09:00-15:00, 'sun': выходной, ",54.285499,48.303222,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",83,55,,,,,2024-08-05 21:18:20
16,sberbank/1126430598,СберБанк,"просп. Генерала Тюленева, 3, Ульяновск",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 08:30-15:30, 'sun': выходной, ",54.374543,48.595974,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",80,33,75,,,,2024-08-05 21:18:20
17,sberbank/239743023523,СберБанк,"ул. Архитектора Шодэ, 6, Ульяновск",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",54.347284,48.346934,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",85,72,30,94,,,2024-08-05 21:18:20
18,sberbank/1067342753,СберБанк,"Ульяновский просп., 12, Ульяновск",www.sberbank.ru,"'mon': 08:30-18:00, 'tue': 08:30-18:00, 'wed': 08:30-18:00, 'thu': 08:30-18:00, 'fri': 08:30-18:00, 'sat': 09:00-15:30, 'sun': выходной, ",54.373767,48.583585,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",83,80,,,,,2024-08-05 21:18:20
19,sberbank/1031294251,СберБанк,"Камышинская ул., 30, Ульяновск",www.sberbank.ru,"'mon': 08:30-18:00, 'tue': 08:30-18:00, 'wed': 08:30-18:00, 'thu': 08:30-18:00, 'fri': 08:30-18:00, 'sat': 08:30-15:30, 'sun': выходной, ",54.276290,48.286279,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/s/sberbank', 'https://vk.com/sberbank', 'https://www.youtube.com/channel/UC1ZKyde6xeiK47dPqUWwZYw']",90,67,67,94,,,2024-08-05 21:18:20
