,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Ремонт,Время ожидания,Банкомат,Расположение,load_time
0,sberbank/230228300450,СберБанк,"ул. Ленина, 43, Новокузнецк",www.sberbank.ru,"'mon': 08:30-20:00, 'tue': 08:30-20:00, 'wed': 08:30-20:00, 'thu': 08:30-20:00, 'fri': 08:30-20:00, 'sat': 09:00-20:00, 'sun': 09:30-18:00, ",53.776425,87.202707,"4,7",['8 (800) 555-55-50Показать телефон'],['https://vk.com/sberbank'],92,93,,,,2024-08-05 11:41:18
1,sberbank/1100683424,СберБанк,"ул. Тольятти, 27, Новокузнецк",,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-16:30, 'sun': выходной, ",53.759427,87.147839,"4,8",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sber/', 'https://t.me/sberbank', 'https://vk.com/sberbank']",87,,77,100,100,2024-08-05 11:41:18
2,sberbank/45781887510,СберБанк,"просп. Н.С. Ермакова, 11, Новокузнецк",www.sberbank.ru,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': выходной, 'sun': выходной, ",53.768007,87.131795,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",88,,92,,,2024-08-05 11:41:18
3,sberbank/1208885207,СберБанк,"просп. Строителей, 72, Новокузнецк",,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-13:00, 'sun': выходной, ",53.774174,87.126279,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",89,83,67,40,,2024-08-05 11:41:18
4,sberbank/1214075662,СберБанк,"просп. Курако, 20, Новокузнецк",,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",53.755226,87.108421,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",79,,77,,92,2024-08-05 11:41:18
5,sberbank/1047384934,СберБанк,"ул. 40 лет ВЛКСМ, 24А, Новокузнецк",,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-14:30, 'sun': выходной, ",53.833900,87.180484,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",92,,80,,,2024-08-05 11:41:18
6,sberbank/1039525107,СберБанк,"ул. Обнорского, 22А, Новокузнецк",,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",53.772690,87.198495,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",86,,82,71,100,2024-08-05 11:41:18
7,sberbank/1208413340,СберБанк,"просп. Бардина, 4, Новокузнецк",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:30-15:00, 'sun': выходной, ",53.748167,87.120457,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",71,,64,50,95,2024-08-05 11:41:18
8,sberbank/1127848150,СберБанк,"ул. Тореза, 20, Новокузнецк",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-15:00, 'sun': выходной, ",53.833778,87.174132,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",90,,80,,,2024-08-05 11:41:18
9,sberbank/1290044093,СберБанк,"ул. Тореза, 75, Новокузнецк",,"'mon': 08:30-19:00, 'tue': 08:30-19:00, 'wed': 08:30-19:00, 'thu': 08:30-19:00, 'fri': 08:30-19:00, 'sat': 09:00-15:00, 'sun': выходной, ",53.825233,87.163380,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",79,,63,,,2024-08-05 11:41:18
10,sberbank/129941030051,СберБанк,"ул. Орджоникидзе, 35, Новокузнецк",,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': 09:30-14:00, 'sun': выходной, ",53.763919,87.125264,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,2024-08-05 11:41:18
11,sberbank/1143373399,СберБанк,"ул. Тореза, 105, Новокузнецк",www.sberbank.ru,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-15:00, 'sun': выходной, ",53.817579,87.155627,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",86,,67,50,,2024-08-05 11:41:18
12,sberbank/1111701071,СберБанк,"ул. Кирова, 103, Новокузнецк",,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': выходной, 'sun': выходной, ",53.757782,87.164413,"4,3",['8 (800) 555-55-50Показать телефон'],"['https://t.me/sberbank', 'https://vk.com/sberbank']",75,,72,40,,2024-08-05 11:41:18
13,sberbank/1245153046,СберБанк,"ул. Кирова, 23А, Новокузнецк",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",53.757910,87.120844,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",,,,,,2024-08-05 11:41:18
14,sberbank/1144636551,СберБанк,"просп. Шахтёров, 18, микрорайон Новобайдаевский, Новокузнецк",,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-15:30, 'sun': выходной, ",53.779895,87.286790,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",92,,62,58,100,2024-08-05 11:41:18
15,sberbank/1352381384,СберБанк,"ул. Циолковского, 29, Новокузнецк",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",53.748050,87.133780,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",95,,89,,,2024-08-05 11:41:18
16,sberbank/102509870713,СберБанк,"просп. Авиаторов, 51, Новокузнецк",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-14:30, 'sun': выходной, ",53.900167,87.125219,"4,5",['8 (800) 555-55-50Показать телефон'],['https://vk.com/sberbank'],87,,77,100,92,2024-08-05 11:41:18
17,sberbank/103151235112,СберБанк,"просп. Архитекторов, 14А, Новокузнецк",,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-15:00, 'sun': выходной, ",53.892697,87.114331,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",71,,65,,,2024-08-05 11:41:18
18,sberbank/1059370158,СберБанк,"ул. Веры Соломиной, 3, Новокузнецк",,"'mon': 09:00-17:30, 'tue': 09:00-17:30, 'wed': 09:00-17:30, 'thu': 09:00-17:30, 'fri': 09:00-17:30, 'sat': выходной, 'sun': выходной, ",53.748095,87.055204,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",100,,56,55,,2024-08-05 11:41:18
19,sberbank/1202041812,СберБанк,"Зыряновская ул., 78, Новокузнецк",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",53.795050,87.352161,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",79,,25,,,2024-08-05 11:41:18
20,sberbank/1088946849,СберБанк,"ул. Пушкина, 22, микрорайон Абашево, Новокузнецк",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",53.801038,87.374780,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",,,,,,2024-08-05 11:41:18
21,sberbank/1165016861,СберБанк,"ул. Селиванова, 2, Прокопьевск",,"'mon': 09:00-17:30, 'tue': 09:00-17:30, 'wed': 09:00-17:30, 'thu': 09:00-17:30, 'fri': 09:00-17:30, 'sat': 09:00-13:30, 'sun': выходной, ",53.881998,86.750810,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",90,,74,92,,2024-08-05 11:41:18
22,sberbank/1165868439,СберБанк,"просп. Строителей, 15А, Прокопьевск",www.sberbank.ru,"'mon': 08:30-18:30, 'tue': 08:30-18:30, 'wed': 08:30-18:30, 'thu': 08:30-18:30, 'fri': 08:30-18:30, 'sat': 09:00-14:00, 'sun': выходной, ",53.864740,86.625666,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",87,,76,67,,2024-08-05 11:41:18
23,sberbank/1077759704,СберБанк,"ул. Революции, 23, Осинники",www.sberbank.ru,"'mon': 08:30-18:30, 'tue': 08:30-18:30, 'wed': 08:30-18:30, 'thu': 08:30-18:30, 'fri': 08:30-18:30, 'sat': 09:00-14:30, 'sun': выходной, ",53.594559,87.331310,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",90,,53,,,2024-08-05 11:41:18
