,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Банкомат,Ремонт,Расположение,График работы,Ипотека,Кредит,load_time
0,sberbank/1361337507,СберБанк,"ул. Циолковского, 10/6, Подольск",www.sberbank.com,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': 09:30-13:30, 'sun': выходной, ",55.399213,37.556739,"4,5",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",80,51,29,69,85,,,,2024-07-29 14:36:38
1,sberbank/1252014153,СберБанк,"Западная ул., 11, микрорайон Климовск, Подольск",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 10:00-15:00, 'sun': выходной, ",55.375168,37.537434,"4,8",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",79,75,71,,,60,,,2024-07-29 14:36:38
2,sberbank/118152483825,СберБанк,"ул. Кирова, 21, Подольск",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-17:00, 'sun': 10:00-14:00, ",55.426100,37.532178,"4,8",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sber/', 'https://vk.com/sberbank']",77,66,74,,77,38,64,37,2024-07-29 14:36:38
3,sberbank/1149986837,СберБанк,"ул. Свердлова, 9, Подольск",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-16:30, 'sun': выходной, ",55.426580,37.542024,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",82,72,64,,95,73,,,2024-07-29 14:36:38
4,sberbank/1222437110,СберБанк,"Февральская ул., 57, Подольск",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-16:00, 'sun': выходной, ",55.431923,37.548654,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",80,49,49,61,85,40,,,2024-07-29 14:36:38
5,sberbank/14833071951,СберБанк,"ул. Генерала Смирнова, 1, корп. 1, Подольск",www.sberbank.com,"'mon': выходной, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-16:00, 'sun': выходной, ",55.416845,37.492212,"4,9",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",92,88,96,,100,38,,,2024-07-29 14:36:38
6,sberbank/1225389159,СберБанк,"ул. Ульяновых, 1, Подольск",www.sberbank.ru,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-14:00, 'sun': выходной, ",55.434414,37.564880,"4,5",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",84,71,57,,86,,,,2024-07-29 14:36:38
7,sberbank/1019142945,СберБанк,"Ленинградская ул., 18, Подольск",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-16:30, 'sun': выходной, ",55.425650,37.493982,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",79,61,66,,91,,,,2024-07-29 14:36:38
8,sberbank/1121271728,СберБанк,"Первомайская ул., 3, микрорайон Климовск, Подольск",www.sberbank.com,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': выходной, 'sun': выходной, ",55.367571,37.534928,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",62,47,50,,,,,,2024-07-29 14:36:38
9,sberbank/1008959858,СберБанк,"ул. Мира, 12/5, Подольск",www.sberbank.com,"'mon': 09:00-17:30, 'tue': 09:00-17:30, 'wed': 09:00-17:30, 'thu': 08:30-17:30, 'fri': 09:00-17:30, 'sat': 09:00-15:30, 'sun': выходной, ",55.419815,37.573429,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",88,66,54,,92,,,,2024-07-29 14:36:38
10,sberbank/94132006229,СберБанк,"Школьная ул., 31, микрорайон Климовск, Подольск",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",55.365694,37.508589,"4,5",['8 (800) 555-55-50Показать телефон'],['https://vk.com/sberbank'],,,,,,,,,2024-07-29 14:36:38
11,sberbank/1135134455,СберБанк,"ул. Ленина, 1, Подольск",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",55.363565,37.522836,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",76,59,40,,,,,,2024-07-29 14:36:38
