,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Ипотека,Расположение,Банкомат,График работы,Кредит,Ремонт,load_time
0,sberbank/1058080785,СберБанк,"ул. Менделеева, 130, Уфа",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-15:30, 'sun': выходной, ",54.714235,56.001263,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",81,55,82,80,,,,,2024-07-29 21:30:06
1,sberbank/1233264535,СберБанк,"ул. Менделеева, 205А, Уфа",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:30-18:30, 'fri': 09:00-18:30, 'sat': 09:30-15:30, 'sun': выходной, ",54.741390,56.026954,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",85,69,,,,,,,2024-07-29 21:30:06
2,sberbank/1104653043,СберБанк,"ул. Рихарда Зорге, 5, Уфа",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:30-15:00, 'sun': выходной, ",54.748473,55.982918,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",78,70,,50,50,,,,2024-07-29 21:30:06
3,sberbank/1633765581,СберБанк,"ул. Академика Королёва, 14, Уфа",www.sberbank.com,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",54.774457,56.077484,"4,8",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",92,81,,100,76,,,,2024-07-29 21:30:06
4,sberbank/1234296771,СберБанк,"просп. Октября, 116, Уфа",www.sberbank.ru,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 10:00-14:00, 'sun': выходной, ",54.770663,56.025231,,['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",84,55,,80,,,,,2024-07-29 21:30:06
5,sberbank/1047909339,СберБанк,"ул. Менделеева, 137, Уфа",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': выходной, 'sun': выходной, ",54.713481,55.993591,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",89,53,,92,83,,,,2024-07-29 21:30:06
6,sberbank/1122570792,СберБанк,"ул. Степана Халтурина, 59, Уфа",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:30-16:00, 'sun': выходной, ",54.745329,55.990653,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",79,58,,96,45,,,,2024-07-29 21:30:06
7,sberbank/1132999949,СберБанк,"ул. Пушкина, 43, Уфа",www.sberbank.com,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",54.725061,55.928678,"4,7",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",88,68,72,95,66,84,82,,2024-07-29 21:30:06
8,sberbank/1151663030,СберБанк,"ул. Степана Кувыкина, 14/6, Уфа",www.sberbank.com,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': 10:00-15:30, 'sun': выходной, ",54.705731,55.999017,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",85,66,,85,67,,,,2024-07-29 21:30:06
9,sberbank/1231027132,СберБанк,"ул. 50-летия Октября, 3, Уфа",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:30-16:00, 'sun': 10:00-14:30, ",54.735719,55.959473,"4,5",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",83,63,80,95,66,,63,,2024-07-29 21:30:06
10,sberbank/1085044306,СберБанк,"ул. Лесотехникума, 24/1, Уфа",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-15:30, 'sun': выходной, ",54.758303,56.023729,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",93,65,,100,64,,,,2024-07-29 21:30:06
11,sberbank/1103255024,СберБанк,"просп. Октября, 132/3, Уфа",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-15:00, 'sun': выходной, ",54.777033,56.031329,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",73,59,,82,53,,,,2024-07-29 21:30:06
