,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Банкомат,Расположение,График работы,load_time
0,sberbank/1553660317,СберБанк,"ул. Космонавтов, 16А, Новоалтайск",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-13:00, 'sun': выходной, ",53.419116,83.936164,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",92,76,,,,2024-08-05 11:29:52
1,sberbank/1035644173,СберБанк,"1/2, 8-й микрорайон, Новоалтайск",,"'mon': 08:30-18:00, 'tue': 08:30-18:00, 'wed': 08:30-18:00, 'thu': 08:30-18:00, 'fri': 08:30-18:00, 'sat': 09:00-14:30, 'sun': выходной, ",53.411554,83.933622,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",85,63,71,,,2024-08-05 11:29:52
2,sberbank/1022392673,СберБанк,"ул. 22-го Партсъезда, 10, Новоалтайск",,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",53.392683,83.937790,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",80,74,,,,2024-08-05 11:29:52
3,sberbank/1222487051,СберБанк,"ул. 40 лет Победы, 44, село Берёзовка",,"'mon': выходной, 'tue': 09:00-15:45, 'wed': 09:00-15:45, 'thu': 09:00-15:45, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",53.406508,83.998947,"4,2",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,2024-08-05 11:29:52
4,sberbank/1004476506,СберБанк,"Красноармейский просп., 58А/1, Барнаул",,"'mon': 08:30-19:00, 'tue': 08:30-19:00, 'wed': 08:30-19:00, 'thu': 08:30-19:00, 'fri': 08:30-19:00, 'sat': 09:00-16:30, 'sun': 09:00-16:00, ",53.337360,83.775303,"4,5",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",86,63,,100,90,2024-08-05 11:29:52
5,sberbank/1007996073,СберБанк,"Комсомольский просп., 106А, Барнаул",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",53.349209,83.784815,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",83,80,,91,,2024-08-05 11:29:52
6,sberbank/1099870541,СберБанк,"просп. Ленина, 96Е, Барнаул",,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-14:00, 'sun': выходной, ",53.359635,83.765073,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",74,82,,,,2024-08-05 11:29:52
7,sberbank/1086768950,СберБанк,"ул. Шевченко, 52А, Барнаул",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",53.348296,83.779156,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",93,88,,,,2024-08-05 11:29:52
8,sberbank/1109145119,СберБанк,"просп. Ленина, 20, Барнаул",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",53.336291,83.790251,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",95,92,80,100,,2024-08-05 11:29:52
9,sberbank/45471547368,СберБанк,"Новая ул., 17, село Зудилово",www.sberbank.ru,"'mon': выходной, 'tue': 09:00-13:15, 'wed': выходной, 'thu': 09:00-13:15, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",53.479321,83.878429,"1,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,2024-08-05 11:29:52
