,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Расположение,Банкомат,График работы,Ремонт,Кредит,Ипотека,load_time
0,sberbank/1034822830,СберБанк,"Февральская ул., 54, Пятигорск",www.sberbank.ru,"'mon': выходной, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-15:00, 'sun': выходной, ",44.038312,43.035779,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",88,68,81,83,,,,,2024-08-05 15:23:35
1,sberbank/32147006678,СберБанк,"просп. 40 лет Октября, 56Б, Пятигорск",,"'mon': 08:30-19:30, 'tue': 08:30-19:30, 'wed': 08:30-19:30, 'thu': 08:30-19:30, 'fri': 08:30-19:30, 'sat': 08:30-16:30, 'sun': выходной, ",44.041876,43.063968,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",82,56,96,53,70,80,,,2024-08-05 15:23:35
2,sberbank/1027527150,СберБанк,"просп. Кирова, 59, Пятигорск",www.sberbank.ru,"'mon': 08:30-18:30, 'tue': 08:30-18:30, 'wed': 08:30-18:30, 'thu': 08:30-18:30, 'fri': 08:30-18:30, 'sat': 08:00-16:30, 'sun': выходной, ",44.035746,43.067875,"4,7",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",83,69,84,46,,,,,2024-08-05 15:23:35
3,sberbank/1131578165,СберБанк,"Украинская ул., 48А, Пятигорск",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",44.049755,43.040666,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",82,58,91,35,,,,,2024-08-05 15:23:35
4,sberbank/1126577006,СберБанк,"ул. Панагюриште, 4, Пятигорск",www.sberbank.ru,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-16:00, 'sun': выходной, ",44.054873,43.064686,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",81,74,100,84,,,,,2024-08-05 15:23:35
5,sberbank/1079994317,СберБанк,"ул. Орджоникидзе, 21, Пятигорск",www.sberbank.ru,"'mon': 08:30-18:00, 'tue': 08:30-18:00, 'wed': 08:30-18:00, 'thu': 08:30-18:00, 'fri': 08:30-18:00, 'sat': 08:30-16:00, 'sun': 09:00-15:00, ",44.060444,43.063187,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",84,65,88,35,33,,75,92,2024-08-05 15:23:35
6,sberbank/1027922461,СберБанк,"ул. Бунимовича, 13, Пятигорск",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",44.030198,43.071002,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",85,47,,67,,,,,2024-08-05 15:23:35
7,sberbank/240381619760,СберБанк,"ул. Акопянца, 11, Пятигорск",www.sberbank.com,"'mon': 08:30-20:00, 'tue': 08:30-20:00, 'wed': 08:30-20:00, 'thu': 08:30-20:00, 'fri': 08:30-20:00, 'sat': 08:30-16:30, 'sun': выходной, ",44.042776,43.064480,"4,3",['8 (800) 555-55-50Показать телефон'],['https://vk.com/sberbank'],,,,,,,,,2024-08-05 15:23:35
8,sberbank/1016884084,СберБанк,"ул. Ленина, 30, посёлок Горячеводский",www.sberbank.ru,"'mon': 08:00-16:30, 'tue': 08:00-16:30, 'wed': 08:00-16:30, 'thu': 08:00-16:30, 'fri': 08:00-16:30, 'sat': выходной, 'sun': выходной, ",44.029776,43.100440,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",82,46,,,,,,,2024-08-05 15:23:35
9,sberbank/1034187432,СберБанк,"просп. Калинина, 5Б, Пятигорск",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-16:45, 'sat': выходной, 'sun': выходной, ",44.056700,43.068163,"4,2",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,,2024-08-05 15:23:35
10,sberbank/1114316640,СберБанк,"Подстанционная ул., 17, Пятигорск",www.sberbank.ru,"'mon': 09:00-15:00, 'tue': 09:00-15:00, 'wed': 09:00-15:00, 'thu': выходной, 'fri': 09:00-15:00, 'sat': выходной, 'sun': выходной, ",44.074720,43.089723,"3,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,,2024-08-05 15:23:35
11,sberbank/190158685498,СберБанк,"ул. Ленина, 25, село Винсады",www.sberbank.com,"'mon': выходной, 'tue': 08:00-16:00, 'wed': 08:00-16:00, 'thu': 08:00-16:00, 'fri': 08:00-16:00, 'sat': 08:00-12:30, 'sun': выходной, ",44.081098,42.962953,"2,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,,2024-08-05 15:23:35
