,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Кредит,Расположение,Ипотека,Банкомат,График работы,load_time
0,sberbank/1192154456,СберБанк,"Крестовоздвиженская площадь, 1, Тула",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-15:30, 'sun': выходной, ",54.195768,37.617047,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",69,50,44,87,41,58,,2024-07-29 20:34:35
1,sberbank/1019658610,СберБанк,"просп. Ленина, 77, Тула",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-15:00, 'sun': выходной, ",54.179898,37.603900,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",77,56,,95,,70,,2024-07-29 20:34:35
2,sberbank/1006356774,СберБанк,"ул. Кауля, 20, Тула",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-15:00, 'sun': выходной, ",54.178686,37.631002,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/bankdruzey']",89,75,,94,,39,,2024-07-29 20:34:35
3,sberbank/184579059421,СберБанк,"ул. Демонстрации, 2, Тула",www.sberbank.ru,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",54.193597,37.610925,"4,3",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",71,83,,,,,,2024-07-29 20:34:35
4,sberbank/155326452865,СберБанк,"просп. Ленина, 113Б, Тула",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-16:00, 'sun': выходной, ",54.162279,37.588107,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",79,60,,90,,59,,2024-07-29 20:34:35
5,sberbank/1182500275,СберБанк,"Красноармейский просп., 9, Тула",www.sberbank.com,"'mon': 10:00-19:00, 'tue': 10:00-19:00, 'wed': 10:00-19:00, 'thu': 10:00-19:00, 'fri': 10:00-19:00, 'sat': 10:00-15:00, 'sun': выходной, ",54.196414,37.603810,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",82,67,,,,,,2024-07-29 20:34:35
6,sberbank/93804078810,СберБанк,"ул. Коминтерна, 31, Тула",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 10:00-16:00, 'sun': выходной, ",54.200554,37.594225,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",79,64,,92,,57,,2024-07-29 20:34:35
7,sberbank/1239132835,СберБанк,"просп. Ленина, 112, Тула",www.sberbank.com,"'mon': 09:30-19:00, 'tue': 09:30-19:00, 'wed': выходной, 'thu': выходной, 'fri': 09:30-19:00, 'sat': 09:30-16:00, 'sun': выходной, ",54.155483,37.584191,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",81,68,,93,,67,,2024-07-29 20:34:35
8,sberbank/1041369194,СберБанк,"ул. Фрунзе, 12, Тула",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-15:00, 'sun': выходной, ",54.193739,37.590381,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",81,47,,93,,18,,2024-07-29 20:34:35
9,sberbank/1022357743,СберБанк,"Оружейная ул., 26, Тула",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': выходной, 'sun': выходной, ",54.168483,37.581703,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",82,75,,,,57,,2024-07-29 20:34:35
