,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Банкомат,Время ожидания,Расположение,Ремонт,График работы,load_time
0,sberbank/1145373091,СберБанк,"8, микрорайон Южный, Котельники",www.sberbank.com,"'mon': 10:00-19:00, 'tue': 10:00-19:00, 'wed': 10:00-19:00, 'thu': 10:00-19:00, 'fri': 10:00-19:00, 'sat': выходной, 'sun': выходной, ",55.646747,37.860720,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",63,29,48,,,,2024-07-28 23:48:59
1,sberbank/1644852143,Сбербанк России,"Кустанайская ул., 6, Москва",www.sberbank.com,"'mon': 09:30-19:30, 'tue': 09:30-19:30, 'wed': 09:30-19:30, 'thu': 09:30-19:30, 'fri': 09:30-19:30, 'sat': 10:00-17:00, 'sun': 10:00-16:00, ",55.619574,37.752158,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",80,83,55,89,90,,2024-07-28 23:48:59
2,sberbank/44573640252,СберБанк,"Лесная ул., 5, Дзержинский",www.sberbank.com,"'mon': 09:00-20:00, 'tue': 09:00-20:00, 'wed': 09:00-20:00, 'thu': 09:00-20:00, 'fri': 09:00-20:00, 'sat': 10:00-15:00, 'sun': выходной, ",55.630813,37.855500,"4,7",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",76,87,57,100,,46,2024-07-28 23:48:59
3,sberbank/1335729456,СберБанк,"Братиславская ул., 16, корп. 1, Москва",,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",55.659358,37.757449,"4,5",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",75,53,57,86,,69,2024-07-28 23:48:59
4,sberbank/1064888404,СберБанк,"Луговой пр., 12, корп. 1, Москва",www.sberbank.com,"'mon': 10:00-19:00, 'tue': 10:00-19:00, 'wed': 10:00-19:00, 'thu': 10:00-19:00, 'fri': 10:00-19:00, 'sat': выходной, 'sun': выходной, ",55.646361,37.752454,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",77,46,71,100,,18,2024-07-28 23:48:59
5,sberbank/1110487738,СберБанк,"Октябрьский просп., 304, Люберцы",,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",55.668016,37.906839,"4,7",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",77,61,64,97,,88,2024-07-28 23:48:59
6,sberbank/40158012604,СберБанк,"Спортивная ул., 1, Лыткарино",www.sberbank.com,"'mon': 09:00-19:30, 'tue': 09:00-19:30, 'wed': 09:00-19:30, 'thu': 09:00-19:30, 'fri': 09:00-19:30, 'sat': 09:00-16:30, 'sun': выходной, ",55.581419,37.910809,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",66,,63,,,,2024-07-28 23:48:59
7,sberbank/1059138854,СберБанк,"10, 5-й микрорайон, 1-й квартал, Лыткарино",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",55.586298,37.898027,"4,2",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",82,13,67,91,,13,2024-07-28 23:48:59
8,sberbank/1153501877,СберБанк,"15, стр. 2, Юго-Восточный административный округ, район Капотня, 5-й квартал, Москва",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': выходной, 'sun': выходной, ",55.633486,37.798978,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",79,49,39,89,,,2024-07-28 23:48:59
9,sberbank/1194899803,СберБанк,"2-й Покровский пр., 2, Котельники",www.sberbank.com,"'mon': 09:00-20:00, 'tue': 09:00-20:00, 'wed': 09:00-20:00, 'thu': 09:00-20:00, 'fri': 09:00-20:00, 'sat': 10:00-14:00, 'sun': выходной, ",55.659251,37.855941,"4,6",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",75,26,55,81,,55,2024-07-28 23:48:59
10,sberbank/1010704601,СберБанк,"29А, посёлок Развилка",www.sberbank.com,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': выходной, 'sun': выходной, ",55.589030,37.754359,"4,2",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",73,10,42,,,10,2024-07-28 23:48:59
11,sberbank/1122211559,СберБанк,"ул. Борисовские Пруды, 26, Москва",www.sberbank.com,"'mon': 08:30-19:30, 'tue': 08:30-19:30, 'wed': 08:30-19:30, 'thu': 08:30-19:30, 'fri': 08:30-19:30, 'sat': 09:00-16:00, 'sun': 10:00-15:00, ",55.639964,37.758212,"4,7",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",78,87,64,90,80,60,2024-07-28 23:48:59
