,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Ипотека,Кредит,График работы,Расположение,Банкомат,load_time
0,sberbank/1018912651,СберБанк,"ул. Малыгина, 51/2, Тюмень",,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",57.142179,65.552653,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",78,69,62,63,18,82,,2024-08-05 20:56:07
1,sberbank/1041111351,СберБанк,"ул. Мориса Тореза, 1, Тюмень",www.sberbank.ru,"'mon': 09:30-19:00, 'tue': 09:30-19:00, 'wed': 09:30-19:00, 'thu': 09:30-19:00, 'fri': 09:30-19:00, 'sat': 09:30-17:00, 'sun': выходной, ",57.147072,65.550219,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",89,74,,,,93,,2024-08-05 20:56:07
2,sberbank/1099453960,СберБанк,"ул. Червишевский Тракт, 19, Тюмень",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:30-15:00, 'sun': выходной, ",57.128317,65.523844,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",91,69,,,,100,68,2024-08-05 20:56:07
3,sberbank/1093006501,СберБанк,"ул. Мельникайте, 135Б, Тюмень",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",57.122302,65.550507,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",85,69,,,,89,67,2024-08-05 20:56:07
4,sberbank/1016759554,СберБанк,"ул. Республики, 146, Тюмень",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 10:00-14:00, 'sun': выходной, ",57.136636,65.571060,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",79,73,,,,,,2024-08-05 20:56:07
5,sberbank/21958491871,СберБанк,"ул. Кирова, 35, Тюмень",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",57.156822,65.531228,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",92,67,70,70,,,,2024-08-05 20:56:07
6,sberbank/1621719533,СберБанк,"ул. Пермякова, 46А, Тюмень",www.sberbank.ru,"'mon': 10:00-19:00, 'tue': 10:00-19:00, 'wed': 10:00-19:00, 'thu': 10:00-19:00, 'fri': 10:00-19:00, 'sat': 10:00-14:00, 'sun': выходной, ",57.120573,65.579980,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",88,71,74,67,,79,,2024-08-05 20:56:07
7,sberbank/1078871849,СберБанк,"ул. Московский Тракт, 118, Тюмень",www.sberbank.ru,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': 10:00-16:30, 'sun': выходной, ",57.135044,65.493805,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",86,46,,,,92,31,2024-08-05 20:56:07
8,sberbank/1177383777,СберБанк,"Рижская ул., 61, Тюмень",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-16:45, 'sat': выходной, 'sun': выходной, ",57.134790,65.583888,"4,9",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",87,74,,,,,,2024-08-05 20:56:07
9,sberbank/1585824733,СберБанк,"ул. Газовиков, 43, Тюмень",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-15:00, 'sun': выходной, ",57.173440,65.560685,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",81,54,,,,94,83,2024-08-05 20:56:07
