,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Банкомат,Расположение,График работы,Ремонт,Кредит,Ипотека,load_time
0,sberbank/61936429444,СберБанк,"Привокзальная площадь, 1А, корп. 1, Мурино",www.sberbank.com,"'mon': 10:00-20:00, 'tue': 10:00-20:00, 'wed': 10:00-20:00, 'thu': 10:00-20:00, 'fri': 10:00-20:00, 'sat': 10:30-16:30, 'sun': выходной, ",60.050723,30.446757,"4,5",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",79,59,69,96,53,,,,2024-07-30 09:24:03
1,sberbank/1263754551,СберБанк,"Гражданский просп., 92, корп. 1, Санкт-Петербург",www.sberbank.com,"'mon': 10:00-19:00, 'tue': 10:00-19:00, 'wed': 10:00-19:00, 'thu': 10:00-19:00, 'fri': 10:00-19:00, 'sat': выходной, 'sun': выходной, ",60.019131,30.402744,"4,2",['8 (800) 555-55-50Показать телефон'],['https://vk.com/sberbank'],63,27,7,,0,,,,2024-07-30 09:24:03
2,sberbank/1073820680,СберБанк,"Гражданский просп., 117, корп. 1, Санкт-Петербург",www.sberbank.com,"'mon': 09:45-20:00, 'tue': 09:45-20:00, 'wed': 10:00-20:00, 'thu': 10:00-20:00, 'fri': 10:00-20:00, 'sat': 10:00-18:30, 'sun': выходной, ",60.032578,30.418545,"4,4",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",76,50,61,100,83,,,,2024-07-30 09:24:03
3,sberbank/1070716259,СберБанк,"просп. Науки, 41, Санкт-Петербург",www.sberbank.com,"'mon': 10:00-19:00, 'tue': 10:00-19:00, 'wed': 10:00-19:00, 'thu': 10:00-19:00, 'fri': 10:00-19:00, 'sat': 11:00-16:30, 'sun': выходной, ",60.008707,30.412652,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",76,64,30,,,,,,2024-07-30 09:24:03
4,sberbank/1773591450,СберБанк,"просп. Просвещения, 87, корп. 1, Санкт-Петербург",www.sberbank.com,"'mon': 09:45-20:00, 'tue': 09:45-20:00, 'wed': 10:00-20:00, 'thu': 10:00-20:00, 'fri': 10:00-20:00, 'sat': 10:00-18:00, 'sun': 11:00-17:00, ",60.036083,30.415168,"4,4",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",67,49,61,100,,,,,2024-07-30 09:24:03
5,sberbank/1012565699,СберБанк,"просп. Науки, 30, корп. 1, Санкт-Петербург",www.sberbank.com,"'mon': 10:00-19:30, 'tue': 10:00-19:30, 'wed': 10:00-19:30, 'thu': 10:00-19:30, 'fri': 10:00-19:30, 'sat': 10:00-17:00, 'sun': выходной, ",60.008379,30.418115,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",82,59,27,90,,90,,,2024-07-30 09:24:03
6,sberbank/1642123270,СберБанк,"просп. Просвещения, 53, корп. 1, Санкт-Петербург",www.sberbank.com,"'mon': 10:00-19:00, 'tue': 10:00-19:00, 'wed': 10:00-19:00, 'thu': 10:00-19:00, 'fri': 10:00-19:00, 'sat': 10:00-19:00, 'sun': выходной, ",60.042901,30.380915,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",73,45,60,89,,,,,2024-07-30 09:24:03
7,sberbank/1088654887,СберБанк,"Железнодорожная ул., 24, городской посёлок Кузьмоловский",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",60.111796,30.489486,"4,1",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",70,42,9,,11,,,,2024-07-30 09:24:03
8,sberbank/124264199403,СберБанк,"ул. Бутлерова, 40, Санкт-Петербург",www.sberbank.com,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",60.010115,30.404325,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",80,65,83,71,,,,,2024-07-30 09:24:03
9,sberbank/1063861651,СберБанк,"Шоссейная ул., 12, посёлок Бугры",www.sberbank.com,"'mon': выходной, 'tue': 09:00-17:15, 'wed': 09:00-17:15, 'thu': 09:00-17:15, 'fri': 09:00-17:15, 'sat': 10:00-15:15, 'sun': выходной, ",60.068875,30.393069,"3,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",92,38,0,,0,,,,2024-07-30 09:24:03
10,sberbank/110265406586,СберБанк,"Муринская дорога, 53, Санкт-Петербург",www.sberbank.com,"'mon': 09:45-19:30, 'tue': 09:45-19:30, 'wed': 10:00-19:30, 'thu': 10:00-19:30, 'fri': 10:00-19:30, 'sat': 11:00-17:00, 'sun': выходной, ",60.032101,30.458996,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",86,61,68,96,,,,,2024-07-30 09:24:03
11,sberbank/186139030206,СберБанк,"просп. Авиаторов Балтики, 7, Мурино",www.sberbank.com,"'mon': 10:00-20:00, 'tue': 10:00-20:00, 'wed': 10:00-20:00, 'thu': 10:00-20:00, 'fri': 10:00-20:00, 'sat': 10:30-17:00, 'sun': 11:00-16:00, ",60.052326,30.438587,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",70,60,70,90,55,,47,82,2024-07-30 09:24:03
12,sberbank/1087111979,СберБанк,"Гражданский просп., 105, корп. 1, Санкт-Петербург",www.sberbank.com,"'mon': 10:00-19:00, 'tue': 10:00-19:00, 'wed': 10:00-19:00, 'thu': 10:00-19:00, 'fri': 10:00-19:00, 'sat': выходной, 'sun': выходной, ",60.026991,30.412940,"4,4",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",87,77,44,93,,,,,2024-07-30 09:24:03
13,sberbank/1022285461,СберБанк,"просп. Просвещения, 67, Санкт-Петербург",www.sberbank.com,"'mon': 09:45-18:30, 'tue': 09:45-18:30, 'wed': 10:00-18:30, 'thu': 10:00-18:30, 'fri': 10:00-18:30, 'sat': 10:00-18:30, 'sun': выходной, ",60.040398,30.393294,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",84,66,71,93,,,,,2024-07-30 09:24:03
14,sberbank/1125605053,СберБанк,"Озёрная ул., 4, д. Новое Девяткино",www.sberbank.com,"'mon': 10:00-19:30, 'tue': 10:00-19:30, 'wed': 10:00-19:30, 'thu': 10:00-19:30, 'fri': 10:00-19:30, 'sat': 10:00-16:00, 'sun': выходной, ",60.056787,30.476981,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",92,66,71,80,,,,,2024-07-30 09:24:03
15,sberbank/47641268692,СберБанк,"ул. Шувалова, 22, корп. 1, Мурино",www.sberbank.com,"'mon': 10:00-20:00, 'tue': 10:00-20:00, 'wed': 10:00-20:00, 'thu': 10:00-20:00, 'fri': 10:00-20:00, 'sat': 10:00-19:00, 'sun': 11:00-19:00, ",60.060016,30.431850,"4,7",['8 (800) 555-55-50Показать телефон'],['https://vk.com/sberbank'],72,47,11,87,17,,,,2024-07-30 09:24:03
16,sberbank/1105589432,СберБанк,"просп. Просвещения, 78, Санкт-Петербург",www.sberbank.com,"'mon': 10:00-21:00, 'tue': 10:00-21:00, 'wed': 10:00-21:00, 'thu': 10:00-21:00, 'fri': 10:00-21:00, 'sat': 10:00-21:00, 'sun': 10:00-21:00, ",60.039270,30.403710,"4,3",['8 (800) 555-55-50Показать телефон'],['https://vk.com/sberbank'],69,44,26,,38,35,,,2024-07-30 09:24:03
