,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Банкомат,Время ожидания,График работы,Персонал,Расположение,Кредит,Ипотека,Ремонт,load_time
0,sberbank/1353116747,СберБанк,"ул. Геологов, 12, микрорайон Белые Столбы, Домодедово",,"'mon': 08:30-17:00, 'tue': 08:30-17:00, 'wed': 08:30-17:00, 'thu': 08:30-17:00, 'fri': 08:30-17:00, 'sat': выходной, 'sun': выходной, ",55.329155,37.846113,"2,9",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",8,14,0,,,,,,2024-08-05 00:13:21
1,sberbank/212851331192,СберБанк,"Каширское ш., 60, Домодедово",,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-17:00, 'sun': выходной, ",55.433486,37.766055,"4,7",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sber/', 'https://vk.com/sberbank']",57,58,38,79,86,57,89,,2024-08-05 00:13:21
2,sberbank/1186147501,СберБанк,"ул. Заря, 18, село Растуново",,"'mon': выходной, 'tue': 08:30-17:15, 'wed': 08:30-17:15, 'thu': 08:30-17:15, 'fri': 08:30-17:15, 'sat': 08:30-14:00, 'sun': выходной, ",55.275924,37.839654,"4,0",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",27,21,0,78,,,,,2024-08-05 00:13:21
3,sberbank/1021679213,СберБанк,"просп. Академика Туполева, 2Б, микрорайон Авиационный, Домодедово",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 10:00-16:00, 'sun': выходной, ",55.415033,37.833348,"4,6",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",38,56,60,71,94,,,,2024-08-05 00:13:21
4,sberbank/1052304269,СберБанк,"Рабочая ул., 49, Домодедово",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",55.424894,37.765247,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",13,46,17,78,76,,,,2024-08-05 00:13:21
5,sberbank/1159262600,СберБанк,"Московская область, городской округ Домодедово, аэропорт Домодедово имени М.В. Ломоносова, 1",,"'mon': 00:15-23:30, 'tue': 00:15-23:30, 'wed': 00:15-23:30, 'thu': 00:15-23:30, 'fri': 00:15-23:30, 'sat': 00:15-23:30, 'sun': 00:15-23:30, ",55.414077,37.899186,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",45,40,,68,,,,,2024-08-05 00:13:21
6,sberbank/65806523877,СберБанк,"Московская область, городской округ Чехов, городок Чехов-7, улица Победы, 11",,"'mon': 14:00-17:15, 'tue': 08:30-17:15, 'wed': 08:30-17:15, 'thu': 08:30-17:15, 'fri': 08:30-17:15, 'sat': выходной, 'sun': выходной, ",55.270195,37.890858,"3,9",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",5,25,,90,,,,,2024-08-05 00:13:21
7,sberbank/1157435327,СберБанк,"Советская ул., 1, микрорайон Центральный, Домодедово",,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-16:00, 'sun': выходной, ",55.439283,37.770744,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",55,59,,79,92,,,,2024-08-05 00:13:21
8,sberbank/108683287405,СберБанк,"ул. Гагарина, 45, микрорайон Северный, Домодедово",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-14:00, 'sun': выходной, ",55.450884,37.743391,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sber']",52,56,,76,96,,,69,2024-08-05 00:13:21
9,sberbank/131760340838,СберБанк,"ул. Корнеева, 8, Домодедово",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",55.435917,37.772549,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",45,52,,69,,,,,2024-08-05 00:13:21
