,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Банкомат,График работы,Расположение,load_time
0,sberbank/1554929408,СберБанк,"Воскресенская ул., 99, Архангельск",,"'mon': 09:30-19:00, 'tue': 09:30-19:00, 'wed': 09:30-19:00, 'thu': 09:30-19:00, 'fri': 09:30-19:00, 'sat': 10:00-16:00, 'sun': выходной, ",64.548474,40.559187,"4,7",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",87,74,91,83,100,2024-08-04 18:50:27
1,sberbank/1038840627,СберБанк,"ул. Гагарина, 11, Архангельск",,"'mon': 09:45-18:00, 'tue': 09:45-18:00, 'wed': 09:45-18:00, 'thu': 09:45-18:00, 'fri': 09:45-18:00, 'sat': выходной, 'sun': выходной, ",64.563989,40.539675,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",89,69,62,42,,2024-08-04 18:50:27
2,sberbank/1013321874,СберБанк,"ул. Гайдара, 12, Архангельск",,"'mon': 10:00-18:30, 'tue': 10:00-18:30, 'wed': 10:00-18:30, 'thu': 10:00-18:30, 'fri': 10:00-18:30, 'sat': 10:00-14:30, 'sun': выходной, ",64.552733,40.523829,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",100,84,90,,,2024-08-04 18:50:27
3,sberbank/1013292260,СберБанк,"просп. Ломоносова, 137, Архангельск",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:30-15:00, 'sun': выходной, ",64.539130,40.524359,"4,4",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",80,63,,,,2024-08-04 18:50:27
4,sberbank/1052041391,СберБанк,"ул. Терёхина, 9, исторический район Соломбала, Архангельск",,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': 09:00-14:00, 'sun': выходной, ",64.578221,40.512276,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sber']",71,64,82,,,2024-08-04 18:50:27
5,sberbank/39352206946,СберБанк,"просп. Обводный канал, 9, корп. 3, Архангельск",www.sberbank.com,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': 09:30-18:30, 'sun': выходной, ",64.536447,40.558217,"4,4",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://t.me/Sber_Business_Live_bot', 'https://vk.com/careersber']",83,65,,,,2024-08-04 18:50:27
6,sberbank/119588863656,СберБанк,"наб. Северной Двины, 29, Архангельск",,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 10:00-15:00, 'sun': выходной, ",64.528801,40.542388,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",75,73,,,,2024-08-04 18:50:27
7,sberbank/1066425657,СберБанк,"ул. Попова, 14, Архангельск",,"'mon': 09:30-18:00, 'tue': 09:30-18:00, 'wed': 09:30-18:00, 'thu': 09:30-18:00, 'fri': 09:30-18:00, 'sat': 10:00-15:00, 'sun': выходной, ",64.546712,40.519526,"4,2",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",60,54,,,,2024-08-04 18:50:27
8,sberbank/1009616341,СберБанк,"ул. Прокопия Галушина, 14, Архангельск",,"'mon': 10:00-18:30, 'tue': 10:00-18:30, 'wed': 10:00-18:30, 'thu': 10:00-18:30, 'fri': 10:00-18:30, 'sat': 10:00-15:00, 'sun': выходной, ",64.528793,40.617425,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",86,57,85,,,2024-08-04 18:50:27
9,sberbank/1074505299,СберБанк,"ул. 40-летия Великой Победы, 5, корп. 1, микрорайон Первых Пятилеток, Архангельск",,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': 10:00-15:30, 'sun': выходной, ",64.600698,40.597401,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",93,75,75,,82,2024-08-04 18:50:27
