,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Банкомат,Расположение,Ипотека,График работы,load_time
0,sberbank/108619095790,СберБанк,"Эгерский бул., 21, Чебоксары",www.sberbank.com,"'mon': 08:30-18:30, 'tue': 08:30-18:30, 'wed': 08:30-18:30, 'thu': 08:30-18:30, 'fri': 08:30-18:30, 'sat': 09:30-14:30, 'sun': выходной, ",56.105345,47.279169,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sber']",81,78,,,,,2024-07-29 22:16:44
1,sberbank/1104793613,СберБанк,"просп. Тракторостроителей, 1/34, Чебоксары",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-15:00, 'sun': выходной, ",56.098778,47.285359,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/s/sberbank', 'https://vk.com/sber']",79,61,73,,,,2024-07-29 22:16:44
2,sberbank/1037145967,СберБанк,"просп. 9-й Пятилетки, 18, корп. 2, Чебоксары",www.sberbank.com,"'mon': 08:30-19:00, 'tue': 08:30-19:00, 'wed': 08:30-19:00, 'thu': 08:30-19:00, 'fri': 08:30-19:00, 'sat': 08:30-15:00, 'sun': выходной, ",56.096428,47.279259,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",85,68,73,94,,,2024-07-29 22:16:44
3,sberbank/1052850664,СберБанк,"просп. Ленина, 28, Чебоксары",www.sberbank.com,"'mon': 08:30-19:00, 'tue': 08:30-19:00, 'wed': 08:30-19:00, 'thu': 08:30-19:00, 'fri': 08:30-19:00, 'sat': выходной, 'sun': 08:30-16:30, ",56.124231,47.251914,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",81,78,68,100,,,2024-07-29 22:16:44
4,sberbank/1122939940,СберБанк,"ул. Космонавта Андрияна Григорьевича Николаева, 3, Чебоксары",www.sberbank.com,"'mon': 08:30-19:00, 'tue': 08:30-19:00, 'wed': 08:30-19:00, 'thu': 08:30-19:00, 'fri': 08:30-19:00, 'sat': 09:00-15:00, 'sun': выходной, ",56.118199,47.256576,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",86,79,52,93,,,2024-07-29 22:16:44
5,sberbank/1030260812,СберБанк,"просп. Тракторостроителей, 71, Чебоксары",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-15:30, 'sun': выходной, ",56.105827,47.319117,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/s/sberbank', 'https://vk.com/sber']",83,64,74,100,,,2024-07-29 22:16:44
6,sberbank/133003451955,СберБанк,"просп. Тракторостроителей, 35А, Чебоксары",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",56.101313,47.300961,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",,,,,,,2024-07-29 22:16:44
7,sberbank/1012633692,СберБанк,"ул. Карла Маркса, 52, корп. 2, Чебоксары",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-14:00, 'sun': выходной, ",56.133377,47.244934,"4,7",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",76,61,67,86,64,,2024-07-29 22:16:44
8,sberbank/1074283868,СберБанк,"ул. Юрия Гагарина, 27, Чебоксары",www.sberbank.com,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",56.128927,47.267868,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/s/sberbank', 'https://vk.com/sberbank']",86,55,70,100,,,2024-07-29 22:16:44
9,sberbank/1030644248,СберБанк,"ул. 50 лет Октября, 17А, Чебоксары",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': выходной, 'sun': выходной, ",56.126714,47.277192,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",83,65,67,,,,2024-07-29 22:16:44
10,sberbank/1126998375,СберБанк,"ул. Энтузиастов, 23, Чебоксары",www.sberbank.com,"'mon': 08:30-19:00, 'tue': 08:30-19:00, 'wed': 08:30-19:00, 'thu': 08:30-19:00, 'fri': 08:30-19:00, 'sat': 09:00-15:00, 'sun': выходной, ",56.119429,47.186921,"4,8",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/s/sberbank', 'https://vk.com/sber']",86,48,50,92,,,2024-07-29 22:16:44
11,sberbank/1128644764,СберБанк,"ул. Богдана Хмельницкого, 109, Чебоксары",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",56.112724,47.220383,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/s/sberbank', 'https://vk.com/sberbank']",79,78,53,92,,,2024-07-29 22:16:44
12,sberbank/136836786029,СберБанк,"ул. Мате Залка, 11, Чебоксары",www.sberbank.com,"'mon': 08:30-19:00, 'tue': 08:30-19:00, 'wed': 08:30-19:00, 'thu': 08:30-19:00, 'fri': 08:30-19:00, 'sat': 09:00-15:00, 'sun': выходной, ",56.117698,47.179833,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",86,57,77,82,,,2024-07-29 22:16:44
13,sberbank/4501365959,СберБанк,"Московский просп., 5, Чебоксары",www.sberbank.com,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",56.145741,47.232519,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank', 'https://www.youtube.com/channel/UCM4aBRnEiNCf9fQFl2qx2Bg']",88,79,62,94,,,2024-07-29 22:16:44
14,sberbank/33819802542,СберБанк,"ул. Карла Маркса, 22, Чебоксары",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",56.143283,47.250477,"4,4",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",82,79,83,85,,,2024-07-29 22:16:44
15,sberbank/1086038000,СберБанк,"Московский просп., 40, Чебоксары",www.sberbank.com,"'mon': 08:30-18:30, 'tue': 08:30-18:30, 'wed': 08:30-18:30, 'thu': 08:30-18:30, 'fri': 08:30-18:30, 'sat': 09:00-15:00, 'sun': выходной, ",56.143559,47.204447,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",80,75,,75,,,2024-07-29 22:16:44
16,sberbank/1107948852,СберБанк,"ул. Болгарстроя, 9/11, микрорайон Альгешево, Чебоксары",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': выходной, 'sun': выходной, ",56.069831,47.281415,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/s/sberbank', 'https://vk.com/sberbank']",79,25,29,100,,,2024-07-29 22:16:44
17,sberbank/1044404654,СберБанк,"ул. Гузовского, 17, Чебоксары",www.sberbank.com,"'mon': 08:00-18:00, 'tue': 08:00-18:00, 'wed': 08:00-18:00, 'thu': 08:00-18:00, 'fri': 08:00-18:00, 'sat': 08:00-16:00, 'sun': выходной, ",56.145791,47.185214,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",88,58,37,100,,,2024-07-29 22:16:44
18,sberbank/1097936091,СберБанк,"ул. Спиридона Михайлова, 1, Чебоксары",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",56.144888,47.216026,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",83,30,36,,,,2024-07-29 22:16:44
19,sberbank/1099489314,СберБанк,"Университетская ул., 20, корп. 1, Чебоксары",www.sberbank.com,"'mon': 08:00-18:30, 'tue': 08:00-18:30, 'wed': 08:00-18:30, 'thu': 08:00-18:30, 'fri': 08:00-18:30, 'sat': 08:00-14:30, 'sun': выходной, ",56.144472,47.167463,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",80,58,73,100,,,2024-07-29 22:16:44
20,sberbank/1029600448,СберБанк,"ул. Мичмана Павлова, 39, Чебоксары",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",56.135133,47.162469,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",81,57,69,90,,,2024-07-29 22:16:44
21,sberbank/1088325106,СберБанк,"ул. Винокурова, 20, Новочебоксарск",www.sberbank.com,"'mon': 08:30-18:30, 'tue': 08:30-18:30, 'wed': 08:30-18:30, 'thu': 08:30-18:30, 'fri': 08:30-18:30, 'sat': 08:30-15:30, 'sun': выходной, ",56.119625,47.492753,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/s/sberbank', 'https://vk.com/sberbank']",80,92,78,100,,100,2024-07-29 22:16:44
22,sberbank/1155818396,СберБанк,"Советская ул., 15, Новочебоксарск",www.sberbank.com,"'mon': 08:00-18:30, 'tue': 08:00-18:30, 'wed': 08:00-18:30, 'thu': 08:00-18:30, 'fri': 08:00-18:30, 'sat': 08:30-14:00, 'sun': выходной, ",56.116077,47.481497,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",84,80,,,,,2024-07-29 22:16:44
23,sberbank/220085001687,СберБанк,"Центральная ул., 42, поселок Синьялы",www.sberbank.ru,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",56.076930,47.365928,"3,0",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,2024-07-29 22:16:44
