,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Банкомат,Расположение,Ремонт,Кредит,График работы,Ипотека,load_time
0,sberbank/1093251025,СберБанк,"Ленинский просп., 174П, Воронеж",www.sberbank.com,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': 09:30-15:00, 'sun': выходной, ",51.697198,39.272674,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",71,55,77,,,,,,2024-08-04 22:34:51
1,sberbank/135006317161,СберБанк,"Кольцовская ул., 46, Воронеж",,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:30-16:30, 'sun': 10:00-14:00, ",51.669507,39.192678,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sber_students_bot', 'https://vk.com/sber']",67,52,48,77,93,43,50,69,2024-08-04 22:34:51
2,sberbank/105979065488,СберБанк,"Ленинский просп., 39, Воронеж",,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-15:00, 'sun': выходной, ",51.645129,39.237020,"4,7",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",82,67,85,98,,45,75,76,2024-08-04 22:34:51
3,sberbank/107329212376,СберБанк,"ул. Остужева, 5А, Воронеж",,"'mon': 08:30-17:30, 'tue': 08:30-17:30, 'wed': 08:30-17:30, 'thu': 08:30-17:30, 'fri': 08:30-17:30, 'sat': 08:30-13:00, 'sun': выходной, ",51.688115,39.257851,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",75,62,59,94,,,,,2024-08-04 22:34:51
4,sberbank/75415779240,СберБанк,"ул. Ленина, 272, село Новая Усмань",,"'mon': 08:30-16:30, 'tue': 08:30-16:30, 'wed': 08:30-16:30, 'thu': 08:30-16:30, 'fri': 08:30-16:30, 'sat': 08:30-14:00, 'sun': выходной, ",51.643452,39.411957,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",69,72,50,,,,,,2024-08-04 22:34:51
5,sberbank/29843959867,СберБанк,"Московский просп., 129/1, Воронеж",,"'mon': 10:00-19:00, 'tue': 10:00-19:00, 'wed': 10:00-19:00, 'thu': 10:00-19:00, 'fri': 10:00-19:00, 'sat': 10:00-17:00, 'sun': выходной, ",51.717747,39.177532,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",78,53,60,96,,,,,2024-08-04 22:34:51
6,sberbank/1143148390,СберБанк,"Ленинский просп., 117, Воронеж",,"'mon': 08:30-18:30, 'tue': 08:30-18:30, 'wed': 08:30-18:30, 'thu': 08:30-18:30, 'fri': 08:30-18:30, 'sat': 09:30-14:30, 'sun': выходной, ",51.672193,39.251715,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sber', 'https://vk.com/sber']",79,59,86,93,,,,,2024-08-04 22:34:51
7,sberbank/1107031985,СберБанк,"ул. Богдана Хмельницкого, 40, Воронеж",,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-13:00, 'sun': выходной, ",51.719847,39.271263,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",81,73,67,95,,,73,,2024-08-04 22:34:51
8,sberbank/60394762980,СберБанк,"Советская ул., 32В, посёлок Отрадное",,"'mon': 08:35-16:00, 'tue': 08:35-16:00, 'wed': 08:35-16:00, 'thu': 08:35-16:00, 'fri': 08:35-16:00, 'sat': выходной, 'sun': выходной, ",51.668976,39.344610,"2,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,,2024-08-04 22:34:51
9,sberbank/21634042236,СберБанк,"просп. Революции, 35, Воронеж",www.sberbank.com,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",51.667668,39.207316,"4,6",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sber', 'https://t.me/sberbank', 'https://vk.com/sber']",78,80,87,100,,,,,2024-08-04 22:34:51
