,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Кредит,Ипотека,Расположение,Банкомат,График работы,load_time
0,sberbank/1018156047,СберБанк,"ул. Кирова, 109, Ижевск",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:30-14:30, 'sun': выходной, ",56.860059,53.200728,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",80,60,70,85,100,77,,2024-07-29 02:00:06
1,sberbank/1074874800,СберБанк,"Пушкинская ул., 157, Ижевск",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-14:00, 'sun': выходной, ",56.834560,53.216809,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",78,65,,,88,75,45,2024-07-29 02:00:06
2,sberbank/1182937425,СберБанк,"ул. Ленина, 6, Ижевск",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",56.843186,53.205274,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",81,59,,,92,45,,2024-07-29 02:00:06
3,sberbank/81642739307,СберБанк,"Удмуртская ул., 231, Ижевск",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': выходной, 'sun': выходной, ",56.847120,53.225567,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",75,55,,,88,55,,2024-07-29 02:00:06
4,sberbank/1557083969,СберБанк,"Пушкинская ул., 281, Ижевск",,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",56.867341,53.207116,"4,4",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/bankdruzey']",72,48,,,,70,,2024-07-29 02:00:06
5,sberbank/1029094644,СберБанк,"Красноармейская ул., 138, Ижевск",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",56.842280,53.210151,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",88,60,,,,,,2024-07-29 02:00:06
6,sberbank/196726417550,СберБанк,"Школьная ул., 39, Ижевск",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 10:00-13:00, 'sun': выходной, ",56.875118,53.184146,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",87,66,,,92,80,64,2024-07-29 02:00:06
7,sberbank/105387985617,СберБанк,"ул. Кирова, 5, Ижевск",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': выходной, 'sun': выходной, ",56.860388,53.180606,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,2024-07-29 02:00:06
8,sberbank/1028321975,СберБанк,"Воткинское ш., 34, Ижевск",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-14:00, 'sun': выходной, ",56.885619,53.231900,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",82,58,,,100,,,2024-07-29 02:00:06
9,sberbank/94867694698,СберБанк,"ул. 9 Января, 215, Ижевск",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:30-14:00, 'sun': выходной, ",56.877406,53.256711,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",93,67,,,,93,,2024-07-29 02:00:06
