,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Расположение,Банкомат,График работы,Ипотека,load_time
0,sberbank/207045933913,СберБанк,"Балтийская ул., 39, Барнаул",,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-15:30, 'sun': выходной, ",53.334350,83.681420,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",87,77,93,69,92,,2024-08-04 19:34:17
1,sberbank/1004476506,СберБанк,"Красноармейский просп., 58А/1, Барнаул",,"'mon': 08:30-19:00, 'tue': 08:30-19:00, 'wed': 08:30-19:00, 'thu': 08:30-19:00, 'fri': 08:30-19:00, 'sat': 09:00-16:30, 'sun': 09:00-16:00, ",53.337360,83.775303,"4,5",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",86,63,100,,90,,2024-08-04 19:34:17
2,sberbank/1359565722,СберБанк,"ул. Попова, 73А, Барнаул",www.sberbank.ru,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",53.358747,83.675473,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",94,89,95,90,,71,2024-08-04 19:34:17
3,sberbank/1065082447,СберБанк,"ул. Малахова, 77, Барнаул",,"'mon': 08:30-18:30, 'tue': 08:30-18:30, 'wed': 08:30-18:30, 'thu': 08:30-18:30, 'fri': 08:30-18:30, 'sat': 09:30-15:00, 'sun': выходной, ",53.358664,83.702858,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",76,78,90,46,,,2024-08-04 19:34:17
4,sberbank/1191258427,СберБанк,"ул. Попова, 113, Барнаул",www.sberbank.ru,"'mon': 08:30-18:30, 'tue': 08:30-18:30, 'wed': 08:30-18:30, 'thu': 08:30-19:00, 'fri': 08:30-18:30, 'sat': 09:00-16:30, 'sun': выходной, ",53.341452,83.671547,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",81,81,100,70,,,2024-08-04 19:34:17
5,sberbank/11271438078,СберБанк,"Павловский тракт, 132Б, Барнаул",,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:30-14:30, 'sun': выходной, ",53.344145,83.682596,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",92,64,,,,,2024-08-04 19:34:17
6,sberbank/222599183179,СберБанк,"Павловский тракт, 297, Барнаул",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': выходной, 'sun': выходной, ",53.344973,83.656769,"4,8",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",97,81,,78,,,2024-08-04 19:34:17
7,sberbank/1099870541,СберБанк,"просп. Ленина, 96Е, Барнаул",,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-14:00, 'sun': выходной, ",53.359635,83.765073,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",74,82,,,,,2024-08-04 19:34:17
8,sberbank/191462962526,СберБанк,"ул. Георгиева, 14В, Барнаул",,"'mon': 08:30-18:30, 'tue': 08:30-18:30, 'wed': 08:30-18:30, 'thu': 08:30-18:30, 'fri': 08:30-18:30, 'sat': 09:00-14:30, 'sun': выходной, ",53.351161,83.682929,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",75,64,,50,,,2024-08-04 19:34:17
9,sberbank/208113580746,СберБанк,"ул. Малахова, 128, Барнаул",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-18:00, 'sun': выходной, ",53.343973,83.694679,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",100,82,,,,,2024-08-04 19:34:17
