,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Банкомат,Расположение,Кредит,График работы,Ипотека,load_time
0,sberbank/24147535270,СберБанк,"Школьная ул., 24, посёлок Стрелецкий",www.sberbank.com,"'mon': выходной, 'tue': 09:00-17:00, 'wed': 09:00-17:00, 'thu': 09:00-17:00, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",53.012710,35.974554,"4,0",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,2024-07-29 13:21:00
1,sberbank/1101565047,СберБанк,"Комсомольская ул., 66, Орёл",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-15:00, 'sun': выходной, ",52.954212,36.062409,"4,6",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",69,68,64,100,,,,2024-07-29 13:21:00
2,sberbank/1014088823,СберБанк,"Московская ул., 155, Орёл",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-14:00, 'sun': выходной, ",52.979828,36.104971,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",90,77,,94,,,,2024-07-29 13:21:00
3,sberbank/206304031067,СберБанк,"ул. Киреевского, 3, посёлок Биофабрика",www.sberbank.com,"'mon': 09:00-15:45, 'tue': 09:00-15:45, 'wed': 09:00-15:45, 'thu': 09:00-15:45, 'fri': 09:00-15:45, 'sat': выходной, 'sun': выходной, ",52.989770,35.973584,"3,6",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,2024-07-29 13:21:00
4,sberbank/1043613964,СберБанк,"Брестская ул., 12, Орёл",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-14:00, 'sun': выходной, ",52.968533,36.062858,"4,8",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",84,74,78,89,27,,,2024-07-29 13:21:00
5,sberbank/184946504987,СберБанк,"Центральная ул., 193, село Становой Колодезь",www.sberbank.com,"'mon': 09:00-15:10, 'tue': 09:00-15:10, 'wed': 09:00-15:10, 'thu': 09:00-15:10, 'fri': 09:00-15:10, 'sat': выходной, 'sun': выходной, ",52.824900,36.258889,"4,2",['8 (800) 555-55-50Показать телефон'],['https://vk.com/sberbank'],,,,,,,,2024-07-29 13:21:00
6,sberbank/183596582094,СберБанк,"Гостиная ул., 3, Орёл",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-13:00, 'sun': выходной, ",52.964367,36.069658,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",94,70,,,,,,2024-07-29 13:21:00
7,sberbank/1063358358,СберБанк,"ул. Матросова, 9, Орёл",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",52.976867,36.047812,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",78,63,82,,,40,,2024-07-29 13:21:00
8,sberbank/1181119627,СберБанк,"ул. Космонавтов, 3, Орёл",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-15:00, 'sun': выходной, ",53.008668,36.133223,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",71,53,73,100,,,,2024-07-29 13:21:00
9,sberbank/1068818386,СберБанк,"Комсомольская ул., 229, Орёл",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-14:00, 'sun': выходной, ",52.941331,36.050650,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",88,70,,,,,,2024-07-29 13:21:00
10,sberbank/1119821991,СберБанк,"Комсомольская ул., 356, Орёл",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-14:00, 'sun': выходной, ",52.929499,36.027465,"4,8",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",82,63,59,100,,,,2024-07-29 13:21:00
11,sberbank/1115684564,СберБанк,"Наугорское ш., 84, Орёл",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",52.991440,36.037858,"4,4",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",82,52,,,,,,2024-07-29 13:21:00
12,sberbank/1132165872,СберБанк,"Московская ул., 24, Орёл",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-13:00, 'sun': выходной, ",52.968988,36.080312,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",92,83,73,89,,,,2024-07-29 13:21:00
13,sberbank/1088326313,СберБанк,"Октябрьская ул., 24, Орёл",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",52.971922,36.058951,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",83,67,,100,,,,2024-07-29 13:21:00
14,sberbank/1023262463,СберБанк,"Октябрьская ул., 134, Орёл",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-13:30, 'sun': выходной, ",52.988101,36.076018,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",87,76,72,73,,,,2024-07-29 13:21:00
15,sberbank/1003442332,СберБанк,"площадь Поликарпова, 10Б, Орёл",,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",52.970355,36.086771,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",81,70,82,86,64,,67,2024-07-29 13:21:00
16,sberbank/98851217977,СберБанк,"ул. Металлургов, 32, Орёл",www.sberbank.com,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",53.013918,36.142484,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",88,77,100,82,,,,2024-07-29 13:21:00
