,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Кредит,Ипотека,Расположение,Банкомат,load_time
0,sberbank/1213522797,СберБанк,"ул. Захарова, 1А, Нижний Тагил",,"'mon': 09:30-19:00, 'tue': 09:30-19:00, 'wed': 09:30-19:00, 'thu': 09:30-19:00, 'fri': 09:30-19:00, 'sat': выходной, 'sun': выходной, ",57.870350,59.951194,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",76,47,,,,,2024-08-05 11:24:19
1,sberbank/1122187377,СберБанк,"просп. Ленина, 40, Нижний Тагил",,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",57.909197,59.975535,"4,6",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",80,72,75,75,100,,2024-08-05 11:24:19
2,sberbank/1077596548,СберБанк,"ул. Ломоносова, 49, Нижний Тагил",www.sberbank.com,"'mon': 09:00-19:30, 'tue': 09:00-19:30, 'wed': 09:00-19:30, 'thu': 09:00-19:30, 'fri': 09:00-19:30, 'sat': 09:30-15:30, 'sun': выходной, ",57.910359,59.959688,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sber', 'https://vk.com/sber']",82,53,,,,58,2024-08-05 11:24:19
3,sberbank/1024028344,СберБанк,"просп. Ленина, 50, Нижний Тагил",www.sberbank.ru,"'mon': 08:30-19:00, 'tue': 08:30-19:00, 'wed': 08:30-19:00, 'thu': 08:30-19:00, 'fri': 08:30-19:00, 'sat': 09:30-14:00, 'sun': выходной, ",57.910192,59.980611,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",83,60,,,,33,2024-08-05 11:24:19
4,sberbank/54940346934,СберБанк,,www.sberbank.ru,"'mon': 09:00-17:30, 'tue': 09:00-17:30, 'wed': 09:00-17:30, 'thu': 09:00-17:30, 'fri': 09:00-16:30, 'sat': выходной, 'sun': выходной, ",58.062574,59.906328,"4,2",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,2024-08-05 11:24:19
5,sberbank/1042051575,СберБанк,"ул. Победы, 26, Нижний Тагил",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",57.925523,59.969902,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",89,69,,,,42,2024-08-05 11:24:19
6,sberbank/185273438636,СберБанк,"Пионерская ул., 4, посёлок Новоасбест",www.sberbank.ru,"'mon': 09:00-17:00, 'tue': 09:00-17:00, 'wed': 09:00-17:00, 'thu': 09:00-17:00, 'fri': 09:00-17:00, 'sat': выходной, 'sun': выходной, ",57.742962,60.282004,"2,9",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,2024-08-05 11:24:19
7,sberbank/1216042505,СберБанк,"ул. Фрунзе, 58/33, Нижний Тагил",,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': выходной, 'sun': выходной, ",57.923759,59.940052,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",76,45,,,,38,2024-08-05 11:24:19
8,sberbank/112338518047,СберБанк,"ул. Октябрьской Революции, 15, Нижний Тагил",www.sberbank.ru,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 10:00-15:00, 'sun': выходной, ",57.908040,59.987563,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",74,69,,,,,2024-08-05 11:24:19
9,sberbank/1065735114,СберБанк,"Уральский просп., 46, Нижний Тагил",,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': выходной, 'sun': выходной, ",57.878186,59.956221,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",94,79,,,100,,2024-08-05 11:24:19
10,sberbank/1098215940,СберБанк,"ул. Щорса, 24, Нижний Тагил",,"'mon': выходной, 'tue': 09:00-17:45, 'wed': 09:00-17:45, 'thu': 09:00-17:45, 'fri': 09:00-17:45, 'sat': 09:30-17:00, 'sun': выходной, ",57.959697,60.079245,"4,2",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",,,,,,,2024-08-05 11:24:19
11,sberbank/1108343335,СберБанк,"ул. Ленина, 71А, село Николо-Павловское",,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",57.791854,60.055485,"2,0",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,2024-08-05 11:24:19
12,sberbank/145055090578,СберБанк,"ул. Юности, 16, Нижний Тагил",www.sberbank.ru,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-14:00, 'sun': выходной, ",57.910225,60.093475,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",86,85,,,100,87,2024-08-05 11:24:19
13,sberbank/1251346825,СберБанк,"просп. Вагоностроителей, 70А, Нижний Тагил",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 10:00-13:30, 'sun': выходной, ",57.915585,60.134878,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",80,64,,,91,67,2024-08-05 11:24:19
14,sberbank/1118716140,СберБанк,"ул. Попова, 14, Нижний Тагил",www.sberbank.ru,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': выходной, 'sun': выходной, ",57.942313,60.002530,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",88,45,,,,13,2024-08-05 11:24:19
15,sberbank/1105957496,СберБанк,"просп. Вагоностроителей, 3, Нижний Тагил",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",57.921226,60.104776,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",85,67,,,,,2024-08-05 11:24:19
