,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Банкомат,Расположение,Кредит,Ипотека,График работы,load_time
0,sberbank/1036514982,СберБанк,"ул. Михалевича, 39, стр. 24, Раменское",www.sberbank.com,"'mon': 08:30-19:30, 'tue': 08:30-19:30, 'wed': 08:30-19:30, 'thu': 08:30-19:30, 'fri': 08:30-19:30, 'sat': 09:00-15:30, 'sun': выходной, ",55.563605,38.242800,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",75,56,76,59,60,68,63,2024-07-29 15:21:28
1,sberbank/1207064020,СберБанк,"ул. Гурьева, 1Б/2, Раменское",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-16:00, 'sun': выходной, ",55.576829,38.239772,"4,7",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",82,77,63,100,,,,2024-07-29 15:21:28
2,sberbank/1085516231,СберБанк,"ул. Чугунова, 43, Раменское",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-16:00, 'sun': выходной, ",55.580432,38.200606,,['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,2024-07-29 15:21:28
3,sberbank/1116915239,СберБанк,"ул. Куйбышева, 39А, Раменское",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': выходной, 'sun': выходной, ",55.564974,38.200768,"4,8",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",95,82,56,100,,,29,2024-07-29 15:21:28
4,sberbank/1164428776,СберБанк,"Школьная ул., 3, посёлок совхоза Раменское",www.sberbank.com,"'mon': выходной, 'tue': выходной, 'wed': 09:00-17:00, 'thu': 09:00-16:30, 'fri': 09:00-17:46, 'sat': 09:30-13:45, 'sun': выходной, ",55.552307,38.248459,"3,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,2024-07-29 15:21:28
5,sberbank/61886378874,СберБанк,"ул. Михалевича, 39, Раменское",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",55.563605,38.242800,,['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,2024-07-29 15:21:28
6,sberbank/99662294143,СберБанк,"ул. Жуковского, 3, Жуковский",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-16:00, 'sun': выходной, ",55.597765,38.113667,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",79,70,63,86,,,,2024-07-29 15:21:28
7,sberbank/134259454943,СберБанк,"ул. Чкалова, 8, Жуковский",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': выходной, 'sat': 09:00-16:00, 'sun': выходной, ",55.590947,38.130549,"4,8",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",86,78,78,100,,,,2024-07-29 15:21:28
8,sberbank/1124926689,СберБанк,"Советская ул., 68, Бронницы",www.sberbank.com,"'mon': 08:30-18:30, 'tue': 08:30-18:30, 'wed': 08:30-18:30, 'thu': 08:30-18:30, 'fri': 08:30-18:30, 'sat': 08:30-16:00, 'sun': выходной, ",55.423826,38.267979,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",78,63,38,95,,,40,2024-07-29 15:21:28
9,sberbank/1149158211,СберБанк,"Солнечная ул., 10, Жуковский",www.sberbank.com,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",55.604814,38.089026,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",76,51,65,91,,,75,2024-07-29 15:21:28
10,sberbank/167678128688,СберБанк,"Московская ул., 26, рабочий посёлок Ильинский",www.sberbank.com,"'mon': выходной, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-18:00, 'sun': выходной, ",55.616900,38.100830,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",83,70,36,86,,,,2024-07-29 15:21:28
